Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,14,s,True,1,0,True,1,False,0,False,0,False,0,
1,22,s,True,2,0,True,2,False,0,False,0,False,0,
2,1,n,True,3,0,False,2,True,1,False,0,False,0,
3,11,n,True,4,0,False,2,True,2,False,0,False,0,
4,7,n,True,5,0,False,2,True,3,False,0,False,0,
5,25,n,False,5,1,False,2,False,3,False,0,True,1,
6,34,n,False,5,2,False,2,False,3,False,0,True,2,
7,45,n,True,6,2,False,2,True,4,False,0,False,2,
8,32,s,True,7,2,True,3,False,4,False,0,False,2,
9,21,s,True,8,2,True,4,False,4,False,0,False,2,
10,25,n,False,8,3,False,4,False,4,False,0,True,3,
11,28,n,False,8,4,False,4,False,4,False,0,True,4,
12,3,n,True,9,4,False,4,True,5,False,0,False,4,
13,28,s,True,10,4,True,5,False,5,False,0,False,4,
14,48,n,True,11,4,False,5,True,6,False,0,False,4,
15,39,n,True,12,4,False,5,True,7,False,0,False,4,
16,7,n,True,13,4,False,5,True,8,False,0,False,4,
17,45,n,True,14,4,False,5,True,9,False,0,False,4,
18,26,n,False,14,5,False,5,False,9,False,0,True,5,
19,4,n,True,15,5,False,5,True,10,False,0,False,5,
20,9,n,True,16,5,False,5,True,11,False,0,False,5,
21,28,s,True,17,5,True,6,False,11,False,0,False,5,
22,5,n,True,18,5,False,6,True,12,False,0,False,5,
23,32,s,True,19,5,True,7,False,12,False,0,False,5,
24,23,s,True,20,5,True,8,False,12,False,0,False,5,
25,40,s,False,20,6,False,8,False,12,True,1,False,5,
26,22,s,True,21,6,True,9,False,12,False,1,False,5,
27,31,s,True,22,6,True,10,False,12,False,1,False,5,
28,5,n,True,23,6,False,10,True,13,False,1,False,5,
29,4,n,True,24,6,False,10,True,14,False,1,False,5,
30,12,n,True,25,6,False,10,True,15,False,1,False,5,
31,16,s,True,26,6,True,11,False,15,False,1,False,5,
32,40,s,False,26,7,False,11,False,15,True,2,False,5,
33,13,s,True,27,7,True,12,False,15,False,2,False,5,
34,38,s,False,27,8,False,12,False,15,True,3,False,5,
35,13,s,True,28,8,True,13,False,15,False,3,False,5,
36,21,s,True,29,8,True,14,False,15,False,3,False,5,
37,6,n,True,30,8,False,14,True,16,False,3,False,5,
38,33,n,False,30,9,False,14,False,16,False,3,True,6,
39,8,n,True,31,9,False,14,True,17,False,3,False,6,
40,30,s,True,32,9,True,15,False,17,False,3,False,6,
41,2,n,True,33,9,False,15,True,18,False,3,False,6,
42,42,s,False,33,10,False,15,False,18,True,4,False,6,
43,48,n,True,34,10,False,15,True,19,False,4,False,6,
44,22,s,True,35,10,True,16,False,19,False,4,False,6,
45,33,s,True,36,10,True,17,False,19,False,4,False,6,
46,3,n,True,37,10,False,17,True,20,False,4,False,6,
47,37,s,False,37,11,False,17,False,20,True,5,False,6,
48,36,s,True,38,11,True,18,False,20,False,5,False,6,
49,37,n,True,39,11,False,18,True,21,False,5,False,6,
50,2,n,True,40,11,False,18,True,22,False,5,False,6,
51,15,s,True,41,11,True,19,False,22,False,5,False,6,
52,46,n,True,42,11,False,19,True,23,False,5,False,6,
53,34,n,False,42,12,False,19,False,23,False,5,True,7,
54,4,n,True,43,12,False,19,True,24,False,5,False,7,
55,31,s,True,44,12,True,20,False,24,False,5,False,7,
56,36,n,False,44,13,False,20,False,24,False,5,True,8,
57,8,n,True,45,13,False,20,True,25,False,5,False,8,
58,23,s,True,46,13,True,21,False,25,False,5,False,8,
59,8,n,True,47,13,False,21,True,26,False,5,False,8,
60,12,n,True,48,13,False,21,True,27,False,5,False,8,
61,28,s,True,49,13,True,22,False,27,False,5,False,8,
62,3,n,True,50,13,False,22,True,28,False,5,False,8,
63,46,n,True,51,13,False,22,True,29,False,5,False,8,
64,12,n,True,52,13,False,22,True,30,False,5,False,8,
65,30,s,True,53,13,True,23,False,30,False,5,False,8,
66,41,n,True,54,13,False,23,True,31,False,5,False,8,
67,41,n,True,55,13,False,23,True,32,False,5,False,8,
68,28,n,False,55,14,False,23,False,32,False,5,True,9,
69,40,n,True,56,14,False,23,True,33,False,5,False,9,
70,35,n,False,56,15,False,23,False,33,False,5,True,10,
71,3,n,True,57,15,False,23,True,34,False,5,False,10,
72,36,n,False,57,16,False,23,False,34,False,5,True,11,
73,27,n,False,57,17,False,23,False,34,False,5,True,12,
74,16,s,True,58,17,True,24,False,34,False,5,False,12,
75,29,s,True,59,17,True,25,False,34,False,5,False,12,
76,38,s,False,59,18,False,25,False,34,True,6,False,12,
77,39,n,True,60,18,False,25,True,35,False,6,False,12,
78,17,n,False,60,19,False,25,False,35,False,6,True,13,
79,13,s,True,61,19,True,26,False,35,False,6,False,13,
80,9,n,True,62,19,False,26,True,36,False,6,False,13,
81,43,n,True,63,19,False,26,True,37,False,6,False,13,
82,16,s,True,64,19,True,27,False,37,False,6,False,13,
83,43,n,True,65,19,False,27,True,38,False,6,False,13,
84,48,n,True,66,19,False,27,True,39,False,6,False,13,
85,41,n,True,67,19,False,27,True,40,False,6,False,13,
86,19,n,False,67,20,False,27,False,40,False,6,True,14,
87,42,n,True,68,20,False,27,True,41,False,6,False,14,
88,36,n,False,68,21,False,27,False,41,False,6,True,15,
89,31,s,True,69,21,True,28,False,41,False,6,False,15,
90,25,n,False,69,22,False,28,False,41,False,6,True,16,
91,6,n,True,70,22,False,28,True,42,False,6,False,16,
92,18,s,True,71,22,True,29,False,42,False,6,False,16,
93,12,n,True,72,22,False,29,True,43,False,6,False,16,
94,17,s,True,73,22,True,30,False,43,False,6,False,16,
95,23,s,True,74,22,True,31,False,43,False,6,False,16,
96,33,s,True,75,22,True,32,False,43,False,6,False,16,
97,36,s,True,76,22,True,33,False,43,False,6,False,16,
98,14,s,True,77,22,True,34,False,43,False,6,False,16,
99,26,n,False,77,23,False,34,False,43,False,6,True,17,
100,11,n,True,78,23,False,34,True,44,False,6,False,17,
101,15,s,True,79,23,True,35,False,44,False,6,False,17,
102,32,s,True,80,23,True,36,False,44,False,6,False,17,
103,18,s,True,81,23,True,37,False,44,False,6,False,17,
104,7,n,True,82,23,False,37,True,45,False,6,False,17,
105,35,n,False,82,24,False,37,False,45,False,6,True,18,
106,25,s,True,83,24,True,38,False,45,False,6,False,18,
107,44,n,True,84,24,False,38,True,46,False,6,False,18,
108,19,n,False,84,25,False,38,False,46,False,6,True,19,
109,13,s,True,85,25,True,39,False,46,False,6,False,19,
110,43,n,True,86,25,False,39,True,47,False,6,False,19,
111,44,s,False,86,26,False,39,False,47,True,7,False,19,
112,24,s,True,87,26,True,40,False,47,False,7,False,19,
113,32,s,True,88,26,True,41,False,47,False,7,False,19,
114,8,n,True,89,26,False,41,True,48,False,7,False,19,
115,31,s,True,90,26,True,42,False,48,False,7,False,19,
116,30,s,True,91,26,True,43,False,48,False,7,False,19,
117,46,n,True,92,26,False,43,True,49,False,7,False,19,
118,40,n,True,93,26,False,43,True,50,False,7,False,19,
119,34,n,False,93,27,False,43,False,50,False,7,True,20,
120,22,s,True,94,27,True,44,False,50,False,7,False,20,
121,8,n,True,95,27,False,44,True,51,False,7,False,20,
122,4,n,True,96,27,False,44,True,52,False,7,False,20,
123,9,n,True,97,27,False,44,True,53,False,7,False,20,
124,17,n,False,97,28,False,44,False,53,False,7,True,21,
125,42,n,True,98,28,False,44,True,54,False,7,False,21,
126,39,n,True,99,28,False,44,True,55,False,7,False,21,
127,21,s,True,100,28,True,45,False,55,False,7,False,21,
128,11,n,True,101,28,False,45,True,56,False,7,False,21,
129,37,n,True,102,28,False,45,True,57,False,7,False,21,
130,45,n,True,103,28,False,45,True,58,False,7,False,21,
131,29,s,True,104,28,True,46,False,58,False,7,False,21,
132,40,n,True,105,28,False,46,True,59,False,7,False,21,
133,7,n,True,106,28,False,46,True,60,False,7,False,21,
134,11,n,True,107,28,False,46,True,61,False,7,False,21,
135,27,n,False,107,29,False,46,False,61,False,7,True,22,
136,12,n,True,108,29,False,46,True,62,False,7,False,22,
137,3,n,True,109,29,False,46,True,63,False,7,False,22,
138,10,n,True,110,29,False,46,True,64,False,7,False,22,
139,45,n,True,111,29,False,46,True,65,False,7,False,22,
140,38,s,False,111,30,False,46,False,65,True,8,False,22,
141,16,s,True,112,30,True,47,False,65,False,8,False,22,
142,2,n,True,113,30,False,47,True,66,False,8,False,22,
143,35,n,False,113,31,False,47,False,66,False,8,True,23,
144,18,n,False,113,32,False,47,False,66,False,8,True,24,
