Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,27,n,False,0,1,False,0,False,0,False,0,True,1,
1,5,n,True,1,1,False,0,True,1,False,0,False,1,
2,14,n,False,1,2,False,0,False,1,False,0,True,2,
3,43,n,True,2,2,False,0,True,2,False,0,False,2,
4,18,n,False,2,3,False,0,False,2,False,0,True,3,
5,10,n,True,3,3,False,0,True,3,False,0,False,3,
6,11,n,True,4,3,False,0,True,4,False,0,False,3,
7,33,s,True,5,3,True,1,False,4,False,0,False,3,
8,13,s,True,6,3,True,2,False,4,False,0,False,3,
9,40,n,True,7,3,False,2,True,5,False,0,False,3,
10,26,s,True,8,3,True,3,False,5,False,0,False,3,
11,33,s,True,9,3,True,4,False,5,False,0,False,3,
12,25,s,True,10,3,True,5,False,5,False,0,False,3,
13,8,n,True,11,3,False,5,True,6,False,0,False,3,
14,35,s,True,12,3,True,6,False,6,False,0,False,3,
15,34,s,True,13,3,True,7,False,6,False,0,False,3,
16,31,s,True,14,3,True,8,False,6,False,0,False,3,
17,20,s,True,15,3,True,9,False,6,False,0,False,3,
18,15,s,True,16,3,True,10,False,6,False,0,False,3,
19,46,n,True,17,3,False,10,True,7,False,0,False,3,
20,11,n,True,18,3,False,10,True,8,False,0,False,3,
21,24,n,False,18,4,False,10,False,8,False,0,True,4,
22,18,s,True,19,4,True,11,False,8,False,0,False,4,
23,45,n,True,20,4,False,11,True,9,False,0,False,4,
24,38,n,True,21,4,False,11,True,10,False,0,False,4,
25,1,n,True,22,4,False,11,True,11,False,0,False,4,
26,5,n,True,23,4,False,11,True,12,False,0,False,4,
27,44,n,True,24,4,False,11,True,13,False,0,False,4,
28,29,s,True,25,4,True,12,False,13,False,0,False,4,
29,15,n,False,25,5,False,12,False,13,False,0,True,5,
30,48,n,True,26,5,False,12,True,14,False,0,False,5,
31,21,n,False,26,6,False,12,False,14,False,0,True,6,
32,27,n,False,26,7,False,12,False,14,False,0,True,7,
33,16,s,True,27,7,True,13,False,14,False,0,False,7,
34,41,n,True,28,7,False,13,True,15,False,0,False,7,
35,35,s,True,29,7,True,14,False,15,False,0,False,7,
36,9,n,True,30,7,False,14,True,16,False,0,False,7,
37,8,n,True,31,7,False,14,True,17,False,0,False,7,
38,11,n,True,32,7,False,14,True,18,False,0,False,7,
39,24,s,True,33,7,True,15,False,18,False,0,False,7,
40,7,n,True,34,7,False,15,True,19,False,0,False,7,
41,37,n,True,35,7,False,15,True,20,False,0,False,7,
42,30,s,True,36,7,True,16,False,20,False,0,False,7,
43,22,s,True,37,7,True,17,False,20,False,0,False,7,
44,26,s,True,38,7,True,18,False,20,False,0,False,7,
45,35,s,True,39,7,True,19,False,20,False,0,False,7,
46,46,n,True,40,7,False,19,True,21,False,0,False,7,
47,28,s,True,41,7,True,20,False,21,False,0,False,7,
48,47,n,True,42,7,False,20,True,22,False,0,False,7,
49,1,n,True,43,7,False,20,True,23,False,0,False,7,
50,32,s,True,44,7,True,21,False,23,False,0,False,7,
51,9,n,True,45,7,False,21,True,24,False,0,False,7,
52,48,n,True,46,7,False,21,True,25,False,0,False,7,
