Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
36,7,n,1,31,6,0,101,1,74,0,9,0,67,
155,7,n,1,120,36,0,,1,,0,,0,,
157,7,n,1,122,36,0,,1,,0,,0,,
171,7,n,1,136,36,0,,1,,0,,0,,
303,7,n,1,235,69,0,,1,,0,,0,,
309,7,n,1,240,70,0,,1,,0,,0,,
334,7,s,0,259,76,0,,0,,1,,0,,
21,8,n,1,20,2,0,,1,,0,,0,,
105,8,n,1,83,23,0,,1,,0,,0,,
142,8,n,1,110,33,0,,1,,0,,0,,
144,8,n,1,112,33,0,,1,,0,,0,,
204,8,n,1,158,47,0,,1,,0,,0,,
217,8,n,1,169,49,0,,1,,0,,0,,
301,8,n,1,234,68,0,,1,,0,,0,,
43,9,n,1,35,9,0,,1,,0,,0,,
59,9,n,1,49,11,0,,1,,0,,0,,
141,9,n,1,109,33,0,,1,,0,,0,,
180,9,n,1,140,41,0,,1,,0,,0,,
211,9,n,1,164,48,0,,1,,0,,0,,
225,9,n,1,177,49,0,,1,,0,,0,,
250,9,n,1,199,52,0,,1,,0,,0,,
56,10,n,1,47,10,0,,1,,0,,0,,
96,10,n,1,77,20,0,,1,,0,,0,,
220,10,n,1,172,49,0,,1,,0,,0,,
228,10,n,1,180,49,0,,1,,0,,0,,
264,10,n,1,206,59,0,,1,,0,,0,,
293,10,n,1,231,63,0,,1,,0,,0,,
316,10,n,1,246,71,0,,1,,0,,0,,
9,11,n,1,9,1,0,,1,,0,,0,,
33,11,n,1,28,6,0,,1,,0,,0,,
115,11,n,1,91,25,0,,1,,0,,0,,
125,11,n,1,99,27,0,,1,,0,,0,,
167,11,n,1,132,36,0,,1,,0,,0,,
215,11,n,1,168,48,0,,1,,0,,0,,
299,11,n,1,233,67,0,,1,,0,,0,,
13,12,n,1,13,1,0,,1,,0,,0,,
34,12,n,1,29,6,0,,1,,0,,0,,
94,12,n,1,76,19,0,,1,,0,,0,,
100,12,n,1,80,21,0,,1,,0,,0,,
165,12,n,1,130,36,0,,1,,0,,0,,
166,12,n,1,131,36,0,,1,,0,,0,,
273,12,n,1,215,59,0,,1,,0,,0,,
26,13,n,0,23,4,0,,0,,0,,1,,
74,13,s,1,59,16,1,,0,,0,,0,,
112,13,s,1,88,25,1,,0,,0,,0,,
136,13,n,0,107,30,0,,0,,0,,1,,
207,13,n,0,160,48,0,,0,,0,,1,,
314,13,s,1,245,70,1,,0,,0,,0,,
328,13,s,1,255,74,1,,0,,0,,0,,
30,14,s,1,26,5,1,,0,,0,,0,,
52,14,s,1,43,10,1,,0,,0,,0,,
57,14,n,0,47,11,0,,0,,0,,1,,
64,14,s,1,51,14,1,,0,,0,,0,,
118,14,n,0,93,26,0,,0,,0,,1,,
124,14,s,1,98,27,1,,0,,0,,0,,
302,14,n,0,234,69,0,,0,,0,,1,,
20,15,s,1,19,2,1,,0,,0,,0,,
25,15,n,0,23,3,0,,0,,0,,1,,
146,15,s,1,114,33,1,,0,,0,,0,,
208,15,s,1,161,48,1,,0,,0,,0,,
221,15,s,1,173,49,1,,0,,0,,0,,
236,15,s,1,187,50,1,,0,,0,,0,,
240,15,s,1,191,50,1,,0,,0,,0,,
19,16,s,1,18,2,1,,0,,0,,0,,
76,16,s,1,61,16,1,,0,,0,,0,,
106,16,n,0,83,24,0,,0,,0,,1,,
164,16,s,1,129,36,1,,0,,0,,0,,
176,16,n,0,138,39,0,,0,,0,,1,,
193,16,s,1,149,45,1,,0,,0,,0,,
268,16,s,1,210,59,1,,0,,0,,0,,
42,17,n,0,34,9,0,,0,,0,,1,,
44,17,n,0,35,10,0,,0,,0,,1,,
45,17,s,1,36,10,1,,0,,0,,0,,
108,17,n,0,84,25,0,,0,,0,,1,,
128,17,s,1,102,27,1,,0,,0,,0,,
201,17,n,0,156,46,0,,0,,0,,1,,
289,17,s,1,229,61,1,,0,,0,,0,,
109,18,s,1,85,25,1,,0,,0,,0,,
110,18,s,1,86,25,1,,0,,0,,0,,
113,18,s,1,89,25,1,,0,,0,,0,,
182,18,n,0,141,42,0,,0,,0,,1,,
195,18,s,1,151,45,1,,0,,0,,0,,
198,18,s,1,154,45,1,,0,,0,,0,,
200,18,s,1,156,45,1,,0,,0,,0,,
88,19,s,1,72,17,1,,0,,0,,0,,
99,19,n,0,79,21,0,,0,,0,,1,,
103,19,n,0,81,23,0,,0,,0,,1,,
140,19,n,0,108,33,0,,0,,0,,1,,
252,19,s,1,200,53,1,,0,,0,,0,,
281,19,s,1,222,60,1,,0,,0,,0,,
307,19,n,0,238,70,0,,0,,0,,1,,
29,20,n,0,25,5,0,,0,,0,,1,,
32,20,n,0,27,6,0,,0,,0,,1,,
73,20,n,0,58,16,0,,0,,0,,1,,
87,20,s,1,71,17,1,,0,,0,,0,,
187,20,n,0,144,44,0,,0,,0,,1,,
227,20,s,1,179,49,1,,0,,0,,0,,
332,20,n,0,258,75,0,,0,,0,,1,,
117,21,s,1,93,25,1,,0,,0,,0,,
162,21,s,1,127,36,1,,0,,0,,0,,
194,21,s,1,150,45,1,,0,,0,,0,,
219,21,s,1,171,49,1,,0,,0,,0,,
232,21,s,1,184,49,1,,0,,0,,0,,
269,21,s,1,211,59,1,,0,,0,,0,,
290,21,s,1,230,61,1,,0,,0,,0,,
5,22,s,1,5,1,1,,0,,0,,0,,
98,22,s,1,79,20,1,,0,,0,,0,,
126,22,s,1,100,27,1,,0,,0,,0,,
174,22,n,0,137,38,0,,0,,0,,1,,
267,22,s,1,209,59,1,,0,,0,,0,,
294,22,n,0,231,64,0,,0,,0,,1,,
304,22,s,1,236,69,1,,0,,0,,0,,
177,23,n,0,138,40,0,,0,,0,,1,,
192,23,s,1,148,45,1,,0,,0,,0,,
199,23,s,1,155,45,1,,0,,0,,0,,
214,23,s,1,167,48,1,,0,,0,,0,,
238,23,s,1,189,50,1,,0,,0,,0,,
254,23,s,1,201,54,1,,0,,0,,0,,
333,23,s,1,259,75,1,,0,,0,,0,,
39,24,s,1,33,7,1,,0,,0,,0,,
41,24,s,1,34,8,1,,0,,0,,0,,
50,24,s,1,41,10,1,,0,,0,,0,,
119,24,s,1,94,26,1,,0,,0,,0,,
185,24,s,1,143,43,1,,0,,0,,0,,
278,24,s,1,219,60,1,,0,,0,,0,,
312,24,s,1,243,70,1,,0,,0,,0,,
40,25,n,0,33,8,0,,0,,0,,1,,
63,25,n,0,50,14,0,,0,,0,,1,,
130,25,s,1,104,27,1,,0,,0,,0,,
209,25,s,1,162,48,1,,0,,0,,0,,
218,25,s,1,170,49,1,,0,,0,,0,,
242,25,n,0,192,51,0,,0,,0,,1,,
247,25,n,0,196,52,0,,0,,0,,1,,
17,26,n,0,16,2,0,,0,,0,,1,,
38,26,n,0,32,7,0,,0,,0,,1,,
