Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
13,7,s,False,10,4,False,166,False,45,1,39,False,2,
39,7,s,False,33,7,False,,False,,1,,False,,
63,7,n,1,53,11,False,,1,,False,,False,,
191,7,s,False,162,30,False,,False,,1,,False,,
225,7,s,False,190,36,False,,False,,1,,False,,
229,7,s,False,193,37,False,,False,,1,,False,,
317,7,s,False,276,42,False,,False,,1,,False,,
37,8,n,1,32,6,False,,1,,False,,False,,
151,8,n,1,132,20,False,,1,,False,,False,,
176,8,s,False,151,26,False,,False,,1,,False,,
183,8,s,False,156,28,False,,False,,1,,False,,
197,8,n,1,167,31,False,,1,,False,,False,,
218,8,n,1,185,34,False,,1,,False,,False,,
284,8,n,1,245,40,False,,1,,False,,False,,
86,9,n,1,75,12,False,,1,,False,,False,,
108,9,n,1,96,13,False,,1,,False,,False,,
124,9,s,False,110,15,False,,False,,1,,False,,
143,9,n,1,127,17,False,,1,,False,,False,,
186,9,n,1,159,28,False,,1,,False,,False,,
213,9,n,1,181,33,False,,1,,False,,False,,
264,9,n,1,225,40,False,,1,,False,,False,,
34,10,n,1,29,6,False,,1,,False,,False,,
69,10,n,1,59,11,False,,1,,False,,False,,
123,10,n,1,110,14,False,,1,,False,,False,,
170,10,s,False,148,23,False,,False,,1,,False,,
263,10,n,1,224,40,False,,1,,False,,False,,
304,10,n,1,264,41,False,,1,,False,,False,,
321,10,n,1,280,42,False,,1,,False,,False,,
7,11,n,1,5,3,False,,1,,False,,False,,
28,11,s,False,23,6,False,,False,,1,,False,,
41,11,n,1,34,8,False,,1,,False,,False,,
42,11,s,False,34,9,False,,False,,1,,False,,
59,11,s,False,50,10,False,,False,,1,,False,,
156,11,s,False,136,21,False,,False,,1,,False,,
234,11,n,1,197,38,False,,1,,False,,False,,
65,12,n,1,55,11,False,,1,,False,,False,,
110,12,n,1,98,13,False,,1,,False,,False,,
138,12,n,1,123,16,False,,1,,False,,False,,
163,12,n,1,143,21,False,,1,,False,,False,,
180,12,n,1,154,27,False,,1,,False,,False,,
207,12,n,1,175,33,False,,1,,False,,False,,
240,12,n,1,203,38,False,,1,,False,,False,,
12,13,s,1,10,3,1,,False,,False,,False,,
23,13,s,1,19,5,1,,False,,False,,False,,
71,13,s,1,61,11,1,,False,,False,,False,,
100,13,s,1,89,12,1,,False,,False,,False,,
145,13,s,1,128,18,1,,False,,False,,False,,
250,13,s,1,212,39,1,,False,,False,,False,,
309,13,s,1,269,41,1,,False,,False,,False,,
33,14,s,1,28,6,1,,False,,False,,False,,
211,14,s,1,179,33,1,,False,,False,,False,,
254,14,s,1,215,40,1,,False,,False,,False,,
267,14,s,1,228,40,1,,False,,False,,False,,
