Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,15,s,True,1,0,True,1,False,0,False,0,False,0,
1,20,s,True,2,0,True,2,False,0,False,0,False,0,
2,35,s,True,3,0,True,3,False,0,False,0,False,0,
3,33,n,False,3,1,False,3,False,0,False,0,True,1,
4,6,n,True,4,1,False,3,True,1,False,0,False,1,
5,40,n,True,5,1,False,3,True,2,False,0,False,1,
6,27,n,False,5,2,False,3,False,2,False,0,True,2,
7,16,s,True,6,2,True,4,False,2,False,0,False,2,
8,37,s,False,6,3,False,4,False,2,True,1,False,2,
9,17,n,False,6,4,False,4,False,2,False,1,True,3,
10,7,n,True,7,4,False,4,True,3,False,1,False,3,
11,29,s,True,8,4,True,5,False,3,False,1,False,3,
12,33,s,True,9,4,True,6,False,3,False,1,False,3,
13,22,s,True,10,4,True,7,False,3,False,1,False,3,
14,16,s,True,11,4,True,8,False,3,False,1,False,3,
15,28,n,False,11,5,False,8,False,3,False,1,True,4,
16,12,n,True,12,5,False,8,True,4,False,1,False,4,
17,29,n,False,12,6,False,8,False,4,False,1,True,5,
18,44,s,False,12,7,False,8,False,4,True,2,False,5,
19,42,n,True,13,7,False,8,True,5,False,2,False,5,
20,15,s,True,14,7,True,9,False,5,False,2,False,5,
21,35,n,False,14,8,False,9,False,5,False,2,True,6,
22,9,n,True,15,8,False,9,True,6,False,2,False,6,
23,28,n,False,15,9,False,9,False,6,False,2,True,7,
24,4,n,True,16,9,False,9,True,7,False,2,False,7,
25,11,n,True,17,9,False,9,True,8,False,2,False,7,
26,1,n,True,18,9,False,9,True,9,False,2,False,7,
27,36,s,True,19,9,True,10,False,9,False,2,False,7,
28,26,n,False,19,10,False,10,False,9,False,2,True,8,
29,43,n,True,20,10,False,10,True,10,False,2,False,8,
30,33,n,False,20,11,False,10,False,10,False,2,True,9,
31,14,s,True,21,11,True,11,False,10,False,2,False,9,
32,48,n,True,22,11,False,11,True,11,False,2,False,9,
33,23,s,True,23,11,True,12,False,11,False,2,False,9,
34,27,n,False,23,12,False,12,False,11,False,2,True,10,
35,10,n,True,24,12,False,12,True,12,False,2,False,10,
36,44,n,True,25,12,False,12,True,13,False,2,False,10,
37,16,s,True,26,12,True,13,False,13,False,2,False,10,
38,16,s,True,27,12,True,14,False,13,False,2,False,10,
39,32,s,True,28,12,True,15,False,13,False,2,False,10,
40,22,s,True,29,12,True,16,False,13,False,2,False,10,
41,39,n,True,30,12,False,16,True,14,False,2,False,10,
42,4,n,True,31,12,False,16,True,15,False,2,False,10,
43,48,n,True,32,12,False,16,True,16,False,2,False,10,
44,38,s,False,32,13,False,16,False,16,True,3,False,10,
45,17,n,False,32,14,False,16,False,16,False,3,True,11,
46,32,s,True,33,14,True,17,False,16,False,3,False,11,
47,31,s,True,34,14,True,18,False,16,False,3,False,11,
48,31,s,True,35,14,True,19,False,16,False,3,False,11,
49,39,n,True,36,14,False,19,True,17,False,3,False,11,
50,7,n,True,37,14,False,19,True,18,False,3,False,11,
51,38,s,False,37,15,False,19,False,18,True,4,False,11,
52,42,s,False,37,16,False,19,False,18,True,5,False,11,
53,3,n,True,38,16,False,19,True,19,False,5,False,11,
54,10,n,True,39,16,False,19,True,20,False,5,False,11,
55,18,s,True,40,16,True,20,False,20,False,5,False,11,
56,3,n,True,41,16,False,20,True,21,False,5,False,11,
57,45,n,True,42,16,False,20,True,22,False,5,False,11,
58,4,n,True,43,16,False,20,True,23,False,5,False,11,
59,34,n,False,43,17,False,20,False,23,False,5,True,12,
60,28,n,False,43,18,False,20,False,23,False,5,True,13,
61,38,s,False,43,19,False,20,False,23,True,6,False,13,
62,39,s,False,43,20,False,20,False,23,True,7,False,13,
63,34,n,False,43,21,False,20,False,23,False,7,True,14,
64,6,n,True,44,21,False,20,True,24,False,7,False,14,
65,33,s,True,45,21,True,21,False,24,False,7,False,14,
66,21,s,True,46,21,True,22,False,24,False,7,False,14,
67,29,s,True,47,21,True,23,False,24,False,7,False,14,
68,19,n,False,47,22,False,23,False,24,False,7,True,15,
69,24,s,True,48,22,True,24,False,24,False,7,False,15,
70,15,s,True,49,22,True,25,False,24,False,7,False,15,
71,1,n,True,50,22,False,25,True,25,False,7,False,15,
72,16,s,True,51,22,True,26,False,25,False,7,False,15,
73,41,n,True,52,22,False,26,True,26,False,7,False,15,
74,37,n,True,53,22,False,26,True,27,False,7,False,15,
75,32,s,True,54,22,True,27,False,27,False,7,False,15,
76,25,s,True,55,22,True,28,False,27,False,7,False,15,
77,22,s,True,56,22,True,29,False,27,False,7,False,15,
78,10,n,True,57,22,False,29,True,28,False,7,False,15,
79,46,n,True,58,22,False,29,True,29,False,7,False,15,
