Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,21,n,False,0,1,False,0,False,0,False,0,True,1,
1,18,n,False,0,2,False,0,False,0,False,0,True,2,
2,31,s,True,1,2,True,1,False,0,False,0,False,2,
3,30,s,True,2,2,True,2,False,0,False,0,False,2,
4,5,n,True,3,2,False,2,True,1,False,0,False,2,
5,27,n,False,3,3,False,2,False,1,False,0,True,3,
6,45,n,True,4,3,False,2,True,2,False,0,False,3,
7,14,s,True,5,3,True,3,False,2,False,0,False,3,
8,17,s,True,6,3,True,4,False,2,False,0,False,3,
9,34,n,False,6,4,False,4,False,2,False,0,True,4,
10,44,n,True,7,4,False,4,True,3,False,0,False,4,
11,18,s,True,8,4,True,5,False,3,False,0,False,4,
12,13,s,True,9,4,True,6,False,3,False,0,False,4,
13,33,s,True,10,4,True,7,False,3,False,0,False,4,
14,40,s,False,10,5,False,7,False,3,True,1,False,4,
15,26,s,True,11,5,True,8,False,3,False,1,False,4,
16,27,s,True,12,5,True,9,False,3,False,1,False,4,
17,21,s,True,13,5,True,10,False,3,False,1,False,4,
18,15,n,False,13,6,False,10,False,3,False,1,True,5,
19,38,s,False,13,7,False,10,False,3,True,2,False,5,
20,19,n,False,13,8,False,10,False,3,False,2,True,6,
21,27,n,False,13,9,False,10,False,3,False,2,True,7,
22,16,s,True,14,9,True,11,False,3,False,2,False,7,
23,31,n,False,14,10,False,11,False,3,False,2,True,8,
24,36,n,False,14,11,False,11,False,3,False,2,True,9,
25,33,n,False,14,12,False,11,False,3,False,2,True,10,
26,2,n,True,15,12,False,11,True,4,False,2,False,10,
27,39,n,True,16,12,False,11,True,5,False,2,False,10,
28,12,n,True,17,12,False,11,True,6,False,2,False,10,
29,12,n,True,18,12,False,11,True,7,False,2,False,10,
30,5,n,True,19,12,False,11,True,8,False,2,False,10,
31,46,n,True,20,12,False,11,True,9,False,2,False,10,
32,1,n,True,21,12,False,11,True,10,False,2,False,10,
33,2,n,True,22,12,False,11,True,11,False,2,False,10,
34,46,n,True,23,12,False,11,True,12,False,2,False,10,
35,39,n,True,24,12,False,11,True,13,False,2,False,10,
36,35,n,False,24,13,False,11,False,13,False,2,True,11,
37,42,s,False,24,14,False,11,False,13,True,3,False,11,
38,17,s,True,25,14,True,12,False,13,False,3,False,11,
39,43,n,True,26,14,False,12,True,14,False,3,False,11,
40,6,n,True,27,14,False,12,True,15,False,3,False,11,
41,23,s,True,28,14,True,13,False,15,False,3,False,11,
42,32,s,True,29,14,True,14,False,15,False,3,False,11,
43,24,s,True,30,14,True,15,False,15,False,3,False,11,
44,14,s,True,31,14,True,16,False,15,False,3,False,11,
45,18,n,False,31,15,False,16,False,15,False,3,True,12,
46,36,n,False,31,16,False,16,False,15,False,3,True,13,
47,47,n,True,32,16,False,16,True,16,False,3,False,13,
48,34,n,False,32,17,False,16,False,16,False,3,True,14,
49,20,s,True,33,17,True,17,False,16,False,3,False,14,
50,11,n,True,34,17,False,17,True,17,False,3,False,14,
51,32,n,False,34,18,False,17,False,17,False,3,True,15,
52,9,n,True,35,18,False,17,True,18,False,3,False,15,
53,32,s,True,36,18,True,18,False,18,False,3,False,15,
54,4,n,True,37,18,False,18,True,19,False,3,False,15,
55,42,s,False,37,19,False,18,False,19,True,4,False,15,
56,41,n,True,38,19,False,18,True,20,False,4,False,15,
57,5,n,True,39,19,False,18,True,21,False,4,False,15,
58,1,n,True,40,19,False,18,True,22,False,4,False,15,
59,41,n,True,41,19,False,18,True,23,False,4,False,15,
60,13,s,True,42,19,True,19,False,23,False,4,False,15,
61,37,n,True,43,19,False,19,True,24,False,4,False,15,
62,42,s,False,43,20,False,19,False,24,True,5,False,15,
63,11,n,True,44,20,False,19,True,25,False,5,False,15,
64,30,s,True,45,20,True,20,False,25,False,5,False,15,
65,44,n,True,46,20,False,20,True,26,False,5,False,15,
66,8,n,True,47,20,False,20,True,27,False,5,False,15,
67,4,n,True,48,20,False,20,True,28,False,5,False,15,
68,9,n,True,49,20,False,20,True,29,False,5,False,15,
69,11,n,True,50,20,False,20,True,30,False,5,False,15,
70,46,n,True,51,20,False,20,True,31,False,5,False,15,
71,13,s,True,52,20,True,21,False,31,False,5,False,15,
72,47,n,True,53,20,False,21,True,32,False,5,False,15,
73,35,s,True,54,20,True,22,False,32,False,5,False,15,
74,7,n,True,55,20,False,22,True,33,False,5,False,15,
75,28,s,True,56,20,True,23,False,33,False,5,False,15,
76,21,s,True,57,20,True,24,False,33,False,5,False,15,
77,22,s,True,58,20,True,25,False,33,False,5,False,15,
78,37,n,True,59,20,False,25,True,34,False,5,False,15,
79,30,s,True,60,20,True,26,False,34,False,5,False,15,
80,32,s,True,61,20,True,27,False,34,False,5,False,15,
81,37,n,True,62,20,False,27,True,35,False,5,False,15,
82,40,s,False,62,21,False,27,False,35,True,6,False,15,
83,40,n,True,63,21,False,27,True,36,False,6,False,15,
84,42,s,False,63,22,False,27,False,36,True,7,False,15,
85,11,n,True,64,22,False,27,True,37,False,7,False,15,
86,2,n,True,65,22,False,27,True,38,False,7,False,15,
87,23,s,True,66,22,True,28,False,38,False,7,False,15,
88,23,s,True,67,22,True,29,False,38,False,7,False,15,
89,3,n,True,68,22,False,29,True,39,False,7,False,15,
90,39,n,True,69,22,False,29,True,40,False,7,False,15,
91,24,s,True,70,22,True,30,False,40,False,7,False,15,
92,31,s,True,71,22,True,31,False,40,False,7,False,15,
93,41,n,True,72,22,False,31,True,41,False,7,False,15,
94,31,s,True,73,22,True,32,False,41,False,7,False,15,
95,14,s,True,74,22,True,33,False,41,False,7,False,15,
96,22,s,True,75,22,True,34,False,41,False,7,False,15,
97,19,n,False,75,23,False,34,False,41,False,7,True,16,
98,5,n,True,76,23,False,34,True,42,False,7,False,16,
99,47,n,True,77,23,False,34,True,43,False,7,False,16,
100,14,s,True,78,23,True,35,False,43,False,7,False,16,
101,12,n,True,79,23,False,35,True,44,False,7,False,16,
102,38,s,False,79,24,False,35,False,44,True,8,False,16,
103,40,s,False,79,25,False,35,False,44,True,9,False,16,
104,14,n,False,79,26,False,35,False,44,False,9,True,17,
105,10,n,True,80,26,False,35,True,45,False,9,False,17,
106,35,n,False,80,27,False,35,False,45,False,9,True,18,
107,29,s,True,81,27,True,36,False,45,False,9,False,18,
108,28,n,False,81,28,False,36,False,45,False,9,True,19,
109,27,n,False,81,29,False,36,False,45,False,9,True,20,
110,19,n,False,81,30,False,36,False,45,False,9,True,21,
111,15,s,True,82,30,True,37,False,45,False,9,False,21,
112,23,s,True,83,30,True,38,False,45,False,9,False,21,
113,6,n,True,84,30,False,38,True,46,False,9,False,21,
114,3,n,True,85,30,False,38,True,47,False,9,False,21,
115,12,n,True,86,30,False,38,True,48,False,9,False,21,
116,8,n,True,87,30,False,38,True,49,False,9,False,21,
117,35,n,False,87,31,False,38,False,49,False,9,True,22,
118,25,n,False,87,32,False,38,False,49,False,9,True,23,
119,17,s,True,88,32,True,39,False,49,False,9,False,23,
120,35,s,True,89,32,True,40,False,49,False,9,False,23,
121,2,n,True,90,32,False,40,True,50,False,9,False,23,
122,28,s,True,91,32,True,41,False,50,False,9,False,23,
123,33,n,False,91,33,False,41,False,50,False,9,True,24,
124,20,n,False,91,34,False,41,False,50,False,9,True,25,
125,6,n,True,92,34,False,41,True,51,False,9,False,25,
126,22,s,True,93,34,True,42,False,51,False,9,False,25,
127,10,n,True,94,34,False,42,True,52,False,9,False,25,
128,9,n,True,95,34,False,42,True,53,False,9,False,25,
129,10,n,True,96,34,False,42,True,54,False,9,False,25,
130,35,s,True,97,34,True,43,False,54,False,9,False,25,
131,26,n,False,97,35,False,43,False,54,False,9,True,26,
132,25,n,False,97,36,False,43,False,54,False,9,True,27,
133,24,s,True,98,36,True,44,False,54,False,9,False,27,
134,7,n,True,99,36,False,44,True,55,False,9,False,27,
135,36,n,False,99,37,False,44,False,55,False,9,True,28,
136,22,s,True,100,37,True,45,False,55,False,9,False,28,
137,4,n,True,101,37,False,45,True,56,False,9,False,28,
138,8,n,True,102,37,False,45,True,57,False,9,False,28,
139,18,s,True,103,37,True,46,False,57,False,9,False,28,
140,29,s,True,104,37,True,47,False,57,False,9,False,28,
141,29,s,True,105,37,True,48,False,57,False,9,False,28,
142,1,n,True,106,37,False,48,True,58,False,9,False,28,
143,11,n,True,107,37,False,48,True,59,False,9,False,28,
144,24,s,True,108,37,True,49,False,59,False,9,False,28,
145,45,n,True,109,37,False,49,True,60,False,9,False,28,
146,6,n,True,110,37,False,49,True,61,False,9,False,28,
147,38,s,False,110,38,False,49,False,61,True,10,False,28,
148,9,n,True,111,38,False,49,True,62,False,10,False,28,
149,4,n,True,112,38,False,49,True,63,False,10,False,28,
150,33,n,False,112,39,False,49,False,63,False,10,True,29,
151,47,n,True,113,39,False,49,True,64,False,10,False,29,
152,38,n,True,114,39,False,49,True,65,False,10,False,29,
153,43,n,True,115,39,False,49,True,66,False,10,False,29,
154,43,n,True,116,39,False,49,True,67,False,10,False,29,
155,25,n,False,116,40,False,49,False,67,False,10,True,30,
156,43,n,True,117,40,False,49,True,68,False,10,False,30,
157,3,n,True,118,40,False,49,True,69,False,10,False,30,
158,2,n,True,119,40,False,49,True,70,False,10,False,30,
159,39,s,False,119,41,False,49,False,70,True,11,False,30,
160,23,s,True,120,41,True,50,False,70,False,11,False,30,
161,7,n,True,121,41,False,50,True,71,False,11,False,30,
162,46,n,True,122,41,False,50,True,72,False,11,False,30,
163,20,n,False,122,42,False,50,False,72,False,11,True,31,
164,1,n,True,123,42,False,50,True,73,False,11,False,31,
165,16,s,True,124,42,True,51,False,73,False,11,False,31,
166,22,s,True,125,42,True,52,False,73,False,11,False,31,
167,5,n,True,126,42,False,52,True,74,False,11,False,31,
168,37,n,True,127,42,False,52,True,75,False,11,False,31,
169,16,s,True,128,42,True,53,False,75,False,11,False,31,
170,28,n,False,128,43,False,53,False,75,False,11,True,32,
