Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,25,n,False,0,1,False,0,False,0,False,0,True,1,
1,6,n,True,1,1,False,0,True,1,False,0,False,1,
2,3,n,True,2,1,False,0,True,2,False,0,False,1,
3,26,s,True,3,1,True,1,False,2,False,0,False,1,
4,12,n,True,4,1,False,1,True,3,False,0,False,1,
5,47,n,True,5,1,False,1,True,4,False,0,False,1,
6,48,n,True,6,1,False,1,True,5,False,0,False,1,
7,15,s,True,7,1,True,2,False,5,False,0,False,1,
8,16,s,True,8,1,True,3,False,5,False,0,False,1,
9,35,s,True,9,1,True,4,False,5,False,0,False,1,
10,30,n,False,9,2,False,4,False,5,False,0,True,2,
11,17,s,True,10,2,True,5,False,5,False,0,False,2,
12,27,s,True,11,2,True,6,False,5,False,0,False,2,
13,41,s,False,11,3,False,6,False,5,True,1,False,2,
14,23,s,True,12,3,True,7,False,5,False,1,False,2,
15,38,s,False,12,4,False,7,False,5,True,2,False,2,
16,30,s,True,13,4,True,8,False,5,False,2,False,2,
17,46,n,True,14,4,False,8,True,6,False,2,False,2,
18,29,n,False,14,5,False,8,False,6,False,2,True,3,
19,11,n,True,15,5,False,8,True,7,False,2,False,3,
20,35,n,False,15,6,False,8,False,7,False,2,True,4,
21,41,s,False,15,7,False,8,False,7,True,3,False,4,
22,4,n,True,16,7,False,8,True,8,False,3,False,4,
23,14,s,True,17,7,True,9,False,8,False,3,False,4,
24,44,n,True,18,7,False,9,True,9,False,3,False,4,
25,14,s,True,19,7,True,10,False,9,False,3,False,4,
26,41,n,True,20,7,False,10,True,10,False,3,False,4,
27,3,n,True,21,7,False,10,True,11,False,3,False,4,
28,47,s,False,21,8,False,10,False,11,True,4,False,4,
29,6,n,True,22,8,False,10,True,12,False,4,False,4,
30,44,n,True,23,8,False,10,True,13,False,4,False,4,
31,37,n,True,24,8,False,10,True,14,False,4,False,4,
32,7,n,True,25,8,False,10,True,15,False,4,False,4,
33,46,s,False,25,9,False,10,False,15,True,5,False,4,
34,19,s,True,26,9,True,11,False,15,False,5,False,4,
35,22,s,True,27,9,True,12,False,15,False,5,False,4,
36,10,n,True,28,9,False,12,True,16,False,5,False,4,
37,28,n,False,28,10,False,12,False,16,False,5,True,5,
38,25,s,True,29,10,True,13,False,16,False,5,False,5,
39,13,s,True,30,10,True,14,False,16,False,5,False,5,
40,17,s,True,31,10,True,15,False,16,False,5,False,5,
41,5,n,True,32,10,False,15,True,17,False,5,False,5,
42,24,s,True,33,10,True,16,False,17,False,5,False,5,
43,13,s,True,34,10,True,17,False,17,False,5,False,5,
44,43,n,True,35,10,False,17,True,18,False,5,False,5,
45,22,s,True,36,10,True,18,False,18,False,5,False,5,
46,39,n,True,37,10,False,18,True,19,False,5,False,5,
47,35,s,True,38,10,True,19,False,19,False,5,False,5,
48,2,n,True,39,10,False,19,True,20,False,5,False,5,
49,8,n,True,40,10,False,19,True,21,False,5,False,5,
50,38,n,True,41,10,False,19,True,22,False,5,False,5,
51,18,s,True,42,10,True,20,False,22,False,5,False,5,
52,41,s,False,42,11,False,20,False,22,True,6,False,5,
53,37,n,True,43,11,False,20,True,23,False,6,False,5,
54,34,s,True,44,11,True,21,False,23,False,6,False,5,
55,30,s,True,45,11,True,22,False,23,False,6,False,5,
56,28,s,True,46,11,True,23,False,23,False,6,False,5,
57,20,s,True,47,11,True,24,False,23,False,6,False,5,
58,47,n,True,48,11,False,24,True,24,False,6,False,5,
59,23,s,True,49,11,True,25,False,24,False,6,False,5,
60,42,s,False,49,12,False,25,False,24,True,7,False,5,
61,40,n,True,50,12,False,25,True,25,False,7,False,5,
62,17,s,True,51,12,True,26,False,25,False,7,False,5,
63,36,s,True,52,12,True,27,False,25,False,7,False,5,
64,13,s,True,53,12,True,28,False,25,False,7,False,5,
65,22,s,True,54,12,True,29,False,25,False,7,False,5,
66,9,n,True,55,12,False,29,True,26,False,7,False,5,
67,48,s,False,55,13,False,29,False,26,True,8,False,5,
68,15,s,True,56,13,True,30,False,26,False,8,False,5,
69,39,s,False,56,14,False,30,False,26,True,9,False,5,
70,39,s,False,56,15,False,30,False,26,True,10,False,5,
71,40,s,False,56,16,False,30,False,26,True,11,False,5,
72,25,s,True,57,16,True,31,False,26,False,11,False,5,
73,23,s,True,58,16,True,32,False,26,False,11,False,5,
74,23,s,True,59,16,True,33,False,26,False,11,False,5,
75,26,s,True,60,16,True,34,False,26,False,11,False,5,
76,39,n,True,61,16,False,34,True,27,False,11,False,5,
77,19,s,True,62,16,True,35,False,27,False,11,False,5,
78,36,s,True,63,16,True,36,False,27,False,11,False,5,
79,11,n,True,64,16,False,36,True,28,False,11,False,5,
80,2,n,True,65,16,False,36,True,29,False,11,False,5,
81,17,s,True,66,16,True,37,False,29,False,11,False,5,
82,35,s,True,67,16,True,38,False,29,False,11,False,5,
83,16,s,True,68,16,True,39,False,29,False,11,False,5,
84,6,n,True,69,16,False,39,True,30,False,11,False,5,
85,18,s,True,70,16,True,40,False,30,False,11,False,5,
86,45,s,False,70,17,False,40,False,30,True,12,False,5,
87,27,n,False,70,18,False,40,False,30,False,12,True,6,
88,29,s,True,71,18,True,41,False,30,False,12,False,6,
89,11,n,True,72,18,False,41,True,31,False,12,False,6,
90,28,s,True,73,18,True,42,False,31,False,12,False,6,
91,47,n,True,74,18,False,42,True,32,False,12,False,6,
92,18,s,True,75,18,True,43,False,32,False,12,False,6,
93,5,n,True,76,18,False,43,True,33,False,12,False,6,
94,32,s,True,77,18,True,44,False,33,False,12,False,6,
95,29,n,False,77,19,False,44,False,33,False,12,True,7,
96,1,n,True,78,19,False,44,True,34,False,12,False,7,
97,16,n,False,78,20,False,44,False,34,False,12,True,8,
98,22,s,True,79,20,True,45,False,34,False,12,False,8,
99,29,s,True,80,20,True,46,False,34,False,12,False,8,
100,5,n,True,81,20,False,46,True,35,False,12,False,8,
101,26,n,False,81,21,False,46,False,35,False,12,True,9,
102,48,n,True,82,21,False,46,True,36,False,12,False,9,
103,46,n,True,83,21,False,46,True,37,False,12,False,9,
104,43,n,True,84,21,False,46,True,38,False,12,False,9,
105,6,n,True,85,21,False,46,True,39,False,12,False,9,
106,15,s,True,86,21,True,47,False,39,False,12,False,9,
107,27,s,True,87,21,True,48,False,39,False,12,False,9,
108,44,n,True,88,21,False,48,True,40,False,12,False,9,
109,42,s,False,88,22,False,48,False,40,True,13,False,9,
110,40,s,False,88,23,False,48,False,40,True,14,False,9,
111,43,s,False,88,24,False,48,False,40,True,15,False,9,
112,13,s,True,89,24,True,49,False,40,False,15,False,9,
113,14,s,True,90,24,True,50,False,40,False,15,False,9,
114,9,n,True,91,24,False,50,True,41,False,15,False,9,
115,7,n,True,92,24,False,50,True,42,False,15,False,9,
116,38,s,False,92,25,False,50,False,42,True,16,False,9,
117,8,n,True,93,25,False,50,True,43,False,16,False,9,
118,12,n,True,94,25,False,50,True,44,False,16,False,9,
119,23,s,True,95,25,True,51,False,44,False,16,False,9,
120,41,s,False,95,26,False,51,False,44,True,17,False,9,
121,35,s,True,96,26,True,52,False,44,False,17,False,9,
122,48,n,True,97,26,False,52,True,45,False,17,False,9,
123,44,n,True,98,26,False,52,True,46,False,17,False,9,
124,26,s,True,99,26,True,53,False,46,False,17,False,9,
