Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,2,n,True,1,0,False,0,True,1,False,0,False,0,
1,23,s,True,2,0,True,1,False,1,False,0,False,0,
2,14,s,True,3,0,True,2,False,1,False,0,False,0,
3,11,n,True,4,0,False,2,True,2,False,0,False,0,
4,37,n,True,5,0,False,2,True,3,False,0,False,0,
5,18,s,True,6,0,True,3,False,3,False,0,False,0,
6,35,s,True,7,0,True,4,False,3,False,0,False,0,
7,33,s,True,8,0,True,5,False,3,False,0,False,0,
8,20,s,True,9,0,True,6,False,3,False,0,False,0,
9,5,n,True,10,0,False,6,True,4,False,0,False,0,
10,33,s,True,11,0,True,7,False,4,False,0,False,0,
11,12,n,True,12,0,False,7,True,5,False,0,False,0,
12,2,n,True,13,0,False,7,True,6,False,0,False,0,
13,27,s,True,14,0,True,8,False,6,False,0,False,0,
14,2,n,True,15,0,False,8,True,7,False,0,False,0,
15,42,n,True,16,0,False,8,True,8,False,0,False,0,
16,13,s,True,17,0,True,9,False,8,False,0,False,0,
17,8,n,True,18,0,False,9,True,9,False,0,False,0,
18,28,s,True,19,0,True,10,False,9,False,0,False,0,
19,11,n,True,20,0,False,10,True,10,False,0,False,0,
20,30,s,True,21,0,True,11,False,10,False,0,False,0,
21,17,s,True,22,0,True,12,False,10,False,0,False,0,
22,4,n,True,23,0,False,12,True,11,False,0,False,0,
23,1,n,True,24,0,False,12,True,12,False,0,False,0,
24,19,s,True,25,0,True,13,False,12,False,0,False,0,
25,43,n,True,26,0,False,13,True,13,False,0,False,0,
26,19,s,True,27,0,True,14,False,13,False,0,False,0,
27,33,s,True,28,0,True,15,False,13,False,0,False,0,
28,15,s,True,29,0,True,16,False,13,False,0,False,0,
29,5,n,True,30,0,False,16,True,14,False,0,False,0,
30,31,s,True,31,0,True,17,False,14,False,0,False,0,
31,44,n,True,32,0,False,17,True,15,False,0,False,0,
32,21,s,True,33,0,True,18,False,15,False,0,False,0,
33,25,s,True,34,0,True,19,False,15,False,0,False,0,
34,38,n,True,35,0,False,19,True,16,False,0,False,0,
35,15,s,True,36,0,True,20,False,16,False,0,False,0,
36,7,n,True,37,0,False,20,True,17,False,0,False,0,
37,42,n,True,38,0,False,20,True,18,False,0,False,0,
38,25,s,True,39,0,True,21,False,18,False,0,False,0,
39,39,n,True,40,0,False,21,True,19,False,0,False,0,
40,15,s,True,41,0,True,22,False,19,False,0,False,0,
41,26,s,True,42,0,True,23,False,19,False,0,False,0,
42,9,n,True,43,0,False,23,True,20,False,0,False,0,
43,8,n,True,44,0,False,23,True,21,False,0,False,0,
44,32,s,True,45,0,True,24,False,21,False,0,False,0,
45,23,s,True,46,0,True,25,False,21,False,0,False,0,
46,1,n,True,47,0,False,25,True,22,False,0,False,0,
47,13,s,True,48,0,True,26,False,22,False,0,False,0,
48,23,s,True,49,0,True,27,False,22,False,0,False,0,
49,13,s,True,50,0,True,28,False,22,False,0,False,0,
50,39,n,True,51,0,False,28,True,23,False,0,False,0,
51,23,s,True,52,0,True,29,False,23,False,0,False,0,
52,28,s,True,53,0,True,30,False,23,False,0,False,0,
53,26,s,True,54,0,True,31,False,23,False,0,False,0,
54,35,s,True,55,0,True,32,False,23,False,0,False,0,
55,4,n,True,56,0,False,32,True,24,False,0,False,0,
56,9,n,True,57,0,False,32,True,25,False,0,False,0,
57,30,s,True,58,0,True,33,False,25,False,0,False,0,
58,38,n,True,59,0,False,33,True,26,False,0,False,0,
59,48,n,True,60,0,False,33,True,27,False,0,False,0,
60,27,s,True,61,0,True,34,False,27,False,0,False,0,
61,40,n,True,62,0,False,34,True,28,False,0,False,0,
62,31,n,False,62,1,False,34,False,28,False,0,True,1,
63,31,s,True,63,1,True,35,False,28,False,0,False,1,
64,19,s,True,64,1,True,36,False,28,False,0,False,1,
65,34,s,True,65,1,True,37,False,28,False,0,False,1,
66,2,n,True,66,1,False,37,True,29,False,0,False,1,
67,22,s,True,67,1,True,38,False,29,False,0,False,1,
68,28,s,True,68,1,True,39,False,29,False,0,False,1,
69,4,n,True,69,1,False,39,True,30,False,0,False,1,
70,40,n,True,70,1,False,39,True,31,False,0,False,1,
71,7,n,True,71,1,False,39,True,32,False,0,False,1,
72,24,s,True,72,1,True,40,False,32,False,0,False,1,
73,10,n,True,73,1,False,40,True,33,False,0,False,1,
74,31,s,True,74,1,True,41,False,33,False,0,False,1,
75,35,s,True,75,1,True,42,False,33,False,0,False,1,
76,21,s,True,76,1,True,43,False,33,False,0,False,1,
77,14,s,True,77,1,True,44,False,33,False,0,False,1,
78,2,n,True,78,1,False,44,True,34,False,0,False,1,
79,41,n,True,79,1,False,44,True,35,False,0,False,1,
80,34,s,True,80,1,True,45,False,35,False,0,False,1,
81,35,s,True,81,1,True,46,False,35,False,0,False,1,
82,24,s,True,82,1,True,47,False,35,False,0,False,1,
83,36,s,True,83,1,True,48,False,35,False,0,False,1,
84,17,s,True,84,1,True,49,False,35,False,0,False,1,
85,3,n,True,85,1,False,49,True,36,False,0,False,1,
86,26,s,True,86,1,True,50,False,36,False,0,False,1,
87,3,n,True,87,1,False,50,True,37,False,0,False,1,
88,47,n,True,88,1,False,50,True,38,False,0,False,1,
89,30,s,True,89,1,True,51,False,38,False,0,False,1,
90,15,s,True,90,1,True,52,False,38,False,0,False,1,
91,38,n,True,91,1,False,52,True,39,False,0,False,1,
92,41,n,True,92,1,False,52,True,40,False,0,False,1,
93,35,s,True,93,1,True,53,False,40,False,0,False,1,
94,45,n,True,94,1,False,53,True,41,False,0,False,1,
95,29,s,True,95,1,True,54,False,41,False,0,False,1,
96,43,n,True,96,1,False,54,True,42,False,0,False,1,
97,10,n,True,97,1,False,54,True,43,False,0,False,1,
98,47,n,True,98,1,False,54,True,44,False,0,False,1,
99,43,n,True,99,1,False,54,True,45,False,0,False,1,
100,17,s,True,100,1,True,55,False,45,False,0,False,1,
101,32,s,True,101,1,True,56,False,45,False,0,False,1,
102,28,s,True,102,1,True,57,False,45,False,0,False,1,
103,48,n,True,103,1,False,57,True,46,False,0,False,1,
104,48,n,True,104,1,False,57,True,47,False,0,False,1,
105,38,n,True,105,1,False,57,True,48,False,0,False,1,
