Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,33,s,True,1,0,True,1,False,0,False,0,False,0,
1,10,n,True,2,0,False,1,True,1,False,0,False,0,
2,15,s,True,3,0,True,2,False,1,False,0,False,0,
3,17,s,True,4,0,True,3,False,1,False,0,False,0,
4,31,s,True,5,0,True,4,False,1,False,0,False,0,
5,41,n,True,6,0,False,4,True,2,False,0,False,0,
6,45,n,True,7,0,False,4,True,3,False,0,False,0,
7,35,s,True,8,0,True,5,False,3,False,0,False,0,
8,9,n,True,9,0,False,5,True,4,False,0,False,0,
9,11,s,False,9,1,False,5,False,4,True,1,False,0,
10,27,s,True,10,1,True,6,False,4,False,1,False,0,
11,35,s,True,11,1,True,7,False,4,False,1,False,0,
12,38,s,False,11,2,False,7,False,4,True,2,False,0,
13,14,s,True,12,2,True,8,False,4,False,2,False,0,
14,26,s,True,13,2,True,9,False,4,False,2,False,0,
15,20,s,True,14,2,True,10,False,4,False,2,False,0,
16,18,s,True,15,2,True,11,False,4,False,2,False,0,
17,26,s,True,16,2,True,12,False,4,False,2,False,0,
18,36,s,True,17,2,True,13,False,4,False,2,False,0,
19,9,n,True,18,2,False,13,True,5,False,2,False,0,
20,3,n,True,19,2,False,13,True,6,False,2,False,0,
21,34,s,True,20,2,True,14,False,6,False,2,False,0,
22,35,s,True,21,2,True,15,False,6,False,2,False,0,
23,13,s,True,22,2,True,16,False,6,False,2,False,0,
24,28,s,True,23,2,True,17,False,6,False,2,False,0,
25,9,n,True,24,2,False,17,True,7,False,2,False,0,
26,35,s,True,25,2,True,18,False,7,False,2,False,0,
27,21,s,True,26,2,True,19,False,7,False,2,False,0,
28,3,n,True,27,2,False,19,True,8,False,2,False,0,
29,10,s,False,27,3,False,19,False,8,True,3,False,0,
30,43,n,True,28,3,False,19,True,9,False,3,False,0,
31,4,n,True,29,3,False,19,True,10,False,3,False,0,
32,16,s,True,30,3,True,20,False,10,False,3,False,0,
33,45,n,True,31,3,False,20,True,11,False,3,False,0,
34,28,s,True,32,3,True,21,False,11,False,3,False,0,
35,46,n,True,33,3,False,21,True,12,False,3,False,0,
36,47,n,True,34,3,False,21,True,13,False,3,False,0,
37,48,s,False,34,4,False,21,False,13,True,4,False,0,
38,32,s,True,35,4,True,22,False,13,False,4,False,0,
39,42,s,False,35,5,False,22,False,13,True,5,False,0,
40,22,s,True,36,5,True,23,False,13,False,5,False,0,
41,2,n,True,37,5,False,23,True,14,False,5,False,0,
42,25,s,True,38,5,True,24,False,14,False,5,False,0,
43,2,n,True,39,5,False,24,True,15,False,5,False,0,
44,25,s,True,40,5,True,25,False,15,False,5,False,0,
45,14,s,True,41,5,True,26,False,15,False,5,False,0,
46,25,s,True,42,5,True,27,False,15,False,5,False,0,
47,24,s,True,43,5,True,28,False,15,False,5,False,0,
48,20,s,True,44,5,True,29,False,15,False,5,False,0,
49,31,s,True,45,5,True,30,False,15,False,5,False,0,
50,29,s,True,46,5,True,31,False,15,False,5,False,0,
51,31,s,True,47,5,True,32,False,15,False,5,False,0,
52,42,s,False,47,6,False,32,False,15,True,6,False,0,
53,1,n,True,48,6,False,32,True,16,False,6,False,0,
54,22,s,True,49,6,True,33,False,16,False,6,False,0,
55,45,n,True,50,6,False,33,True,17,False,6,False,0,
56,14,s,True,51,6,True,34,False,17,False,6,False,0,
57,37,n,True,52,6,False,34,True,18,False,6,False,0,
58,8,n,True,53,6,False,34,True,19,False,6,False,0,
59,19,s,True,54,6,True,35,False,19,False,6,False,0,
60,16,s,True,55,6,True,36,False,19,False,6,False,0,
61,7,n,True,56,6,False,36,True,20,False,6,False,0,
62,48,s,False,56,7,False,36,False,20,True,7,False,0,
63,7,n,True,57,7,False,36,True,21,False,7,False,0,
64,10,n,True,58,7,False,36,True,22,False,7,False,0,
65,44,s,False,58,8,False,36,False,22,True,8,False,0,
66,19,s,True,59,8,True,37,False,22,False,8,False,0,
67,7,n,True,60,8,False,37,True,23,False,8,False,0,
68,21,s,True,61,8,True,38,False,23,False,8,False,0,
69,13,s,True,62,8,True,39,False,23,False,8,False,0,
70,15,s,True,63,8,True,40,False,23,False,8,False,0,
71,5,n,True,64,8,False,40,True,24,False,8,False,0,
72,19,s,True,65,8,True,41,False,24,False,8,False,0,
73,17,s,True,66,8,True,42,False,24,False,8,False,0,
74,26,s,True,67,8,True,43,False,24,False,8,False,0,
75,40,s,False,67,9,False,43,False,24,True,9,False,0,
76,31,s,True,68,9,True,44,False,24,False,9,False,0,
77,6,n,True,69,9,False,44,True,25,False,9,False,0,
78,26,s,True,70,9,True,45,False,25,False,9,False,0,
79,34,s,True,71,9,True,46,False,25,False,9,False,0,
80,43,n,True,72,9,False,46,True,26,False,9,False,0,
81,27,s,True,73,9,True,47,False,26,False,9,False,0,
82,17,s,True,74,9,True,48,False,26,False,9,False,0,
83,44,n,True,75,9,False,48,True,27,False,9,False,0,
84,13,s,True,76,9,True,49,False,27,False,9,False,0,
85,41,n,True,77,9,False,49,True,28,False,9,False,0,
86,8,n,True,78,9,False,49,True,29,False,9,False,0,
87,42,s,False,78,10,False,49,False,29,True,10,False,0,
88,43,n,True,79,10,False,49,True,30,False,10,False,0,
89,12,n,True,80,10,False,49,True,31,False,10,False,0,
90,27,s,True,81,10,True,50,False,31,False,10,False,0,
91,18,n,False,81,11,False,50,False,31,False,10,True,1,
92,29,s,True,82,11,True,51,False,31,False,10,False,1,
93,28,s,True,83,11,True,52,False,31,False,10,False,1,
94,22,s,True,84,11,True,53,False,31,False,10,False,1,
95,30,s,True,85,11,True,54,False,31,False,10,False,1,
96,27,s,True,86,11,True,55,False,31,False,10,False,1,
97,21,s,True,87,11,True,56,False,31,False,10,False,1,
98,47,n,True,88,11,False,56,True,32,False,10,False,1,
99,36,s,True,89,11,True,57,False,32,False,10,False,1,
100,39,s,False,89,12,False,57,False,32,True,11,False,1,
101,29,s,True,90,12,True,58,False,32,False,11,False,1,
102,22,s,True,91,12,True,59,False,32,False,11,False,1,
103,47,n,True,92,12,False,59,True,33,False,11,False,1,
104,11,n,True,93,12,False,59,True,34,False,11,False,1,
105,44,s,False,93,13,False,59,False,34,True,12,False,1,
106,48,s,False,93,14,False,59,False,34,True,13,False,1,
107,15,s,True,94,14,True,60,False,34,False,13,False,1,
108,34,s,True,95,14,True,61,False,34,False,13,False,1,
109,28,s,True,96,14,True,62,False,34,False,13,False,1,
110,44,n,True,97,14,False,62,True,35,False,13,False,1,
111,22,s,True,98,14,True,63,False,35,False,13,False,1,
112,7,n,True,99,14,False,63,True,36,False,13,False,1,
113,41,s,False,99,15,False,63,False,36,True,14,False,1,
114,1,n,True,100,15,False,63,True,37,False,14,False,1,
115,39,n,True,101,15,False,63,True,38,False,14,False,1,
116,31,s,True,102,15,True,64,False,38,False,14,False,1,
117,7,n,True,103,15,False,64,True,39,False,14,False,1,
118,30,s,True,104,15,True,65,False,39,False,14,False,1,
119,33,s,True,105,15,True,66,False,39,False,14,False,1,
120,19,s,True,106,15,True,67,False,39,False,14,False,1,
121,3,n,True,107,15,False,67,True,40,False,14,False,1,
122,25,s,True,108,15,True,68,False,40,False,14,False,1,
123,7,n,True,109,15,False,68,True,41,False,14,False,1,
124,43,n,True,110,15,False,68,True,42,False,14,False,1,
125,8,s,False,110,16,False,68,False,42,True,15,False,1,
126,8,s,False,110,17,False,68,False,42,True,16,False,1,
127,3,n,True,111,17,False,68,True,43,False,16,False,1,
128,14,s,True,112,17,True,69,False,43,False,16,False,1,
129,48,s,False,112,18,False,69,False,43,True,17,False,1,
130,15,s,True,113,18,True,70,False,43,False,17,False,1,
131,38,s,False,113,19,False,70,False,43,True,18,False,1,
132,46,s,False,113,20,False,70,False,43,True,19,False,1,
133,39,n,True,114,20,False,70,True,44,False,19,False,1,
134,32,s,True,115,20,True,71,False,44,False,19,False,1,
135,16,s,True,116,20,True,72,False,44,False,19,False,1,
136,43,n,True,117,20,False,72,True,45,False,19,False,1,
137,46,s,False,117,21,False,72,False,45,True,20,False,1,
138,12,s,False,117,22,False,72,False,45,True,21,False,1,
139,12,s,False,117,23,False,72,False,45,True,22,False,1,
140,11,s,False,117,24,False,72,False,45,True,23,False,1,
141,10,n,True,118,24,False,72,True,46,False,23,False,1,
142,20,s,True,119,24,True,73,False,46,False,23,False,1,
