Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,5,n,True,1,0,False,0,True,1,False,0,False,0,
1,34,n,False,1,1,False,0,False,1,False,0,True,1,
2,21,s,True,2,1,True,1,False,1,False,0,False,1,
3,18,s,True,3,1,True,2,False,1,False,0,False,1,
4,23,s,True,4,1,True,3,False,1,False,0,False,1,
5,33,s,True,5,1,True,4,False,1,False,0,False,1,
6,20,s,True,6,1,True,5,False,1,False,0,False,1,
7,37,n,True,7,1,False,5,True,2,False,0,False,1,
8,2,n,True,8,1,False,5,True,3,False,0,False,1,
9,2,n,True,9,1,False,5,True,4,False,0,False,1,
10,44,n,True,10,1,False,5,True,5,False,0,False,1,
11,13,s,True,11,1,True,6,False,5,False,0,False,1,
12,1,n,True,12,1,False,6,True,6,False,0,False,1,
13,22,n,False,12,2,False,6,False,6,False,0,True,2,
14,34,n,False,12,3,False,6,False,6,False,0,True,3,
15,25,s,True,13,3,True,7,False,6,False,0,False,3,
16,32,s,True,14,3,True,8,False,6,False,0,False,3,
17,22,s,True,15,3,True,9,False,6,False,0,False,3,
18,15,s,True,16,3,True,10,False,6,False,0,False,3,
19,48,n,True,17,3,False,10,True,7,False,0,False,3,
20,32,n,False,17,4,False,10,False,7,False,0,True,4,
21,18,n,False,17,5,False,10,False,7,False,0,True,5,
22,46,n,True,18,5,False,10,True,8,False,0,False,5,
23,18,n,False,18,6,False,10,False,8,False,0,True,6,
24,22,s,True,19,6,True,11,False,8,False,0,False,6,
25,40,s,False,19,7,False,11,False,8,True,1,False,6,
26,33,n,False,19,8,False,11,False,8,False,1,True,7,
27,5,n,True,20,8,False,11,True,9,False,1,False,7,
28,26,s,True,21,8,True,12,False,9,False,1,False,7,
29,18,s,True,22,8,True,13,False,9,False,1,False,7,
30,3,n,True,23,8,False,13,True,10,False,1,False,7,
31,43,n,True,24,8,False,13,True,11,False,1,False,7,
32,5,n,True,25,8,False,13,True,12,False,1,False,7,
33,16,s,True,26,8,True,14,False,12,False,1,False,7,
34,45,n,True,27,8,False,14,True,13,False,1,False,7,
35,4,n,True,28,8,False,14,True,14,False,1,False,7,
36,10,n,True,29,8,False,14,True,15,False,1,False,7,
37,43,n,True,30,8,False,14,True,16,False,1,False,7,
38,16,n,False,30,9,False,14,False,16,False,1,True,8,
39,11,s,False,30,10,False,14,False,16,True,2,False,8,
40,48,n,True,31,10,False,14,True,17,False,2,False,8,
41,6,n,True,32,10,False,14,True,18,False,2,False,8,
42,30,s,True,33,10,True,15,False,18,False,2,False,8,
43,28,s,True,34,10,True,16,False,18,False,2,False,8,
44,9,n,True,35,10,False,16,True,19,False,2,False,8,
45,32,s,True,36,10,True,17,False,19,False,2,False,8,
46,21,s,True,37,10,True,18,False,19,False,2,False,8,
47,26,s,True,38,10,True,19,False,19,False,2,False,8,
48,14,s,True,39,10,True,20,False,19,False,2,False,8,
49,46,n,True,40,10,False,20,True,20,False,2,False,8,
50,42,s,False,40,11,False,20,False,20,True,3,False,8,
51,46,n,True,41,11,False,20,True,21,False,3,False,8,
52,2,n,True,42,11,False,20,True,22,False,3,False,8,
53,19,s,True,43,11,True,21,False,22,False,3,False,8,
54,24,s,True,44,11,True,22,False,22,False,3,False,8,
55,17,s,True,45,11,True,23,False,22,False,3,False,8,
56,41,s,False,45,12,False,23,False,22,True,4,False,8,
57,1,n,True,46,12,False,23,True,23,False,4,False,8,
58,45,n,True,47,12,False,23,True,24,False,4,False,8,
59,10,n,True,48,12,False,23,True,25,False,4,False,8,
60,9,n,True,49,12,False,23,True,26,False,4,False,8,
61,34,n,False,49,13,False,23,False,26,False,4,True,9,
62,28,s,True,50,13,True,24,False,26,False,4,False,9,
63,45,n,True,51,13,False,24,True,27,False,4,False,9,
64,16,s,True,52,13,True,25,False,27,False,4,False,9,
65,11,n,True,53,13,False,25,True,28,False,4,False,9,
66,4,n,True,54,13,False,25,True,29,False,4,False,9,
67,24,n,False,54,14,False,25,False,29,False,4,True,10,
68,9,n,True,55,14,False,25,True,30,False,4,False,10,
69,47,n,True,56,14,False,25,True,31,False,4,False,10,
70,47,n,True,57,14,False,25,True,32,False,4,False,10,
71,34,s,True,58,14,True,26,False,32,False,4,False,10,
72,8,n,True,59,14,False,26,True,33,False,4,False,10,
73,8,n,True,60,14,False,26,True,34,False,4,False,10,
74,39,n,True,61,14,False,26,True,35,False,4,False,10,
75,40,n,True,62,14,False,26,True,36,False,4,False,10,
76,41,s,False,62,15,False,26,False,36,True,5,False,10,
77,19,s,True,63,15,True,27,False,36,False,5,False,10,
78,29,s,True,64,15,True,28,False,36,False,5,False,10,
79,27,n,False,64,16,False,28,False,36,False,5,True,11,
80,12,n,True,65,16,False,28,True,37,False,5,False,11,
81,3,n,True,66,16,False,28,True,38,False,5,False,11,
82,19,s,True,67,16,True,29,False,38,False,5,False,11,
83,45,n,True,68,16,False,29,True,39,False,5,False,11,
84,46,n,True,69,16,False,29,True,40,False,5,False,11,
85,21,n,False,69,17,False,29,False,40,False,5,True,12,
86,11,s,False,69,18,False,29,False,40,True,6,False,12,
87,30,s,True,70,18,True,30,False,40,False,6,False,12,
88,21,s,True,71,18,True,31,False,40,False,6,False,12,
89,22,s,True,72,18,True,32,False,40,False,6,False,12,
90,12,n,True,73,18,False,32,True,41,False,6,False,12,
91,3,n,True,74,18,False,32,True,42,False,6,False,12,
92,40,s,False,74,19,False,32,False,42,True,7,False,12,
93,12,n,True,75,19,False,32,True,43,False,7,False,12,
94,45,n,True,76,19,False,32,True,44,False,7,False,12,
95,23,n,False,76,20,False,32,False,44,False,7,True,13,
96,31,s,True,77,20,True,33,False,44,False,7,False,13,
97,26,s,True,78,20,True,34,False,44,False,7,False,13,
98,42,s,False,78,21,False,34,False,44,True,8,False,13,
99,47,n,True,79,21,False,34,True,45,False,8,False,13,
100,40,s,False,79,22,False,34,False,45,True,9,False,13,
101,30,s,True,80,22,True,35,False,45,False,9,False,13,
102,14,s,True,81,22,True,36,False,45,False,9,False,13,
103,36,s,True,82,22,True,37,False,45,False,9,False,13,
104,24,s,True,83,22,True,38,False,45,False,9,False,13,
105,1,n,True,84,22,False,38,True,46,False,9,False,13,
106,48,n,True,85,22,False,38,True,47,False,9,False,13,
107,18,s,True,86,22,True,39,False,47,False,9,False,13,
108,22,s,True,87,22,True,40,False,47,False,9,False,13,
109,37,n,True,88,22,False,40,True,48,False,9,False,13,
110,4,n,True,89,22,False,40,True,49,False,9,False,13,
111,17,n,False,89,23,False,40,False,49,False,9,True,14,
112,22,s,True,90,23,True,41,False,49,False,9,False,14,
113,4,s,False,90,24,False,41,False,49,True,10,False,14,
114,8,n,True,91,24,False,41,True,50,False,10,False,14,
115,20,n,False,91,25,False,41,False,50,False,10,True,15,
116,33,s,True,92,25,True,42,False,50,False,10,False,15,
117,17,s,True,93,25,True,43,False,50,False,10,False,15,
118,38,s,False,93,26,False,43,False,50,True,11,False,15,
119,17,s,True,94,26,True,44,False,50,False,11,False,15,
120,7,n,True,95,26,False,44,True,51,False,11,False,15,
121,11,n,True,96,26,False,44,True,52,False,11,False,15,
