Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,6,n,True,1,0,False,0,True,1,False,0,False,0,
1,33,s,True,2,0,True,1,False,1,False,0,False,0,
2,3,n,True,3,0,False,1,True,2,False,0,False,0,
3,45,n,True,4,0,False,1,True,3,False,0,False,0,
4,12,n,True,5,0,False,1,True,4,False,0,False,0,
5,36,s,True,6,0,True,2,False,4,False,0,False,0,
6,26,s,True,7,0,True,3,False,4,False,0,False,0,
7,13,s,True,8,0,True,4,False,4,False,0,False,0,
8,18,s,True,9,0,True,5,False,4,False,0,False,0,
9,44,n,True,10,0,False,5,True,5,False,0,False,0,
10,5,n,True,11,0,False,5,True,6,False,0,False,0,
11,31,s,True,12,0,True,6,False,6,False,0,False,0,
12,25,s,True,13,0,True,7,False,6,False,0,False,0,
13,19,s,True,14,0,True,8,False,6,False,0,False,0,
14,43,n,True,15,0,False,8,True,7,False,0,False,0,
15,4,n,True,16,0,False,8,True,8,False,0,False,0,
16,7,n,True,17,0,False,8,True,9,False,0,False,0,
17,28,n,False,17,1,False,8,False,9,False,0,True,1,
18,41,n,True,18,1,False,8,True,10,False,0,False,1,
19,42,n,True,19,1,False,8,True,11,False,0,False,1,
20,17,s,True,20,1,True,9,False,11,False,0,False,1,
21,46,n,True,21,1,False,9,True,12,False,0,False,1,
22,39,n,True,22,1,False,9,True,13,False,0,False,1,
23,38,n,True,23,1,False,9,True,14,False,0,False,1,
24,35,s,True,24,1,True,10,False,14,False,0,False,1,
25,9,n,True,25,1,False,10,True,15,False,0,False,1,
26,11,n,True,26,1,False,10,True,16,False,0,False,1,
27,2,n,True,27,1,False,10,True,17,False,0,False,1,
28,21,s,True,28,1,True,11,False,17,False,0,False,1,
29,10,n,True,29,1,False,11,True,18,False,0,False,1,
30,14,s,True,30,1,True,12,False,18,False,0,False,1,
31,34,s,True,31,1,True,13,False,18,False,0,False,1,
32,27,s,True,32,1,True,14,False,18,False,0,False,1,
33,16,s,True,33,1,True,15,False,18,False,0,False,1,
34,1,n,True,34,1,False,15,True,19,False,0,False,1,
35,20,s,True,35,1,True,16,False,19,False,0,False,1,
36,30,s,True,36,1,True,17,False,19,False,0,False,1,
37,24,s,True,37,1,True,18,False,19,False,0,False,1,
38,47,n,True,38,1,False,18,True,20,False,0,False,1,
39,22,s,True,39,1,True,19,False,20,False,0,False,1,
40,48,n,True,40,1,False,19,True,21,False,0,False,1,
41,29,s,True,41,1,True,20,False,21,False,0,False,1,
42,8,n,True,42,1,False,20,True,22,False,0,False,1,
43,15,s,True,43,1,True,21,False,22,False,0,False,1,
44,23,s,True,44,1,True,22,False,22,False,0,False,1,
45,37,s,False,44,2,False,22,False,22,True,1,False,1,
46,40,n,True,45,2,False,22,True,23,False,1,False,1,
47,32,s,True,46,2,True,23,False,23,False,1,False,1,
0,23,s,True,47,2,True,24,False,23,False,1,False,1,
1,43,n,True,48,2,False,24,True,24,False,1,False,1,
2,20,s,True,49,2,True,25,False,24,False,1,False,1,
3,37,n,True,50,2,False,25,True,25,False,1,False,1,
4,1,n,True,51,2,False,25,True,26,False,1,False,1,
5,13,s,True,52,2,True,26,False,26,False,1,False,1,
6,30,s,True,53,2,True,27,False,26,False,1,False,1,
7,42,s,False,53,3,False,27,False,26,True,2,False,1,
8,33,s,True,54,3,True,28,False,26,False,2,False,1,
9,41,n,True,55,3,False,28,True,27,False,2,False,1,
10,14,s,True,56,3,True,29,False,27,False,2,False,1,
11,7,n,True,57,3,False,29,True,28,False,2,False,1,
12,17,s,True,58,3,True,30,False,28,False,2,False,1,
13,39,n,True,59,3,False,30,True,29,False,2,False,1,
14,45,n,True,60,3,False,30,True,30,False,2,False,1,
15,5,n,True,61,3,False,30,True,31,False,2,False,1,
16,28,s,True,62,3,True,31,False,31,False,2,False,1,
17,38,n,True,63,3,False,31,True,32,False,2,False,1,
18,32,s,True,64,3,True,32,False,32,False,2,False,1,
