Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,16,s,True,1,0,True,1,False,0,False,0,False,0,
1,36,n,False,1,1,False,1,False,0,False,0,True,1,
2,44,n,True,2,1,False,1,True,1,False,0,False,1,
3,41,s,False,2,2,False,1,False,1,True,1,False,1,
4,33,s,True,3,2,True,2,False,1,False,1,False,1,
5,44,n,True,4,2,False,2,True,2,False,1,False,1,
6,39,n,True,5,2,False,2,True,3,False,1,False,1,
7,18,s,True,6,2,True,3,False,3,False,1,False,1,
8,6,n,True,7,2,False,3,True,4,False,1,False,1,
9,18,s,True,8,2,True,4,False,4,False,1,False,1,
10,26,n,False,8,3,False,4,False,4,False,1,True,2,
11,1,n,True,9,3,False,4,True,5,False,1,False,2,
12,32,s,True,10,3,True,5,False,5,False,1,False,2,
13,3,n,True,11,3,False,5,True,6,False,1,False,2,
14,19,s,True,12,3,True,6,False,6,False,1,False,2,
15,34,s,True,13,3,True,7,False,6,False,1,False,2,
16,32,s,True,14,3,True,8,False,6,False,1,False,2,
17,7,n,True,15,3,False,8,True,7,False,1,False,2,
18,22,n,False,15,4,False,8,False,7,False,1,True,3,
19,34,s,True,16,4,True,9,False,7,False,1,False,3,
20,30,n,False,16,5,False,9,False,7,False,1,True,4,
21,5,n,True,17,5,False,9,True,8,False,1,False,4,
22,2,n,True,18,5,False,9,True,9,False,1,False,4,
23,5,n,True,19,5,False,9,True,10,False,1,False,4,
24,47,n,True,20,5,False,9,True,11,False,1,False,4,
25,14,s,True,21,5,True,10,False,11,False,1,False,4,
26,7,n,True,22,5,False,10,True,12,False,1,False,4,
27,13,s,True,23,5,True,11,False,12,False,1,False,4,
28,30,s,True,24,5,True,12,False,12,False,1,False,4,
29,6,n,True,25,5,False,12,True,13,False,1,False,4,
30,24,s,True,26,5,True,13,False,13,False,1,False,4,
31,48,n,True,27,5,False,13,True,14,False,1,False,4,
32,14,n,False,27,6,False,13,False,14,False,1,True,5,
33,30,n,False,27,7,False,13,False,14,False,1,True,6,
34,48,n,True,28,7,False,13,True,15,False,1,False,6,
35,11,n,True,29,7,False,13,True,16,False,1,False,6,
36,6,n,True,30,7,False,13,True,17,False,1,False,6,
37,18,s,True,31,7,True,14,False,17,False,1,False,6,
38,18,s,True,32,7,True,15,False,17,False,1,False,6,
39,31,s,True,33,7,True,16,False,17,False,1,False,6,
40,36,s,True,34,7,True,17,False,17,False,1,False,6,
41,35,n,False,34,8,False,17,False,17,False,1,True,7,
42,42,s,False,34,9,False,17,False,17,True,2,False,7,
43,39,n,True,35,9,False,17,True,18,False,2,False,7,
44,22,s,True,36,9,True,18,False,18,False,2,False,7,
45,23,n,False,36,10,False,18,False,18,False,2,True,8,
46,10,n,True,37,10,False,18,True,19,False,2,False,8,
47,28,s,True,38,10,True,19,False,19,False,2,False,8,
48,39,n,True,39,10,False,19,True,20,False,2,False,8,
49,47,n,True,40,10,False,19,True,21,False,2,False,8,
50,17,s,True,41,10,True,20,False,21,False,2,False,8,
51,2,n,True,42,10,False,20,True,22,False,2,False,8,
52,34,s,True,43,10,True,21,False,22,False,2,False,8,
53,38,n,True,44,10,False,21,True,23,False,2,False,8,
54,26,s,True,45,10,True,22,False,23,False,2,False,8,
55,46,n,True,46,10,False,22,True,24,False,2,False,8,
56,44,n,True,47,10,False,22,True,25,False,2,False,8,
57,36,n,False,47,11,False,22,False,25,False,2,True,9,
58,30,s,True,48,11,True,23,False,25,False,2,False,9,
59,15,s,True,49,11,True,24,False,25,False,2,False,9,
60,38,n,True,50,11,False,24,True,26,False,2,False,9,
61,41,s,False,50,12,False,24,False,26,True,3,False,9,
62,19,s,True,51,12,True,25,False,26,False,3,False,9,
63,37,n,True,52,12,False,25,True,27,False,3,False,9,
64,21,s,True,53,12,True,26,False,27,False,3,False,9,
65,5,n,True,54,12,False,26,True,28,False,3,False,9,
66,31,s,True,55,12,True,27,False,28,False,3,False,9,
67,5,n,True,56,12,False,27,True,29,False,3,False,9,
68,38,n,True,57,12,False,27,True,30,False,3,False,9,
69,12,n,True,58,12,False,27,True,31,False,3,False,9,
70,2,n,True,59,12,False,27,True,32,False,3,False,9,
71,48,n,True,60,12,False,27,True,33,False,3,False,9,
72,21,s,True,61,12,True,28,False,33,False,3,False,9,
73,9,n,True,62,12,False,28,True,34,False,3,False,9,
74,45,n,True,63,12,False,28,True,35,False,3,False,9,
75,46,n,True,64,12,False,28,True,36,False,3,False,9,
76,38,n,True,65,12,False,28,True,37,False,3,False,9,
77,32,n,False,65,13,False,28,False,37,False,3,True,10,
78,33,s,True,66,13,True,29,False,37,False,3,False,10,
79,9,n,True,67,13,False,29,True,38,False,3,False,10,
80,1,n,True,68,13,False,29,True,39,False,3,False,10,
81,35,s,True,69,13,True,30,False,39,False,3,False,10,
82,45,n,True,70,13,False,30,True,40,False,3,False,10,
83,45,n,True,71,13,False,30,True,41,False,3,False,10,
84,4,n,True,72,13,False,30,True,42,False,3,False,10,
85,42,n,True,73,13,False,30,True,43,False,3,False,10,
86,27,s,True,74,13,True,31,False,43,False,3,False,10,
87,39,n,True,75,13,False,31,True,44,False,3,False,10,
