Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,23,n,False,0,1,False,0,False,0,False,0,True,1,
1,5,n,True,1,1,False,0,True,1,False,0,False,1,
2,30,s,True,2,1,True,1,False,1,False,0,False,1,
3,47,n,True,3,1,False,1,True,2,False,0,False,1,
4,2,n,True,4,1,False,1,True,3,False,0,False,1,
5,44,s,False,4,2,False,1,False,3,True,1,False,1,
6,38,n,True,5,2,False,1,True,4,False,1,False,1,
7,46,n,True,6,2,False,1,True,5,False,1,False,1,
8,45,n,True,7,2,False,1,True,6,False,1,False,1,
9,12,n,True,8,2,False,1,True,7,False,1,False,1,
10,9,n,True,9,2,False,1,True,8,False,1,False,1,
11,26,s,True,10,2,True,2,False,8,False,1,False,1,
12,48,n,True,11,2,False,2,True,9,False,1,False,1,
13,29,s,True,12,2,True,3,False,9,False,1,False,1,
14,7,n,True,13,2,False,3,True,10,False,1,False,1,
15,3,n,True,14,2,False,3,True,11,False,1,False,1,
16,42,s,False,14,3,False,3,False,11,True,2,False,1,
17,34,s,True,15,3,True,4,False,11,False,2,False,1,
18,4,n,True,16,3,False,4,True,12,False,2,False,1,
19,32,s,True,17,3,True,5,False,12,False,2,False,1,
20,40,n,True,18,3,False,5,True,13,False,2,False,1,
21,18,s,True,19,3,True,6,False,13,False,2,False,1,
22,35,s,True,20,3,True,7,False,13,False,2,False,1,
23,14,s,True,21,3,True,8,False,13,False,2,False,1,
24,20,s,True,22,3,True,9,False,13,False,2,False,1,
25,16,s,True,23,3,True,10,False,13,False,2,False,1,
26,31,s,True,24,3,True,11,False,13,False,2,False,1,
27,17,s,True,25,3,True,12,False,13,False,2,False,1,
28,21,s,True,26,3,True,13,False,13,False,2,False,1,
29,11,n,True,27,3,False,13,True,14,False,2,False,1,
30,22,s,True,28,3,True,14,False,14,False,2,False,1,
31,15,s,True,29,3,True,15,False,14,False,2,False,1,
32,10,n,True,30,3,False,15,True,15,False,2,False,1,
33,24,s,True,31,3,True,16,False,15,False,2,False,1,
34,8,n,True,32,3,False,16,True,16,False,2,False,1,
35,41,n,True,33,3,False,16,True,17,False,2,False,1,
36,6,n,True,34,3,False,16,True,18,False,2,False,1,
37,37,s,False,34,4,False,16,False,18,True,3,False,1,
38,27,s,True,35,4,True,17,False,18,False,3,False,1,
39,33,s,True,36,4,True,18,False,18,False,3,False,1,
40,1,n,True,37,4,False,18,True,19,False,3,False,1,
41,28,s,True,38,4,True,19,False,19,False,3,False,1,
42,13,n,False,38,5,False,19,False,19,False,3,True,2,
43,39,n,True,39,5,False,19,True,20,False,3,False,2,
44,19,n,False,39,6,False,19,False,20,False,3,True,3,
45,25,s,True,40,6,True,20,False,20,False,3,False,3,
46,36,s,True,41,6,True,21,False,20,False,3,False,3,
47,43,n,True,42,6,False,21,True,21,False,3,False,3,
0,39,n,True,43,6,False,21,True,22,False,3,False,3,
1,3,n,True,44,6,False,21,True,23,False,3,False,3,
2,8,n,True,45,6,False,21,True,24,False,3,False,3,
3,19,s,True,46,6,True,22,False,24,False,3,False,3,
4,22,s,True,47,6,True,23,False,24,False,3,False,3,
5,34,s,True,48,6,True,24,False,24,False,3,False,3,
6,9,n,True,49,6,False,24,True,25,False,3,False,3,
7,16,s,True,50,6,True,25,False,25,False,3,False,3,
8,46,s,False,50,7,False,25,False,25,True,4,False,3,
9,36,n,False,50,8,False,25,False,25,False,4,True,4,
10,25,s,True,51,8,True,26,False,25,False,4,False,4,
11,43,n,True,52,8,False,26,True,26,False,4,False,4,
12,37,n,True,53,8,False,26,True,27,False,4,False,4,
13,44,n,True,54,8,False,26,True,28,False,4,False,4,
14,42,s,False,54,9,False,26,False,28,True,5,False,4,
15,18,s,True,55,9,True,27,False,28,False,5,False,4,
16,4,n,True,56,9,False,27,True,29,False,5,False,4,
17,41,n,True,57,9,False,27,True,30,False,5,False,4,
18,24,n,False,57,10,False,27,False,30,False,5,True,5,
19,17,s,True,58,10,True,28,False,30,False,5,False,5,
20,31,s,True,59,10,True,29,False,30,False,5,False,5,
21,11,n,True,60,10,False,29,True,31,False,5,False,5,
22,23,s,True,61,10,True,30,False,31,False,5,False,5,
23,7,n,True,62,10,False,30,True,32,False,5,False,5,
24,40,s,False,62,11,False,30,False,32,True,6,False,5,
25,35,s,True,63,11,True,31,False,32,False,6,False,5,
26,30,s,True,64,11,True,32,False,32,False,6,False,5,
27,28,s,True,65,11,True,33,False,32,False,6,False,5,
28,5,n,True,66,11,False,33,True,33,False,6,False,5,
29,48,n,True,67,11,False,33,True,34,False,6,False,5,
30,14,s,True,68,11,True,34,False,34,False,6,False,5,
31,38,s,False,68,12,False,34,False,34,True,7,False,5,
32,10,n,True,69,12,False,34,True,35,False,7,False,5,
33,29,s,True,70,12,True,35,False,35,False,7,False,5,
34,45,n,True,71,12,False,35,True,36,False,7,False,5,
35,20,s,True,72,12,True,36,False,36,False,7,False,5,
36,32,s,True,73,12,True,37,False,36,False,7,False,5,
37,1,n,True,74,12,False,37,True,37,False,7,False,5,
38,2,n,True,75,12,False,37,True,38,False,7,False,5,
39,47,n,True,76,12,False,37,True,39,False,7,False,5,
40,26,n,False,76,13,False,37,False,39,False,7,True,6,
41,12,n,True,77,13,False,37,True,40,False,7,False,6,
42,21,s,True,78,13,True,38,False,40,False,7,False,6,
43,6,n,True,79,13,False,38,True,41,False,7,False,6,
44,15,s,True,80,13,True,39,False,41,False,7,False,6,
45,33,s,True,81,13,True,40,False,41,False,7,False,6,
46,27,s,True,82,13,True,41,False,41,False,7,False,6,
47,13,s,True,83,13,True,42,False,41,False,7,False,6,
0,38,s,False,83,14,False,42,False,41,True,8,False,6,
1,47,n,True,84,14,False,42,True,42,False,8,False,6,
2,8,n,True,85,14,False,42,True,43,False,8,False,6,
3,5,n,True,86,14,False,42,True,44,False,8,False,6,
4,29,s,True,87,14,True,43,False,44,False,8,False,6,
5,41,n,True,88,14,False,43,True,45,False,8,False,6,
6,26,s,True,89,14,True,44,False,45,False,8,False,6,
7,33,n,False,89,15,False,44,False,45,False,8,True,7,
8,24,s,True,90,15,True,45,False,45,False,8,False,7,
9,4,n,True,91,15,False,45,True,46,False,8,False,7,
10,2,n,True,92,15,False,45,True,47,False,8,False,7,
11,40,n,True,93,15,False,45,True,48,False,8,False,7,
12,21,s,True,94,15,True,46,False,48,False,8,False,7,
13,3,n,True,95,15,False,46,True,49,False,8,False,7,
14,17,n,False,95,16,False,46,False,49,False,8,True,8,
15,16,s,True,96,16,True,47,False,49,False,8,False,8,
16,19,n,False,96,17,False,47,False,49,False,8,True,9,
17,39,s,False,96,18,False,47,False,49,True,9,False,9,
18,14,s,True,97,18,True,48,False,49,False,9,False,9,
19,31,s,True,98,18,True,49,False,49,False,9,False,9,
20,9,n,True,99,18,False,49,True,50,False,9,False,9,
21,45,n,True,100,18,False,49,True,51,False,9,False,9,
22,6,n,True,101,18,False,49,True,52,False,9,False,9,
23,35,s,True,102,18,True,50,False,52,False,9,False,9,
24,48,n,True,103,18,False,50,True,53,False,9,False,9,
25,34,s,True,104,18,True,51,False,53,False,9,False,9,
26,18,s,True,105,18,True,52,False,53,False,9,False,9,
27,7,n,True,106,18,False,52,True,54,False,9,False,9,
28,44,n,True,107,18,False,52,True,55,False,9,False,9,
29,1,n,True,108,18,False,52,True,56,False,9,False,9,
30,37,n,True,109,18,False,52,True,57,False,9,False,9,
31,11,n,True,110,18,False,52,True,58,False,9,False,9,
32,22,n,False,110,19,False,52,False,58,False,9,True,10,
33,36,s,True,111,19,True,53,False,58,False,9,False,10,
34,46,n,True,112,19,False,53,True,59,False,9,False,10,
35,30,s,True,113,19,True,54,False,59,False,9,False,10,
36,43,n,True,114,19,False,54,True,60,False,9,False,10,
37,27,s,True,115,19,True,55,False,60,False,9,False,10,
38,10,n,True,116,19,False,55,True,61,False,9,False,10,
39,25,n,False,116,20,False,55,False,61,False,9,True,11,
40,42,s,False,116,21,False,55,False,61,True,10,False,11,
41,32,s,True,117,21,True,56,False,61,False,10,False,11,
42,23,s,True,118,21,True,57,False,61,False,10,False,11,
43,12,n,True,119,21,False,57,True,62,False,10,False,11,
44,13,s,True,120,21,True,58,False,62,False,10,False,11,
45,28,s,True,121,21,True,59,False,62,False,10,False,11,
46,20,n,False,121,22,False,59,False,62,False,10,True,12,
47,15,s,True,122,22,True,60,False,62,False,10,False,12,
0,18,s,True,123,22,True,61,False,62,False,10,False,12,
1,30,s,True,124,22,True,62,False,62,False,10,False,12,
2,6,n,True,125,22,False,62,True,63,False,10,False,12,
3,45,s,False,125,23,False,62,False,63,True,11,False,12,
4,41,n,True,126,23,False,62,True,64,False,11,False,12,
5,19,s,True,127,23,True,63,False,64,False,11,False,12,
6,46,n,True,128,23,False,63,True,65,False,11,False,12,
7,11,n,True,129,23,False,63,True,66,False,11,False,12,
8,39,n,True,130,23,False,63,True,67,False,11,False,12,
9,35,s,True,131,23,True,64,False,67,False,11,False,12,
10,25,s,True,132,23,True,65,False,67,False,11,False,12,
11,10,n,True,133,23,False,65,True,68,False,11,False,12,
12,32,s,True,134,23,True,66,False,68,False,11,False,12,
13,1,n,True,135,23,False,66,True,69,False,11,False,12,
14,28,s,True,136,23,True,67,False,69,False,11,False,12,
15,5,n,True,137,23,False,67,True,70,False,11,False,12,
16,3,n,True,138,23,False,67,True,71,False,11,False,12,
17,34,s,True,139,23,True,68,False,71,False,11,False,12,
18,4,n,True,140,23,False,68,True,72,False,11,False,12,
19,38,s,False,140,24,False,68,False,72,True,12,False,12,
20,9,s,False,140,25,False,68,False,72,True,13,False,12,
21,15,s,True,141,25,True,69,False,72,False,13,False,12,
22,22,s,True,142,25,True,70,False,72,False,13,False,12,
23,43,n,True,143,25,False,70,True,73,False,13,False,12,
24,21,s,True,144,25,True,71,False,73,False,13,False,12,
25,29,s,True,145,25,True,72,False,73,False,13,False,12,
26,37,n,True,146,25,False,72,True,74,False,13,False,12,
27,33,s,True,147,25,True,73,False,74,False,13,False,12,
28,24,s,True,148,25,True,74,False,74,False,13,False,12,
29,17,s,True,149,25,True,75,False,74,False,13,False,12,
30,26,s,True,150,25,True,76,False,74,False,13,False,12,
31,20,s,True,151,25,True,77,False,74,False,13,False,12,
32,47,n,True,152,25,False,77,True,75,False,13,False,12,
33,13,s,True,153,25,True,78,False,75,False,13,False,12,
34,48,n,True,154,25,False,78,True,76,False,13,False,12,
35,2,n,True,155,25,False,78,True,77,False,13,False,12,
36,42,s,False,155,26,False,78,False,77,True,14,False,12,
37,16,s,True,156,26,True,79,False,77,False,14,False,12,
38,8,n,True,157,26,False,79,True,78,False,14,False,12,
39,23,n,False,157,27,False,79,False,78,False,14,True,13,
40,27,s,True,158,27,True,80,False,78,False,14,False,13,
41,7,n,True,159,27,False,80,True,79,False,14,False,13,
42,36,s,True,160,27,True,81,False,79,False,14,False,13,
43,40,n,True,161,27,False,81,True,80,False,14,False,13,
44,12,n,True,162,27,False,81,True,81,False,14,False,13,
45,44,s,False,162,28,False,81,False,81,True,15,False,13,
46,14,s,True,163,28,True,82,False,81,False,15,False,13,
47,31,s,True,164,28,True,83,False,81,False,15,False,13,
0,5,n,True,165,28,False,83,True,82,False,15,False,13,
1,32,s,True,166,28,True,84,False,82,False,15,False,13,
2,13,s,True,167,28,True,85,False,82,False,15,False,13,
3,34,s,True,168,28,True,86,False,82,False,15,False,13,
