Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,8,n,True,1,0,False,0,True,1,False,0,False,0,
1,20,n,False,1,1,False,0,False,1,False,0,True,1,
2,40,n,True,2,1,False,0,True,2,False,0,False,1,
3,19,s,True,3,1,True,1,False,2,False,0,False,1,
4,18,s,True,4,1,True,2,False,2,False,0,False,1,
5,21,s,True,5,1,True,3,False,2,False,0,False,1,
6,10,n,True,6,1,False,3,True,3,False,0,False,1,
7,32,n,False,6,2,False,3,False,3,False,0,True,2,
8,38,n,True,7,2,False,3,True,4,False,0,False,2,
9,4,n,True,8,2,False,3,True,5,False,0,False,2,
10,22,s,True,9,2,True,4,False,5,False,0,False,2,
11,27,n,False,9,3,False,4,False,5,False,0,True,3,
12,36,n,False,9,4,False,4,False,5,False,0,True,4,
13,15,s,True,10,4,True,5,False,5,False,0,False,4,
14,28,n,False,10,5,False,5,False,5,False,0,True,5,
15,41,s,False,10,6,False,5,False,5,True,1,False,5,
16,30,s,True,11,6,True,6,False,5,False,1,False,5,
17,14,n,False,11,7,False,6,False,5,False,1,True,6,
18,9,n,True,12,7,False,6,True,6,False,1,False,6,
19,2,n,True,13,7,False,6,True,7,False,1,False,6,
20,1,n,True,14,7,False,6,True,8,False,1,False,6,
21,31,s,True,15,7,True,7,False,8,False,1,False,6,
22,6,n,True,16,7,False,7,True,9,False,1,False,6,
23,11,n,True,17,7,False,7,True,10,False,1,False,6,
24,24,n,False,17,8,False,7,False,10,False,1,True,7,
25,35,s,True,18,8,True,8,False,10,False,1,False,7,
26,12,n,True,19,8,False,8,True,11,False,1,False,7,
27,13,s,True,20,8,True,9,False,11,False,1,False,7,
28,25,s,True,21,8,True,10,False,11,False,1,False,7,
29,42,n,True,22,8,False,10,True,12,False,1,False,7,
30,46,n,True,23,8,False,10,True,13,False,1,False,7,
31,34,s,True,24,8,True,11,False,13,False,1,False,7,
32,7,n,True,25,8,False,11,True,14,False,1,False,7,
33,45,n,True,26,8,False,11,True,15,False,1,False,7,
34,44,n,True,27,8,False,11,True,16,False,1,False,7,
35,3,n,True,28,8,False,11,True,17,False,1,False,7,
36,17,s,True,29,8,True,12,False,17,False,1,False,7,
37,16,s,True,30,8,True,13,False,17,False,1,False,7,
38,33,n,False,30,9,False,13,False,17,False,1,True,8,
39,29,s,True,31,9,True,14,False,17,False,1,False,8,
40,47,n,True,32,9,False,14,True,18,False,1,False,8,
41,39,n,True,33,9,False,14,True,19,False,1,False,8,
42,23,s,True,34,9,True,15,False,19,False,1,False,8,
43,48,n,True,35,9,False,15,True,20,False,1,False,8,
44,26,n,False,35,10,False,15,False,20,False,1,True,9,
45,43,n,True,36,10,False,15,True,21,False,1,False,9,
46,5,n,True,37,10,False,15,True,22,False,1,False,9,
47,37,n,True,38,10,False,15,True,23,False,1,False,9,
0,48,n,True,39,10,False,15,True,24,False,1,False,9,
1,47,n,True,40,10,False,15,True,25,False,1,False,9,
2,35,s,True,41,10,True,16,False,25,False,1,False,9,
3,33,s,True,42,10,True,17,False,25,False,1,False,9,
4,15,s,True,43,10,True,18,False,25,False,1,False,9,
5,22,s,True,44,10,True,19,False,25,False,1,False,9,
6,38,n,True,45,10,False,19,True,26,False,1,False,9,
7,29,s,True,46,10,True,20,False,26,False,1,False,9,
8,11,n,True,47,10,False,20,True,27,False,1,False,9,
9,26,s,True,48,10,True,21,False,27,False,1,False,9,
10,14,s,True,49,10,True,22,False,27,False,1,False,9,
11,32,s,True,50,10,True,23,False,27,False,1,False,9,
12,1,n,True,51,10,False,23,True,28,False,1,False,9,
13,39,n,True,52,10,False,23,True,29,False,1,False,9,
14,6,n,True,53,10,False,23,True,30,False,1,False,9,
15,19,s,True,54,10,True,24,False,30,False,1,False,9,
16,42,n,True,55,10,False,24,True,31,False,1,False,9,
17,27,s,True,56,10,True,25,False,31,False,1,False,9,
18,30,s,True,57,10,True,26,False,31,False,1,False,9,
19,9,n,True,58,10,False,26,True,32,False,1,False,9,
20,16,s,True,59,10,True,27,False,32,False,1,False,9,
21,21,s,True,60,10,True,28,False,32,False,1,False,9,
22,4,n,True,61,10,False,28,True,33,False,1,False,9,
23,10,n,True,62,10,False,28,True,34,False,1,False,9,
24,2,n,True,63,10,False,28,True,35,False,1,False,9,
25,5,n,True,64,10,False,28,True,36,False,1,False,9,
26,13,s,True,65,10,True,29,False,36,False,1,False,9,
27,23,s,True,66,10,True,30,False,36,False,1,False,9,
28,28,s,True,67,10,True,31,False,36,False,1,False,9,
29,41,n,True,68,10,False,31,True,37,False,1,False,9,
30,31,s,True,69,10,True,32,False,37,False,1,False,9,
31,8,n,True,70,10,False,32,True,38,False,1,False,9,
32,24,s,True,71,10,True,33,False,38,False,1,False,9,
33,37,n,True,72,10,False,33,True,39,False,1,False,9,
34,44,n,True,73,10,False,33,True,40,False,1,False,9,
35,45,n,True,74,10,False,33,True,41,False,1,False,9,
36,25,s,True,75,10,True,34,False,41,False,1,False,9,
37,34,n,False,75,11,False,34,False,41,False,1,True,10,
38,17,s,True,76,11,True,35,False,41,False,1,False,10,
39,12,n,True,77,11,False,35,True,42,False,1,False,10,
40,18,n,False,77,12,False,35,False,42,False,1,True,11,
41,43,n,True,78,12,False,35,True,43,False,1,False,11,
42,20,n,False,78,13,False,35,False,43,False,1,True,12,
43,36,s,True,79,13,True,36,False,43,False,1,False,12,
44,7,n,True,80,13,False,36,True,44,False,1,False,12,
45,46,n,True,81,13,False,36,True,45,False,1,False,12,
46,3,n,True,82,13,False,36,True,46,False,1,False,12,
47,40,n,True,83,13,False,36,True,47,False,1,False,12,
0,44,n,True,84,13,False,36,True,48,False,1,False,12,
1,10,n,True,85,13,False,36,True,49,False,1,False,12,
2,23,s,True,86,13,True,37,False,49,False,1,False,12,
3,3,n,True,87,13,False,37,True,50,False,1,False,12,
4,19,s,True,88,13,True,38,False,50,False,1,False,12,
5,20,s,True,89,13,True,39,False,50,False,1,False,12,
6,6,n,True,90,13,False,39,True,51,False,1,False,12,
7,39,n,True,91,13,False,39,True,52,False,1,False,12,
8,5,n,True,92,13,False,39,True,53,False,1,False,12,
9,38,n,True,93,13,False,39,True,54,False,1,False,12,
10,14,s,True,94,13,True,40,False,54,False,1,False,12,
11,13,s,True,95,13,True,41,False,54,False,1,False,12,
12,8,n,True,96,13,False,41,True,55,False,1,False,12,
13,18,n,False,96,14,False,41,False,55,False,1,True,13,
14,22,s,True,97,14,True,42,False,55,False,1,False,13,
15,33,s,True,98,14,True,43,False,55,False,1,False,13,
16,11,n,True,99,14,False,43,True,56,False,1,False,13,
17,9,n,True,100,14,False,43,True,57,False,1,False,13,
18,31,s,True,101,14,True,44,False,57,False,1,False,13,
19,21,s,True,102,14,True,45,False,57,False,1,False,13,
20,4,n,True,103,14,False,45,True,58,False,1,False,13,
21,15,s,True,104,14,True,46,False,58,False,1,False,13,
22,32,s,True,105,14,True,47,False,58,False,1,False,13,
23,29,n,False,105,15,False,47,False,58,False,1,True,14,
24,27,n,False,105,16,False,47,False,58,False,1,True,15,
25,35,n,False,105,17,False,47,False,58,False,1,True,16,
26,30,s,True,106,17,True,48,False,58,False,1,False,16,
27,24,s,True,107,17,True,49,False,58,False,1,False,16,
28,17,n,False,107,18,False,49,False,58,False,1,True,17,
29,34,n,False,107,19,False,49,False,58,False,1,True,18,
30,28,n,False,107,20,False,49,False,58,False,1,True,19,
31,37,n,True,108,20,False,49,True,59,False,1,False,19,
32,42,s,False,108,21,False,49,False,59,True,2,False,19,
33,12,n,True,109,21,False,49,True,60,False,2,False,19,
34,26,n,False,109,22,False,49,False,60,False,2,True,20,
35,43,n,True,110,22,False,49,True,61,False,2,False,20,
36,48,n,True,111,22,False,49,True,62,False,2,False,20,
37,41,n,True,112,22,False,49,True,63,False,2,False,20,
38,2,n,True,113,22,False,49,True,64,False,2,False,20,
39,7,n,True,114,22,False,49,True,65,False,2,False,20,
40,1,n,True,115,22,False,49,True,66,False,2,False,20,
41,16,s,True,116,22,True,50,False,66,False,2,False,20,
