Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,26,s,True,1,0,True,1,False,0,False,0,False,0,
1,43,n,True,2,0,False,1,True,1,False,0,False,0,
2,42,n,True,3,0,False,1,True,2,False,0,False,0,
3,3,n,True,4,0,False,1,True,3,False,0,False,0,
4,30,s,True,5,0,True,2,False,3,False,0,False,0,
5,12,n,True,6,0,False,2,True,4,False,0,False,0,
6,36,s,True,7,0,True,3,False,4,False,0,False,0,
7,39,n,True,8,0,False,3,True,5,False,0,False,0,
8,6,n,True,9,0,False,3,True,6,False,0,False,0,
9,10,n,True,10,0,False,3,True,7,False,0,False,0,
10,44,n,True,11,0,False,3,True,8,False,0,False,0,
11,40,n,True,12,0,False,3,True,9,False,0,False,0,
12,11,n,True,13,0,False,3,True,10,False,0,False,0,
13,33,s,True,14,0,True,4,False,10,False,0,False,0,
14,1,n,True,15,0,False,4,True,11,False,0,False,0,
15,27,s,True,16,0,True,5,False,11,False,0,False,0,
16,38,n,True,17,0,False,5,True,12,False,0,False,0,
17,16,s,True,18,0,True,6,False,12,False,0,False,0,
18,19,s,True,19,0,True,7,False,12,False,0,False,0,
19,7,n,True,20,0,False,7,True,13,False,0,False,0,
20,41,n,True,21,0,False,7,True,14,False,0,False,0,
21,5,n,True,22,0,False,7,True,15,False,0,False,0,
22,18,s,True,23,0,True,8,False,15,False,0,False,0,
23,34,s,True,24,0,True,9,False,15,False,0,False,0,
24,9,n,True,25,0,False,9,True,16,False,0,False,0,
25,29,s,True,26,0,True,10,False,16,False,0,False,0,
26,37,n,True,27,0,False,10,True,17,False,0,False,0,
27,22,s,True,28,0,True,11,False,17,False,0,False,0,
28,32,s,True,29,0,True,12,False,17,False,0,False,0,
29,35,s,True,30,0,True,13,False,17,False,0,False,0,
30,13,s,True,31,0,True,14,False,17,False,0,False,0,
31,8,n,True,32,0,False,14,True,18,False,0,False,0,
32,25,s,True,33,0,True,15,False,18,False,0,False,0,
33,46,n,True,34,0,False,15,True,19,False,0,False,0,
34,45,n,True,35,0,False,15,True,20,False,0,False,0,
35,4,n,True,36,0,False,15,True,21,False,0,False,0,
36,17,s,True,37,0,True,16,False,21,False,0,False,0,
37,15,s,True,38,0,True,17,False,21,False,0,False,0,
38,48,n,True,39,0,False,17,True,22,False,0,False,0,
39,20,s,True,40,0,True,18,False,22,False,0,False,0,
40,24,s,True,41,0,True,19,False,22,False,0,False,0,
41,23,s,True,42,0,True,20,False,22,False,0,False,0,
42,47,n,True,43,0,False,20,True,23,False,0,False,0,
43,2,n,True,44,0,False,20,True,24,False,0,False,0,
44,31,s,True,45,0,True,21,False,24,False,0,False,0,
45,28,s,True,46,0,True,22,False,24,False,0,False,0,
46,21,s,True,47,0,True,23,False,24,False,0,False,0,
47,14,s,True,48,0,True,24,False,24,False,0,False,0,
0,39,n,True,49,0,False,24,True,25,False,0,False,0,
1,40,s,False,49,1,False,24,False,25,True,1,False,0,
2,19,n,False,49,2,False,24,False,25,False,1,True,1,
3,12,n,True,50,2,False,24,True,26,False,1,False,1,
4,32,s,True,51,2,True,25,False,26,False,1,False,1,
5,48,n,True,52,2,False,25,True,27,False,1,False,1,
6,38,n,True,53,2,False,25,True,28,False,1,False,1,
7,26,s,True,54,2,True,26,False,28,False,1,False,1,
8,13,s,True,55,2,True,27,False,28,False,1,False,1,
9,42,n,True,56,2,False,27,True,29,False,1,False,1,
10,11,n,True,57,2,False,27,True,30,False,1,False,1,
11,2,n,True,58,2,False,27,True,31,False,1,False,1,
12,22,s,True,59,2,True,28,False,31,False,1,False,1,
13,16,s,True,60,2,True,29,False,31,False,1,False,1,
