Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,16,s,True,1,0,True,1,False,0,False,0,False,0,
1,2,n,True,2,0,False,1,True,1,False,0,False,0,
2,16,s,True,3,0,True,2,False,1,False,0,False,0,
3,19,s,True,4,0,True,3,False,1,False,0,False,0,
4,42,s,False,4,1,False,3,False,1,True,1,False,0,
5,43,n,True,5,1,False,3,True,2,False,1,False,0,
6,44,n,True,6,1,False,3,True,3,False,1,False,0,
7,37,n,True,7,1,False,3,True,4,False,1,False,0,
8,6,s,False,7,2,False,3,False,4,True,2,False,0,
9,5,n,True,8,2,False,3,True,5,False,2,False,0,
10,36,n,False,8,3,False,3,False,5,False,2,True,1,
11,33,s,True,9,3,True,4,False,5,False,2,False,1,
12,20,s,True,10,3,True,5,False,5,False,2,False,1,
13,47,n,True,11,3,False,5,True,6,False,2,False,1,
14,14,s,True,12,3,True,6,False,6,False,2,False,1,
15,33,s,True,13,3,True,7,False,6,False,2,False,1,
16,25,s,True,14,3,True,8,False,6,False,2,False,1,
17,45,n,True,15,3,False,8,True,7,False,2,False,1,
18,46,n,True,16,3,False,8,True,8,False,2,False,1,
19,11,n,True,17,3,False,8,True,9,False,2,False,1,
20,19,s,True,18,3,True,9,False,9,False,2,False,1,
21,47,n,True,19,3,False,9,True,10,False,2,False,1,
22,12,n,True,20,3,False,9,True,11,False,2,False,1,
23,28,n,False,20,4,False,9,False,11,False,2,True,2,
24,2,n,True,21,4,False,9,True,12,False,2,False,2,
25,4,n,True,22,4,False,9,True,13,False,2,False,2,
26,39,s,False,22,5,False,9,False,13,True,3,False,2,
27,2,n,True,23,5,False,9,True,14,False,3,False,2,
28,20,s,True,24,5,True,10,False,14,False,3,False,2,
29,38,s,False,24,6,False,10,False,14,True,4,False,2,
30,9,n,True,25,6,False,10,True,15,False,4,False,2,
31,46,s,False,25,7,False,10,False,15,True,5,False,2,
32,45,n,True,26,7,False,10,True,16,False,5,False,2,
33,48,n,True,27,7,False,10,True,17,False,5,False,2,
34,3,n,True,28,7,False,10,True,18,False,5,False,2,
35,45,n,True,29,7,False,10,True,19,False,5,False,2,
36,12,n,True,30,7,False,10,True,20,False,5,False,2,
37,10,n,True,31,7,False,10,True,21,False,5,False,2,
38,30,s,True,32,7,True,11,False,21,False,5,False,2,
39,18,s,True,33,7,True,12,False,21,False,5,False,2,
40,40,n,True,34,7,False,12,True,22,False,5,False,2,
41,27,s,True,35,7,True,13,False,22,False,5,False,2,
42,35,s,True,36,7,True,14,False,22,False,5,False,2,
43,42,s,False,36,8,False,14,False,22,True,6,False,2,
44,32,s,True,37,8,True,15,False,22,False,6,False,2,
45,24,s,True,38,8,True,16,False,22,False,6,False,2,
46,13,s,True,39,8,True,17,False,22,False,6,False,2,
47,3,n,True,40,8,False,17,True,23,False,6,False,2,
48,39,n,True,41,8,False,17,True,24,False,6,False,2,
49,5,n,True,42,8,False,17,True,25,False,6,False,2,
50,47,n,True,43,8,False,17,True,26,False,6,False,2,
51,37,n,True,44,8,False,17,True,27,False,6,False,2,
52,16,s,True,45,8,True,18,False,27,False,6,False,2,
53,38,s,False,45,9,False,18,False,27,True,7,False,2,
54,22,n,False,45,10,False,18,False,27,False,7,True,3,
55,32,s,True,46,10,True,19,False,27,False,7,False,3,
56,41,n,True,47,10,False,19,True,28,False,7,False,3,
57,42,s,False,47,11,False,19,False,28,True,8,False,3,
58,31,s,True,48,11,True,20,False,28,False,8,False,3,
59,5,n,True,49,11,False,20,True,29,False,8,False,3,
60,25,n,False,49,12,False,20,False,29,False,8,True,4,
61,35,s,True,50,12,True,21,False,29,False,8,False,4,
62,24,s,True,51,12,True,22,False,29,False,8,False,4,
63,18,n,False,51,13,False,22,False,29,False,8,True,5,
64,12,n,True,52,13,False,22,True,30,False,8,False,5,
65,9,n,True,53,13,False,22,True,31,False,8,False,5,
66,36,s,True,54,13,True,23,False,31,False,8,False,5,
67,1,s,False,54,14,False,23,False,31,True,9,False,5,
68,33,s,True,55,14,True,24,False,31,False,9,False,5,
69,33,s,True,56,14,True,25,False,31,False,9,False,5,
70,32,s,True,57,14,True,26,False,31,False,9,False,5,
71,17,s,True,58,14,True,27,False,31,False,9,False,5,
72,48,n,True,59,14,False,27,True,32,False,9,False,5,
73,48,s,False,59,15,False,27,False,32,True,10,False,5,
74,9,s,False,59,16,False,27,False,32,True,11,False,5,
75,17,s,True,60,16,True,28,False,32,False,11,False,5,
76,34,s,True,61,16,True,29,False,32,False,11,False,5,
77,26,s,True,62,16,True,30,False,32,False,11,False,5,
78,14,n,False,62,17,False,30,False,32,False,11,True,6,
79,1,n,True,63,17,False,30,True,33,False,11,False,6,
80,26,s,True,64,17,True,31,False,33,False,11,False,6,
81,20,s,True,65,17,True,32,False,33,False,11,False,6,
82,29,s,True,66,17,True,33,False,33,False,11,False,6,
83,38,s,False,66,18,False,33,False,33,True,12,False,6,
84,6,n,True,67,18,False,33,True,34,False,12,False,6,
85,12,n,True,68,18,False,33,True,35,False,12,False,6,
86,30,n,False,68,19,False,33,False,35,False,12,True,7,
87,8,n,True,69,19,False,33,True,36,False,12,False,7,
88,17,n,False,69,20,False,33,False,36,False,12,True,8,
89,7,n,True,70,20,False,33,True,37,False,12,False,8,
90,34,n,False,70,21,False,33,False,37,False,12,True,9,
91,37,s,False,70,22,False,33,False,37,True,13,False,9,
92,40,n,True,71,22,False,33,True,38,False,13,False,9,
93,10,n,True,72,22,False,33,True,39,False,13,False,9,
