Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,13,s,True,1,0,True,1,False,0,False,0,False,0,
1,48,n,True,2,0,False,1,True,1,False,0,False,0,
2,11,s,False,2,1,False,1,False,1,True,1,False,0,
3,47,n,True,3,1,False,1,True,2,False,1,False,0,
4,6,n,True,4,1,False,1,True,3,False,1,False,0,
5,37,n,True,5,1,False,1,True,4,False,1,False,0,
6,32,s,True,6,1,True,2,False,4,False,1,False,0,
7,35,s,True,7,1,True,3,False,4,False,1,False,0,
8,39,n,True,8,1,False,3,True,5,False,1,False,0,
9,8,s,False,8,2,False,3,False,5,True,2,False,0,
10,7,s,False,8,3,False,3,False,5,True,3,False,0,
11,36,s,True,9,3,True,4,False,5,False,3,False,0,
12,17,s,True,10,3,True,5,False,5,False,3,False,0,
13,42,n,True,11,3,False,5,True,6,False,3,False,0,
14,24,s,True,12,3,True,6,False,6,False,3,False,0,
15,16,s,True,13,3,True,7,False,6,False,3,False,0,
16,3,n,True,14,3,False,7,True,7,False,3,False,0,
17,26,s,True,15,3,True,8,False,7,False,3,False,0,
18,27,s,True,16,3,True,9,False,7,False,3,False,0,
19,14,s,True,17,3,True,10,False,7,False,3,False,0,
20,5,n,True,18,3,False,10,True,8,False,3,False,0,
21,9,s,False,18,4,False,10,False,8,True,4,False,0,
22,40,s,False,18,5,False,10,False,8,True,5,False,0,
23,19,s,True,19,5,True,11,False,8,False,5,False,0,
24,4,n,True,20,5,False,11,True,9,False,5,False,0,
25,10,s,False,20,6,False,11,False,9,True,6,False,0,
26,44,n,True,21,6,False,11,True,10,False,6,False,0,
27,20,s,True,22,6,True,12,False,10,False,6,False,0,
28,30,s,True,23,6,True,13,False,10,False,6,False,0,
29,28,s,True,24,6,True,14,False,10,False,6,False,0,
30,25,s,True,25,6,True,15,False,10,False,6,False,0,
31,38,n,True,26,6,False,15,True,11,False,6,False,0,
32,12,n,True,27,6,False,15,True,12,False,6,False,0,
33,46,n,True,28,6,False,15,True,13,False,6,False,0,
34,45,n,True,29,6,False,15,True,14,False,6,False,0,
35,33,s,True,30,6,True,16,False,14,False,6,False,0,
36,29,s,True,31,6,True,17,False,14,False,6,False,0,
37,41,n,True,32,6,False,17,True,15,False,6,False,0,
38,1,n,True,33,6,False,17,True,16,False,6,False,0,
39,15,s,True,34,6,True,18,False,16,False,6,False,0,
40,34,s,True,35,6,True,19,False,16,False,6,False,0,
41,22,n,False,35,7,False,19,False,16,False,6,True,1,
42,31,n,False,35,8,False,19,False,16,False,6,True,2,
43,21,s,True,36,8,True,20,False,16,False,6,False,2,
44,2,n,True,37,8,False,20,True,17,False,6,False,2,
45,43,n,True,38,8,False,20,True,18,False,6,False,2,
46,23,s,True,39,8,True,21,False,18,False,6,False,2,
47,18,s,True,40,8,True,22,False,18,False,6,False,2,
0,43,n,True,41,8,False,22,True,19,False,6,False,2,
1,17,s,True,42,8,True,23,False,19,False,6,False,2,
2,10,n,True,43,8,False,23,True,20,False,6,False,2,
3,14,s,True,44,8,True,24,False,20,False,6,False,2,
4,20,s,True,45,8,True,25,False,20,False,6,False,2,
5,40,n,True,46,8,False,25,True,21,False,6,False,2,
6,38,n,True,47,8,False,25,True,22,False,6,False,2,
7,1,n,True,48,8,False,25,True,23,False,6,False,2,
8,12,n,True,49,8,False,25,True,24,False,6,False,2,
9,16,s,True,50,8,True,26,False,24,False,6,False,2,
10,11,n,True,51,8,False,26,True,25,False,6,False,2,
11,28,s,True,52,8,True,27,False,25,False,6,False,2,
12,33,s,True,53,8,True,28,False,25,False,6,False,2,
13,39,n,True,54,8,False,28,True,26,False,6,False,2,
14,7,n,True,55,8,False,28,True,27,False,6,False,2,
15,22,s,True,56,8,True,29,False,27,False,6,False,2,
16,34,s,True,57,8,True,30,False,27,False,6,False,2,
17,6,n,True,58,8,False,30,True,28,False,6,False,2,
18,19,s,True,59,8,True,31,False,28,False,6,False,2,
19,30,s,True,60,8,True,32,False,28,False,6,False,2,
20,26,s,True,61,8,True,33,False,28,False,6,False,2,
21,4,n,True,62,8,False,33,True,29,False,6,False,2,
22,32,s,True,63,8,True,34,False,29,False,6,False,2,
23,41,n,True,64,8,False,34,True,30,False,6,False,2,
24,25,s,True,65,8,True,35,False,30,False,6,False,2,
25,37,n,True,66,8,False,35,True,31,False,6,False,2,
26,29,s,True,67,8,True,36,False,31,False,6,False,2,
27,45,n,True,68,8,False,36,True,32,False,6,False,2,
28,15,n,False,68,9,False,36,False,32,False,6,True,3,
29,36,s,True,69,9,True,37,False,32,False,6,False,3,
30,13,s,True,70,9,True,38,False,32,False,6,False,3,
31,31,s,True,71,9,True,39,False,32,False,6,False,3,
32,18,s,True,72,9,True,40,False,32,False,6,False,3,
33,44,n,True,73,9,False,40,True,33,False,6,False,3,
34,42,n,True,74,9,False,40,True,34,False,6,False,3,
35,5,n,True,75,9,False,40,True,35,False,6,False,3,
36,2,n,True,76,9,False,40,True,36,False,6,False,3,
37,27,s,True,77,9,True,41,False,36,False,6,False,3,
38,23,n,False,77,10,False,41,False,36,False,6,True,4,
39,24,n,False,77,11,False,41,False,36,False,6,True,5,
40,47,s,False,77,12,False,41,False,36,True,7,False,5,
41,9,n,True,78,12,False,41,True,37,False,7,False,5,
