Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,12,n,True,1,0,False,0,True,1,False,0,False,0,
1,42,n,True,2,0,False,0,True,2,False,0,False,0,
2,43,n,True,3,0,False,0,True,3,False,0,False,0,
3,3,s,False,3,1,False,0,False,3,True,1,False,0,
4,25,s,True,4,1,True,1,False,3,False,1,False,0,
5,45,n,True,5,1,False,1,True,4,False,1,False,0,
6,28,s,True,6,1,True,2,False,4,False,1,False,0,
7,41,n,True,7,1,False,2,True,5,False,1,False,0,
8,34,n,False,7,2,False,2,False,5,False,1,True,1,
9,46,n,True,8,2,False,2,True,6,False,1,False,1,
10,23,s,True,9,2,True,3,False,6,False,1,False,1,
11,24,s,True,10,2,True,4,False,6,False,1,False,1,
12,44,n,True,11,2,False,4,True,7,False,1,False,1,
13,7,n,True,12,2,False,4,True,8,False,1,False,1,
14,38,n,True,13,2,False,4,True,9,False,1,False,1,
15,39,n,True,14,2,False,4,True,10,False,1,False,1,
16,32,s,True,15,2,True,5,False,10,False,1,False,1,
17,9,n,True,16,2,False,5,True,11,False,1,False,1,
18,37,n,True,17,2,False,5,True,12,False,1,False,1,
19,11,n,True,18,2,False,5,True,13,False,1,False,1,
20,6,n,True,19,2,False,5,True,14,False,1,False,1,
21,27,s,True,20,2,True,6,False,14,False,1,False,1,
22,16,s,True,21,2,True,7,False,14,False,1,False,1,
23,5,n,True,22,2,False,7,True,15,False,1,False,1,
24,17,s,True,23,2,True,8,False,15,False,1,False,1,
25,47,n,True,24,2,False,8,True,16,False,1,False,1,
26,14,n,False,24,3,False,8,False,16,False,1,True,2,
27,33,s,True,25,3,True,9,False,16,False,1,False,2,
28,26,s,True,26,3,True,10,False,16,False,1,False,2,
29,40,s,False,26,4,False,10,False,16,True,2,False,2,
30,22,s,True,27,4,True,11,False,16,False,2,False,2,
31,2,n,True,28,4,False,11,True,17,False,2,False,2,
32,19,s,True,29,4,True,12,False,17,False,2,False,2,
33,48,n,True,30,4,False,12,True,18,False,2,False,2,
34,8,n,True,31,4,False,12,True,19,False,2,False,2,
35,10,n,True,32,4,False,12,True,20,False,2,False,2,
36,30,s,True,33,4,True,13,False,20,False,2,False,2,
37,15,s,True,34,4,True,14,False,20,False,2,False,2,
38,31,s,True,35,4,True,15,False,20,False,2,False,2,
39,29,s,True,36,4,True,16,False,20,False,2,False,2,
40,13,s,True,37,4,True,17,False,20,False,2,False,2,
41,20,s,True,38,4,True,18,False,20,False,2,False,2,
42,1,n,True,39,4,False,18,True,21,False,2,False,2,
43,21,n,False,39,5,False,18,False,21,False,2,True,3,
44,18,s,True,40,5,True,19,False,21,False,2,False,3,
45,35,s,True,41,5,True,20,False,21,False,2,False,3,
46,36,s,True,42,5,True,21,False,21,False,2,False,3,
47,4,n,True,43,5,False,21,True,22,False,2,False,3,
0,17,s,True,44,5,True,22,False,22,False,2,False,3,
1,10,n,True,45,5,False,22,True,23,False,2,False,3,
2,34,s,True,46,5,True,23,False,23,False,2,False,3,
3,42,n,True,47,5,False,23,True,24,False,2,False,3,
4,35,s,True,48,5,True,24,False,24,False,2,False,3,
5,15,s,True,49,5,True,25,False,24,False,2,False,3,
6,16,s,True,50,5,True,26,False,24,False,2,False,3,
7,46,n,True,51,5,False,26,True,25,False,2,False,3,
8,38,n,True,52,5,False,26,True,26,False,2,False,3,
9,25,s,True,53,5,True,27,False,26,False,2,False,3,
10,13,s,True,54,5,True,28,False,26,False,2,False,3,
11,36,s,True,55,5,True,29,False,26,False,2,False,3,
12,6,n,True,56,5,False,29,True,27,False,2,False,3,
13,28,s,True,57,5,True,30,False,27,False,2,False,3,
14,4,n,True,58,5,False,30,True,28,False,2,False,3,
15,12,n,True,59,5,False,30,True,29,False,2,False,3,
16,23,s,True,60,5,True,31,False,29,False,2,False,3,
17,48,n,True,61,5,False,31,True,30,False,2,False,3,
18,22,s,True,62,5,True,32,False,30,False,2,False,3,
19,29,s,True,63,5,True,33,False,30,False,2,False,3,
20,19,s,True,64,5,True,34,False,30,False,2,False,3,
21,44,n,True,65,5,False,34,True,31,False,2,False,3,
22,24,s,True,66,5,True,35,False,31,False,2,False,3,
23,39,n,True,67,5,False,35,True,32,False,2,False,3,
24,5,n,True,68,5,False,35,True,33,False,2,False,3,
25,41,n,True,69,5,False,35,True,34,False,2,False,3,
26,1,n,True,70,5,False,35,True,35,False,2,False,3,
27,18,s,True,71,5,True,36,False,35,False,2,False,3,
28,8,n,True,72,5,False,36,True,36,False,2,False,3,
29,14,s,True,73,5,True,37,False,36,False,2,False,3,
30,45,n,True,74,5,False,37,True,37,False,2,False,3,
31,11,n,True,75,5,False,37,True,38,False,2,False,3,
32,21,s,True,76,5,True,38,False,38,False,2,False,3,
33,31,n,False,76,6,False,38,False,38,False,2,True,4,
34,30,s,True,77,6,True,39,False,38,False,2,False,4,
35,32,s,True,78,6,True,40,False,38,False,2,False,4,
36,7,n,True,79,6,False,40,True,39,False,2,False,4,
37,33,s,True,80,6,True,41,False,39,False,2,False,4,
38,43,n,True,81,6,False,41,True,40,False,2,False,4,
39,37,n,True,82,6,False,41,True,41,False,2,False,4,
40,3,n,True,83,6,False,41,True,42,False,2,False,4,
41,40,n,True,84,6,False,41,True,43,False,2,False,4,
42,2,n,True,85,6,False,41,True,44,False,2,False,4,
43,26,s,True,86,6,True,42,False,44,False,2,False,4,
44,47,n,True,87,6,False,42,True,45,False,2,False,4,
45,20,s,True,88,6,True,43,False,45,False,2,False,4,
46,9,n,True,89,6,False,43,True,46,False,2,False,4,
47,27,s,True,90,6,True,44,False,46,False,2,False,4,
