Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,40,s,True,1,0,True,1,False,0,False,0,False,0,
1,20,s,False,1,1,False,1,False,0,True,1,False,0,
2,4,n,True,2,1,False,1,True,1,False,1,False,0,
3,43,n,True,3,1,False,1,True,2,False,1,False,0,
4,25,n,True,4,1,False,1,True,3,False,1,False,0,
5,29,n,True,5,1,False,1,True,4,False,1,False,0,
6,31,s,True,6,1,True,2,False,4,False,1,False,0,
7,16,s,True,7,1,True,3,False,4,False,1,False,0,
8,46,n,True,8,1,False,3,True,5,False,1,False,0,
9,15,s,True,9,1,True,4,False,5,False,1,False,0,
10,9,n,False,9,2,False,4,False,5,False,1,True,1,
11,26,n,True,10,2,False,4,True,6,False,1,False,1,
12,21,n,True,11,2,False,4,True,7,False,1,False,1,
13,42,n,True,12,2,False,4,True,8,False,1,False,1,
14,10,s,True,13,2,True,5,False,8,False,1,False,1,
15,45,n,True,14,2,False,5,True,9,False,1,False,1,
16,32,s,True,15,2,True,6,False,9,False,1,False,1,
17,8,n,False,15,3,False,6,False,9,False,1,True,2,
18,48,s,False,15,4,False,6,False,9,True,2,False,2,
19,6,n,False,15,5,False,6,False,9,False,2,True,3,
20,23,n,True,16,5,False,6,True,10,False,2,False,3,
21,41,n,False,16,6,False,6,False,10,False,2,True,4,
22,28,n,True,17,6,False,6,True,11,False,2,False,4,
23,2,n,True,18,6,False,6,True,12,False,2,False,4,
24,37,s,True,19,6,True,7,False,12,False,2,False,4,
25,5,n,True,20,6,False,7,True,13,False,2,False,4,
26,34,s,True,21,6,True,8,False,13,False,2,False,4,
27,14,s,True,22,6,True,9,False,13,False,2,False,4,
28,22,n,True,23,6,False,9,True,14,False,2,False,4,
29,33,s,True,24,6,True,10,False,14,False,2,False,4,
30,18,s,True,25,6,True,11,False,14,False,2,False,4,
31,27,n,True,26,6,False,11,True,15,False,2,False,4,
32,39,s,True,27,6,True,12,False,15,False,2,False,4,
33,1,n,True,28,6,False,12,True,16,False,2,False,4,
34,38,s,True,29,6,True,13,False,16,False,2,False,4,
35,12,s,True,30,6,True,14,False,16,False,2,False,4,
36,13,s,True,31,6,True,15,False,16,False,2,False,4,
37,3,n,True,32,6,False,15,True,17,False,2,False,4,
38,47,n,True,33,6,False,15,True,18,False,2,False,4,
39,24,s,False,33,7,False,15,False,18,True,3,False,4,
40,19,n,True,34,7,False,15,True,19,False,3,False,4,
41,11,s,True,35,7,True,16,False,19,False,3,False,4,
42,30,n,True,36,7,False,16,True,20,False,3,False,4,
43,7,s,True,37,7,True,17,False,20,False,3,False,4,
44,36,s,True,38,7,True,18,False,20,False,3,False,4,
45,35,s,True,39,7,True,19,False,20,False,3,False,4,
46,17,s,True,40,7,True,20,False,20,False,3,False,4,
47,44,n,True,41,7,False,20,True,21,False,3,False,4,
0,8,s,True,42,7,True,21,False,21,False,3,False,4,
1,5,n,True,43,7,False,21,True,22,False,3,False,4,
2,15,n,False,43,8,False,21,False,22,False,3,True,5,
3,29,n,True,44,8,False,21,True,23,False,3,False,5,
4,41,s,True,45,8,True,22,False,23,False,3,False,5,
5,17,n,False,45,9,False,22,False,23,False,3,True,6,
6,43,n,True,46,9,False,22,True,24,False,3,False,6,
7,14,n,False,46,10,False,22,False,24,False,3,True,7,
8,25,n,True,47,10,False,22,True,25,False,3,False,7,
9,33,n,False,47,11,False,22,False,25,False,3,True,8,
10,40,s,True,48,11,True,23,False,25,False,3,False,8,
11,27,n,True,49,11,False,23,True,26,False,3,False,8,
12,23,n,True,50,11,False,23,True,27,False,3,False,8,
13,45,n,True,51,11,False,23,True,28,False,3,False,8,
14,22,s,False,51,12,False,23,False,28,True,4,False,8,
15,19,s,False,51,13,False,23,False,28,True,5,False,8,
16,46,n,True,52,13,False,23,True,29,False,5,False,8,
17,34,s,True,53,13,True,24,False,29,False,5,False,8,
18,12,s,True,54,13,True,25,False,29,False,5,False,8,
19,16,s,True,55,13,True,26,False,29,False,5,False,8,
20,39,s,True,56,13,True,27,False,29,False,5,False,8,
21,2,n,True,57,13,False,27,True,30,False,5,False,8,
22,6,n,False,57,14,False,27,False,30,False,5,True,9,
23,37,s,True,58,14,True,28,False,30,False,5,False,9,
24,28,n,True,59,14,False,28,True,31,False,5,False,9,
25,10,s,True,60,14,True,29,False,31,False,5,False,9,
26,42,n,True,61,14,False,29,True,32,False,5,False,9,
27,3,n,True,62,14,False,29,True,33,False,5,False,9,
28,32,s,True,63,14,True,30,False,33,False,5,False,9,
29,38,n,False,63,15,False,30,False,33,False,5,True,10,
30,24,n,True,64,15,False,30,True,34,False,5,False,10,
31,36,s,True,65,15,True,31,False,34,False,5,False,10,
32,26,n,True,66,15,False,31,True,35,False,5,False,10,
33,7,s,True,67,15,True,32,False,35,False,5,False,10,
34,44,n,True,68,15,False,32,True,36,False,5,False,10,
35,9,n,False,68,16,False,32,False,36,False,5,True,11,
36,30,n,True,69,16,False,32,True,37,False,5,False,11,
37,47,s,False,69,17,False,32,False,37,True,6,False,11,
38,4,n,True,70,17,False,32,True,38,False,6,False,11,
39,18,s,True,71,17,True,33,False,38,False,6,False,11,
40,35,s,True,72,17,True,34,False,38,False,6,False,11,
41,1,n,True,73,17,False,34,True,39,False,6,False,11,
42,11,s,True,74,17,True,35,False,39,False,6,False,11,
43,20,n,True,75,17,False,35,True,40,False,6,False,11,
44,31,s,True,76,17,True,36,False,40,False,6,False,11,
45,13,s,True,77,17,True,37,False,40,False,6,False,11,
46,48,n,True,78,17,False,37,True,41,False,6,False,11,
47,21,n,True,79,17,False,37,True,42,False,6,False,11,
0,31,s,True,80,17,True,38,False,42,False,6,False,11,
1,33,s,True,81,17,True,39,False,42,False,6,False,11,
2,37,s,True,82,17,True,40,False,42,False,6,False,11,
3,15,s,True,83,17,True,41,False,42,False,6,False,11,
4,22,s,False,83,18,False,41,False,42,True,7,False,11,
5,21,n,True,84,18,False,41,True,43,False,7,False,11,
6,11,n,False,84,19,False,41,False,43,False,7,True,12,
7,16,s,True,85,19,True,42,False,43,False,7,False,12,
8,38,s,True,86,19,True,43,False,43,False,7,False,12,
9,29,n,True,87,19,False,43,True,44,False,7,False,12,
10,9,n,False,87,20,False,43,False,44,False,7,True,13,
11,39,s,True,88,20,True,44,False,44,False,7,False,13,
12,36,s,True,89,20,True,45,False,44,False,7,False,13,
13,44,n,True,90,20,False,45,True,45,False,7,False,13,
14,28,n,True,91,20,False,45,True,46,False,7,False,13,
15,17,n,False,91,21,False,45,False,46,False,7,True,14,
16,41,n,False,91,22,False,45,False,46,False,7,True,15,
17,34,n,False,91,23,False,45,False,46,False,7,True,16,
18,42,n,True,92,23,False,45,True,47,False,7,False,16,
19,32,n,False,92,24,False,45,False,47,False,7,True,17,
20,6,n,False,92,25,False,45,False,47,False,7,True,18,
21,24,n,True,93,25,False,45,True,48,False,7,False,18,
22,5,n,True,94,25,False,45,True,49,False,7,False,18,
23,19,n,True,95,25,False,45,True,50,False,7,False,18,
24,13,s,True,96,25,True,46,False,50,False,7,False,18,
25,8,s,True,97,25,True,47,False,50,False,7,False,18,
26,7,s,True,98,25,True,48,False,50,False,7,False,18,
27,20,n,True,99,25,False,48,True,51,False,7,False,18,
28,2,n,True,100,25,False,48,True,52,False,7,False,18,
29,46,n,True,101,25,False,48,True,53,False,7,False,18,
30,43,n,True,102,25,False,48,True,54,False,7,False,18,
31,35,s,True,103,25,True,49,False,54,False,7,False,18,
32,18,n,False,103,26,False,49,False,54,False,7,True,19,
33,26,n,True,104,26,False,49,True,55,False,7,False,19,
34,23,s,False,104,27,False,49,False,55,True,8,False,19,
35,48,s,False,104,28,False,49,False,55,True,9,False,19,
36,27,n,True,105,28,False,49,True,56,False,9,False,19,
37,12,s,True,106,28,True,50,False,56,False,9,False,19,
38,47,n,True,107,28,False,50,True,57,False,9,False,19,
39,14,n,False,107,29,False,50,False,57,False,9,True,20,
40,1,n,True,108,29,False,50,True,58,False,9,False,20,
