Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,10,n,False,0,1,False,0,False,0,False,0,True,1,
1,38,s,True,1,1,True,1,False,0,False,0,False,1,
2,7,s,True,2,1,True,2,False,0,False,0,False,1,
3,13,n,False,2,2,False,2,False,0,False,0,True,2,
4,19,n,True,3,2,False,2,True,1,False,0,False,2,
5,23,n,True,4,2,False,2,True,2,False,0,False,2,
6,40,s,True,5,2,True,3,False,2,False,0,False,2,
7,32,s,True,6,2,True,4,False,2,False,0,False,2,
8,4,n,True,7,2,False,4,True,3,False,0,False,2,
9,44,n,True,8,2,False,4,True,4,False,0,False,2,
10,15,s,True,9,2,True,5,False,4,False,0,False,2,
11,21,n,True,10,2,False,5,True,5,False,0,False,2,
12,8,s,True,11,2,True,6,False,5,False,0,False,2,
13,47,n,True,12,2,False,6,True,6,False,0,False,2,
14,36,s,True,13,2,True,7,False,6,False,0,False,2,
15,31,s,True,14,2,True,8,False,6,False,0,False,2,
16,25,n,True,15,2,False,8,True,7,False,0,False,2,
17,46,s,False,15,3,False,8,False,7,True,1,False,2,
18,28,n,True,16,3,False,8,True,8,False,1,False,2,
19,5,n,True,17,3,False,8,True,9,False,1,False,2,
20,3,n,True,18,3,False,8,True,10,False,1,False,2,
21,42,n,True,19,3,False,8,True,11,False,1,False,2,
22,39,s,True,20,3,True,9,False,11,False,1,False,2,
23,35,s,True,21,3,True,10,False,11,False,1,False,2,
24,2,n,True,22,3,False,10,True,12,False,1,False,2,
25,41,n,False,22,4,False,10,False,12,False,1,True,3,
26,45,s,False,22,5,False,10,False,12,True,2,False,3,
27,33,n,False,22,6,False,10,False,12,False,2,True,4,
28,48,s,False,22,7,False,10,False,12,True,3,False,4,
29,24,s,False,22,8,False,10,False,12,True,4,False,4,
30,1,n,True,23,8,False,10,True,13,False,4,False,4,
31,11,s,True,24,8,True,11,False,13,False,4,False,4,
32,26,n,True,25,8,False,11,True,14,False,4,False,4,
33,27,n,True,26,8,False,11,True,15,False,4,False,4,
34,9,n,False,26,9,False,11,False,15,False,4,True,5,
35,37,s,True,27,9,True,12,False,15,False,4,False,5,
36,29,n,True,28,9,False,12,True,16,False,4,False,5,
37,22,s,False,28,10,False,12,False,16,True,5,False,5,
38,6,n,False,28,11,False,12,False,16,False,5,True,6,
39,34,s,True,29,11,True,13,False,16,False,5,False,6,
40,18,n,False,29,12,False,13,False,16,False,5,True,7,
41,16,s,True,30,12,True,14,False,16,False,5,False,7,
42,17,n,False,30,13,False,14,False,16,False,5,True,8,
43,30,n,True,31,13,False,14,True,17,False,5,False,8,
44,43,s,False,31,14,False,14,False,17,True,6,False,8,
45,12,s,True,32,14,True,15,False,17,False,6,False,8,
46,14,n,False,32,15,False,15,False,17,False,6,True,9,
47,20,s,False,32,16,False,15,False,17,True,7,False,9,
0,23,n,True,33,16,False,15,True,18,False,7,False,9,
1,31,s,True,34,16,True,16,False,18,False,7,False,9,
2,30,n,True,35,16,False,16,True,19,False,7,False,9,
3,29,n,True,36,16,False,16,True,20,False,7,False,9,
4,1,n,True,37,16,False,16,True,21,False,7,False,9,
5,20,s,False,37,17,False,16,False,21,True,8,False,9,
6,19,n,True,38,17,False,16,True,22,False,8,False,9,
7,48,s,False,38,18,False,16,False,22,True,9,False,9,
8,28,n,True,39,18,False,16,True,23,False,9,False,9,
9,27,n,True,40,18,False,16,True,24,False,9,False,9,
10,43,n,True,41,18,False,16,True,25,False,9,False,9,
11,2,n,True,42,18,False,16,True,26,False,9,False,9,
12,45,s,False,42,19,False,16,False,26,True,10,False,9,
13,5,n,True,43,19,False,16,True,27,False,10,False,9,
