Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,274,n,True,1,0,False,0,True,1,False,0,False,0,2,
1,138,s,True,2,0,True,1,False,1,False,0,False,0,4,
2,402,s,True,3,0,True,2,False,1,False,0,False,0,5,
3,157,n,False,3,1,False,2,False,1,False,0,True,1,1,
4,350,n,True,4,1,False,2,True,2,False,0,False,1,1,
5,665,s,False,4,2,False,2,False,2,True,1,False,1,6,
6,339,n,True,5,2,False,2,True,3,False,1,False,1,2,
7,673,n,True,6,2,False,2,True,4,False,1,False,1,1,
8,154,n,False,6,3,False,2,False,4,False,1,True,2,2,
9,695,s,False,6,4,False,2,False,4,True,2,False,2,6,
10,644,s,False,6,5,False,2,False,4,True,3,False,2,5,
11,773,n,True,7,5,False,2,True,5,False,3,False,2,2,
12,93,s,True,8,5,True,3,False,5,False,3,False,2,6,
13,733,n,True,9,5,False,3,True,6,False,3,False,2,1,
14,419,n,False,9,6,False,3,False,6,False,3,True,3,1,
15,75,s,True,10,6,True,4,False,6,False,3,False,3,6,
16,798,n,True,11,6,False,4,True,7,False,3,False,3,2,
17,795,n,True,12,6,False,4,True,8,False,3,False,3,2,
18,49,s,True,13,6,True,5,False,8,False,3,False,3,6,
19,36,n,False,13,7,False,5,False,8,False,3,True,4,3,
20,251,s,False,13,8,False,5,False,8,True,4,False,4,6,
21,333,n,True,14,8,False,5,True,9,False,4,False,4,1,
22,298,n,True,15,8,False,5,True,10,False,4,False,4,2,
23,597,s,True,16,8,True,6,False,10,False,4,False,4,4,
24,586,n,False,16,9,False,6,False,10,False,4,True,5,1,
25,758,s,False,16,10,False,6,False,10,True,5,False,5,5,
26,219,s,False,16,11,False,6,False,10,True,6,False,5,6,
27,86,n,False,16,12,False,6,False,10,False,6,True,6,1,
28,125,s,True,17,12,True,7,False,10,False,6,False,6,5,
29,59,s,True,18,12,True,8,False,10,False,6,False,6,6,
30,414,n,False,18,13,False,8,False,10,False,6,True,7,1,
31,61,n,False,18,14,False,8,False,10,False,6,True,8,2,
32,117,s,True,19,14,True,9,False,10,False,6,False,8,5,
33,559,s,True,20,14,True,10,False,10,False,6,False,8,5,
34,410,n,False,20,15,False,10,False,10,False,6,True,9,1,
35,318,n,True,21,15,False,10,True,11,False,6,False,9,1,
36,115,s,True,22,15,True,11,False,11,False,6,False,9,5,
37,401,n,False,22,16,False,11,False,11,False,6,True,10,1,
38,260,s,False,22,17,False,11,False,11,True,7,False,10,5,
39,524,n,False,22,18,False,11,False,11,False,7,True,11,1,
40,496,n,False,22,19,False,11,False,11,False,7,True,12,1,
41,371,n,True,23,19,False,11,True,12,False,7,False,12,2,
42,51,n,False,23,20,False,11,False,12,False,7,True,13,1,
43,613,n,True,24,20,False,11,True,13,False,7,False,13,1,
44,729,s,False,24,21,False,11,False,13,True,8,False,13,5,
45,702,n,True,25,21,False,11,True,14,False,8,False,13,1,
46,169,s,True,26,21,True,12,False,14,False,8,False,13,5,
47,520,n,False,26,22,False,12,False,14,False,8,True,14,1,
48,457,n,False,26,23,False,12,False,14,False,8,True,15,1,
49,663,s,False,26,24,False,12,False,14,True,9,False,15,5,
50,478,n,False,26,25,False,12,False,14,False,9,True,16,2,
51,672,s,False,26,26,False,12,False,14,True,10,False,16,6,
52,617,n,True,27,26,False,12,True,15,False,10,False,16,2,
53,329,s,False,27,27,False,12,False,15,True,11,False,16,5,
54,56,s,True,28,27,True,13,False,15,False,11,False,16,6,
55,632,s,False,28,28,False,13,False,15,True,12,False,16,6,
56,299,n,True,29,28,False,13,True,16,False,12,False,16,2,
57,150,s,True,30,28,True,14,False,16,False,12,False,16,5,
58,741,n,True,31,28,False,14,True,17,False,12,False,16,2,
59,696,s,False,31,29,False,14,False,17,True,13,False,16,6,
60,19,n,False,31,30,False,14,False,17,False,13,True,17,2,
61,603,s,False,31,31,False,14,False,17,True,14,False,17,6,
62,536,n,False,31,32,False,14,False,17,False,14,True,18,1,
63,435,n,False,31,33,False,14,False,17,False,14,True,19,2,
64,688,s,False,31,34,False,14,False,17,True,15,False,19,6,
65,398,n,True,32,34,False,14,True,18,False,15,False,19,1,
