Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,261,s,False,0,1,False,0,False,0,True,1,False,0,5,
1,249,s,False,0,2,False,0,False,0,True,2,False,0,5,
2,392,s,False,0,3,False,0,False,0,True,3,False,0,5,
3,388,s,False,0,4,False,0,False,0,True,4,False,0,5,
4,283,s,False,0,5,False,0,False,0,True,5,False,0,5,
5,407,n,False,0,6,False,0,False,0,False,5,True,1,3,
6,332,n,True,1,6,False,0,True,1,False,5,False,1,1,
7,205,n,False,1,7,False,0,False,1,False,5,True,2,1,
8,349,s,False,1,8,False,0,False,1,True,6,False,2,6,
9,284,s,False,1,9,False,0,False,1,True,7,False,2,6,
10,423,n,False,1,10,False,0,False,1,False,7,True,3,1,
11,379,n,True,2,10,False,0,True,2,False,7,False,3,1,
12,410,n,False,2,11,False,0,False,2,False,7,True,4,2,
13,156,n,False,2,12,False,0,False,2,False,7,True,5,1,
14,137,n,False,2,13,False,0,False,2,False,7,True,6,1,
15,105,s,True,3,13,True,1,False,2,False,7,False,6,5,
16,300,s,False,3,14,False,1,False,2,True,8,False,6,6,
17,383,s,False,3,15,False,1,False,2,True,9,False,6,6,
18,414,s,True,4,15,True,2,False,2,False,9,False,6,6,
19,440,s,True,5,15,True,3,False,2,False,9,False,6,6,
20,38,s,False,5,16,False,3,False,2,True,10,False,6,6,
21,179,s,True,6,16,True,4,False,2,False,10,False,6,6,
22,69,s,False,6,17,False,4,False,2,True,11,False,6,6,
23,32,s,False,6,18,False,4,False,2,True,12,False,6,6,
24,418,s,True,7,18,True,5,False,2,False,12,False,6,6,
25,31,s,False,7,19,False,5,False,2,True,13,False,6,6,
26,375,n,True,8,19,False,5,True,3,False,13,False,6,1,
27,477,n,False,8,20,False,5,False,3,False,13,True,7,1,
28,165,s,True,9,20,True,6,False,3,False,13,False,7,6,
29,353,n,True,10,20,False,6,True,4,False,13,False,7,1,
30,298,s,False,10,21,False,6,False,4,True,14,False,7,6,
31,101,n,False,10,22,False,6,False,4,False,14,True,8,1,
32,176,s,True,11,22,True,7,False,4,False,14,False,8,6,
33,365,n,True,12,22,False,7,True,5,False,14,False,8,1,
34,377,n,True,13,22,False,7,True,6,False,14,False,8,1,
35,138,n,False,13,23,False,7,False,6,False,14,True,9,1,
36,322,s,False,13,24,False,7,False,6,True,15,False,9,6,
37,53,s,False,13,25,False,7,False,6,True,16,False,9,6,
38,115,s,True,14,25,True,8,False,6,False,16,False,9,6,
39,1,s,False,14,26,False,8,False,6,True,17,False,9,6,
40,68,s,False,14,27,False,8,False,6,True,18,False,9,6,
41,280,s,False,14,28,False,8,False,6,True,19,False,9,6,
42,125,n,False,14,29,False,8,False,6,False,19,True,10,1,
43,219,s,True,15,29,True,9,False,6,False,19,False,10,4,
44,35,n,True,16,29,False,9,True,7,False,19,False,10,3,
45,185,n,False,16,30,False,9,False,7,False,19,True,11,1,
46,318,s,False,16,31,False,9,False,7,True,20,False,11,6,
47,420,s,True,17,31,True,10,False,7,False,20,False,11,6,
48,206,n,False,17,32,False,10,False,7,False,20,True,12,1,
49,472,s,True,18,32,True,11,False,7,False,20,False,12,6,
50,257,s,False,18,33,False,11,False,7,True,21,False,12,6,
51,278,s,False,18,34,False,11,False,7,True,22,False,12,6,
52,364,n,True,19,34,False,11,True,8,False,22,False,12,1,
53,315,s,False,19,35,False,11,False,8,True,23,False,12,6,
54,73,n,True,20,35,False,11,True,9,False,23,False,12,3,
55,441,s,True,21,35,True,12,False,9,False,23,False,12,6,
56,390,n,True,22,35,False,12,True,10,False,23,False,12,1,
57,437,s,True,23,35,True,13,False,10,False,23,False,12,6,
58,60,s,False,23,36,False,13,False,10,True,24,False,12,6,
59,27,s,False,23,37,False,13,False,10,True,25,False,12,6,
60,446,n,False,23,38,False,13,False,10,False,25,True,13,1,
61,352,s,False,23,39,False,13,False,10,True,26,False,13,6,
62,190,s,True,24,39,True,14,False,10,False,26,False,13,6,
63,305,n,True,25,39,False,14,True,11,False,26,False,13,3,
64,368,n,True,26,39,False,14,True,12,False,26,False,13,1,
65,134,n,False,26,40,False,14,False,12,False,26,True,14,1,
66,77,s,False,26,41,False,14,False,12,True,27,False,14,6,
67,49,s,False,26,42,False,14,False,12,True,28,False,14,6,
68,267,s,False,26,43,False,14,False,12,True,29,False,14,6,
69,403,s,True,27,43,True,15,False,12,False,29,False,14,6,
70,449,n,False,27,44,False,15,False,12,False,29,True,15,1,
71,62,s,False,27,45,False,15,False,12,True,30,False,15,6,
72,304,s,False,27,46,False,15,False,12,True,31,False,15,6,
73,396,s,False,27,47,False,15,False,12,True,32,False,15,6,
74,141,n,False,27,48,False,15,False,12,False,32,True,16,1,
75,425,s,True,28,48,True,16,False,12,False,32,False,16,6,
76,309,s,False,28,49,False,16,False,12,True,33,False,16,6,
77,118,s,True,29,49,True,17,False,12,False,33,False,16,6,
78,67,s,False,29,50,False,17,False,12,True,34,False,16,6,
79,311,s,False,29,51,False,17,False,12,True,35,False,16,6,
80,421,s,True,30,51,True,18,False,12,False,35,False,16,6,
81,310,s,False,30,52,False,18,False,12,True,36,False,16,6,
82,44,s,False,30,53,False,18,False,12,True,37,False,16,6,
83,4,s,False,30,54,False,18,False,12,True,38,False,16,6,
84,244,s,False,30,55,False,18,False,12,True,39,False,16,6,
85,444,n,False,30,56,False,18,False,12,False,39,True,17,1,
86,178,n,False,30,57,False,18,False,12,False,39,True,18,1,
87,144,n,False,30,58,False,18,False,12,False,39,True,19,1,
88,217,s,True,31,58,True,19,False,12,False,39,False,19,6,
89,281,s,False,31,59,False,19,False,12,True,40,False,19,6,
90,358,s,False,31,60,False,19,False,12,True,41,False,19,6,
91,439,s,True,32,60,True,20,False,12,False,41,False,19,6,
92,94,s,True,33,60,True,21,False,12,False,41,False,19,6,
93,187,n,False,33,61,False,21,False,12,False,41,True,20,1,
94,289,s,False,33,62,False,21,False,12,True,42,False,20,6,
95,347,s,False,33,63,False,21,False,12,True,43,False,20,6,
96,139,s,True,34,63,True,22,False,12,False,43,False,20,6,
97,357,s,False,34,64,False,22,False,12,True,44,False,20,6,
98,346,s,False,34,65,False,22,False,12,True,45,False,20,6,
99,391,s,False,34,66,False,22,False,12,True,46,False,20,6,
100,478,n,False,34,67,False,22,False,12,False,46,True,21,1,
101,363,s,False,34,68,False,22,False,12,True,47,False,21,6,
102,41,s,False,34,69,False,22,False,12,True,48,False,21,6,
103,313,s,False,34,70,False,22,False,12,True,49,False,21,6,
104,448,n,False,34,71,False,22,False,12,False,49,True,22,1,
105,106,s,True,35,71,True,23,False,12,False,49,False,22,6,
106,385,s,False,35,72,False,23,False,12,True,50,False,22,6,
107,316,s,False,35,73,False,23,False,12,True,51,False,22,6,
108,221,n,False,35,74,False,23,False,12,False,51,True,23,1,
109,380,n,True,36,74,False,23,True,13,False,51,False,23,1,
110,447,n,False,36,75,False,23,False,13,False,51,True,24,1,
111,55,s,False,36,76,False,23,False,13,True,52,False,24,6,
112,153,n,False,36,77,False,23,False,13,False,52,True,25,1,
113,458,s,True,37,77,True,24,False,13,False,52,False,25,6,
114,100,n,False,37,78,False,24,False,13,False,52,True,26,1,
115,149,n,False,37,79,False,24,False,13,False,52,True,27,1,
116,13,s,False,37,80,False,24,False,13,True,53,False,27,6,
117,325,s,False,37,81,False,24,False,13,True,54,False,27,6,
118,114,s,True,38,81,True,25,False,13,False,54,False,27,6,
119,464,n,False,38,82,False,25,False,13,False,54,True,28,1,
120,258,s,False,38,83,False,25,False,13,True,55,False,28,6,
121,121,n,False,38,84,False,25,False,13,False,55,True,29,1,
122,162,s,True,39,84,True,26,False,13,False,55,False,29,6,
123,303,s,False,39,85,False,26,False,13,True,56,False,29,6,
124,386,n,True,40,85,False,26,True,14,False,56,False,29,1,
125,345,s,False,40,86,False,26,False,14,True,57,False,29,6,
126,30,s,False,40,87,False,26,False,14,True,58,False,29,6,
127,122,n,False,40,88,False,26,False,14,False,58,True,30,1,
128,287,s,False,40,89,False,26,False,14,True,59,False,30,6,
129,110,s,True,41,89,True,27,False,14,False,59,False,30,6,
130,232,n,False,41,90,False,27,False,14,False,59,True,31,1,
131,81,s,True,42,90,True,28,False,14,False,59,False,31,6,
132,231,n,False,42,91,False,28,False,14,False,59,True,32,1,
133,116,s,True,43,91,True,29,False,14,False,59,False,32,6,
134,90,s,True,44,91,True,30,False,14,False,59,False,32,6,
135,326,s,False,44,92,False,30,False,14,True,60,False,32,6,
136,14,n,True,45,92,False,30,True,15,False,60,False,32,3,
137,167,s,True,46,92,True,31,False,15,False,60,False,32,6,
138,66,s,False,46,93,False,31,False,15,True,61,False,32,6,
139,393,n,True,47,93,False,31,True,16,False,61,False,32,1,
140,344,s,False,47,94,False,31,False,16,True,62,False,32,6,
141,330,s,False,47,95,False,31,False,16,True,63,False,32,6,
142,224,n,False,47,96,False,31,False,16,False,63,True,33,1,
143,132,n,False,47,97,False,31,False,16,False,63,True,34,1,
144,2,s,False,47,98,False,31,False,16,True,64,False,34,6,
145,147,n,False,47,99,False,31,False,16,False,64,True,35,1,
146,161,s,True,48,99,True,32,False,16,False,64,False,35,6,
147,234,n,False,48,100,False,32,False,16,False,64,True,36,1,
148,350,s,False,48,101,False,32,False,16,True,65,False,36,6,
149,307,s,False,48,102,False,32,False,16,True,66,False,36,6,
150,242,s,False,48,103,False,32,False,16,True,67,False,36,6,
151,143,n,False,48,104,False,32,False,16,False,67,True,37,1,
