Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,1,s,False,0,1,False,0,False,0,True,1,False,0,
1,29,n,True,1,1,False,0,True,1,False,1,False,0,
2,18,s,True,2,1,True,1,False,1,False,1,False,0,
3,17,s,True,3,1,True,2,False,1,False,1,False,0,
4,10,s,True,4,1,True,3,False,1,False,1,False,0,
5,40,s,True,5,1,True,4,False,1,False,1,False,0,
6,47,n,True,6,1,False,4,True,2,False,1,False,0,
7,26,s,False,6,2,False,4,False,2,True,2,False,0,
8,14,n,False,6,3,False,4,False,2,False,2,True,1,
9,39,s,True,7,3,True,5,False,2,False,2,False,1,
10,35,s,True,8,3,True,6,False,2,False,2,False,1,
11,22,s,False,8,4,False,6,False,2,True,3,False,1,
12,44,n,True,9,4,False,6,True,3,False,3,False,1,
13,2,n,True,10,4,False,6,True,4,False,3,False,1,
14,37,s,True,11,4,True,7,False,4,False,3,False,1,
15,15,s,True,12,4,True,8,False,4,False,3,False,1,
16,41,s,True,13,4,True,9,False,4,False,3,False,1,
17,30,n,True,14,4,False,9,True,5,False,3,False,1,
18,20,n,True,15,4,False,9,True,6,False,3,False,1,
19,43,n,True,16,4,False,9,True,7,False,3,False,1,
20,16,s,True,17,4,True,10,False,7,False,3,False,1,
21,8,s,True,18,4,True,11,False,7,False,3,False,1,
22,9,s,True,19,4,True,12,False,7,False,3,False,1,
23,19,n,True,20,4,False,12,True,8,False,3,False,1,
24,3,n,True,21,4,False,12,True,9,False,3,False,1,
25,31,s,True,22,4,True,13,False,9,False,3,False,1,
26,45,n,True,23,4,False,13,True,10,False,3,False,1,
27,24,n,True,24,4,False,13,True,11,False,3,False,1,
28,48,n,True,25,4,False,13,True,12,False,3,False,1,
29,42,s,False,25,5,False,13,False,12,True,4,False,1,
30,38,s,True,26,5,True,14,False,12,False,4,False,1,
31,7,s,True,27,5,True,15,False,12,False,4,False,1,
32,12,s,True,28,5,True,16,False,12,False,4,False,1,
33,25,n,True,29,5,False,16,True,13,False,4,False,1,
34,13,s,True,30,5,True,17,False,13,False,4,False,1,
35,28,n,True,31,5,False,17,True,14,False,4,False,1,
36,33,n,False,31,6,False,17,False,14,False,4,True,2,
37,34,s,True,32,6,True,18,False,14,False,4,False,2,
38,6,n,False,32,7,False,18,False,14,False,4,True,3,
39,21,n,True,33,7,False,18,True,15,False,4,False,3,
40,5,n,True,34,7,False,18,True,16,False,4,False,3,
41,4,n,True,35,7,False,18,True,17,False,4,False,3,
42,36,s,True,36,7,True,19,False,17,False,4,False,3,
43,11,s,True,37,7,True,20,False,17,False,4,False,3,
44,23,n,True,38,7,False,20,True,18,False,4,False,3,
45,32,s,True,39,7,True,21,False,18,False,4,False,3,
46,27,n,True,40,7,False,21,True,19,False,4,False,3,
47,46,n,True,41,7,False,21,True,20,False,4,False,3,
0,25,s,False,41,8,False,21,False,20,True,5,False,3,
1,11,s,True,42,8,True,22,False,20,False,5,False,3,
2,32,s,True,43,8,True,23,False,20,False,5,False,3,
3,43,n,True,44,8,False,23,True,21,False,5,False,3,
4,12,s,True,45,8,True,24,False,21,False,5,False,3,
5,28,n,True,46,8,False,24,True,22,False,5,False,3,
6,33,s,True,47,8,True,25,False,22,False,5,False,3,
7,4,n,True,48,8,False,25,True,23,False,5,False,3,
8,24,n,True,49,8,False,25,True,24,False,5,False,3,
9,9,s,True,50,8,True,26,False,24,False,5,False,3,
10,37,s,True,51,8,True,27,False,24,False,5,False,3,
11,5,n,True,52,8,False,27,True,25,False,5,False,3,
12,17,s,True,53,8,True,28,False,25,False,5,False,3,
13,3,n,True,54,8,False,28,True,26,False,5,False,3,
14,13,s,True,55,8,True,29,False,26,False,5,False,3,
15,45,n,True,56,8,False,29,True,27,False,5,False,3,
16,35,s,True,57,8,True,30,False,27,False,5,False,3,
17,18,s,True,58,8,True,31,False,27,False,5,False,3,
18,16,s,True,59,8,True,32,False,27,False,5,False,3,
19,47,n,True,60,8,False,32,True,28,False,5,False,3,
20,7,s,True,61,8,True,33,False,28,False,5,False,3,
21,27,n,True,62,8,False,33,True,29,False,5,False,3,
22,1,n,True,63,8,False,33,True,30,False,5,False,3,
23,48,n,True,64,8,False,33,True,31,False,5,False,3,
24,40,s,True,65,8,True,34,False,31,False,5,False,3,
25,30,n,True,66,8,False,34,True,32,False,5,False,3,
26,21,n,True,67,8,False,34,True,33,False,5,False,3,
