Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,48,s,False,0,1,False,0,False,0,True,1,False,0,
1,30,s,False,0,2,False,0,False,0,True,2,False,0,
2,26,s,False,0,3,False,0,False,0,True,3,False,0,
3,1,s,False,0,4,False,0,False,0,True,4,False,0,
4,10,s,True,1,4,True,1,False,0,False,4,False,0,
5,42,s,False,1,5,False,1,False,0,True,5,False,0,
6,43,s,False,1,6,False,1,False,0,True,6,False,0,
7,19,s,False,1,7,False,1,False,0,True,7,False,0,
8,8,s,True,2,7,True,2,False,0,False,7,False,0,
9,13,s,True,3,7,True,3,False,0,False,7,False,0,
10,46,s,False,3,8,False,3,False,0,True,8,False,0,
11,3,s,False,3,9,False,3,False,0,True,9,False,0,
12,45,s,False,3,10,False,3,False,0,True,10,False,0,
13,24,s,False,3,11,False,3,False,0,True,11,False,0,
14,38,s,True,4,11,True,4,False,0,False,11,False,0,
15,32,s,True,5,11,True,5,False,0,False,11,False,0,
16,17,s,True,6,11,True,6,False,0,False,11,False,0,
17,11,s,True,7,11,True,7,False,0,False,11,False,0,
18,20,s,False,7,12,False,7,False,0,True,12,False,0,
19,41,s,True,8,12,True,8,False,0,False,12,False,0,
20,36,s,True,9,12,True,9,False,0,False,12,False,0,
21,22,s,False,9,13,False,9,False,0,True,13,False,0,
22,21,s,False,9,14,False,9,False,0,True,14,False,0,
23,9,s,True,10,14,True,10,False,0,False,14,False,0,
24,31,s,True,11,14,True,11,False,0,False,14,False,0,
25,27,s,False,11,15,False,11,False,0,True,15,False,0,
26,18,s,True,12,15,True,12,False,0,False,15,False,0,
27,25,s,False,12,16,False,12,False,0,True,16,False,0,
28,33,s,True,13,16,True,13,False,0,False,16,False,0,
29,23,s,False,13,17,False,13,False,0,True,17,False,0,
30,37,s,True,14,17,True,14,False,0,False,17,False,0,
31,4,s,False,14,18,False,14,False,0,True,18,False,0,
32,28,s,False,14,19,False,14,False,0,True,19,False,0,
33,15,s,True,15,19,True,15,False,0,False,19,False,0,
34,47,s,False,15,20,False,15,False,0,True,20,False,0,
35,39,s,True,16,20,True,16,False,0,False,20,False,0,
36,7,s,True,17,20,True,17,False,0,False,20,False,0,
37,6,s,True,18,20,True,18,False,0,False,20,False,0,
38,16,s,True,19,20,True,19,False,0,False,20,False,0,
39,40,s,True,20,20,True,20,False,0,False,20,False,0,
40,34,s,True,21,20,True,21,False,0,False,20,False,0,
41,14,s,True,22,20,True,22,False,0,False,20,False,0,
42,12,s,True,23,20,True,23,False,0,False,20,False,0,
43,29,s,False,23,21,False,23,False,0,True,21,False,0,
44,5,s,False,23,22,False,23,False,0,True,22,False,0,
45,35,s,True,24,22,True,24,False,0,False,22,False,0,
46,2,s,False,24,23,False,24,False,0,True,23,False,0,
47,44,s,False,24,24,False,24,False,0,True,24,False,0,
0,10,s,True,25,24,True,25,False,0,False,24,False,0,
1,30,s,False,25,25,False,25,False,0,True,25,False,0,
2,23,s,False,25,26,False,25,False,0,True,26,False,0,
3,19,s,False,25,27,False,25,False,0,True,27,False,0,
4,11,s,True,26,27,True,26,False,0,False,27,False,0,
5,29,s,False,26,28,False,26,False,0,True,28,False,0,
6,12,s,True,27,28,True,27,False,0,False,28,False,0,
7,39,s,True,28,28,True,28,False,0,False,28,False,0,
8,34,s,True,29,28,True,29,False,0,False,28,False,0,
9,1,s,False,29,29,False,29,False,0,True,29,False,0,
10,27,s,False,29,30,False,29,False,0,True,30,False,0,
11,26,s,False,29,31,False,29,False,0,True,31,False,0,
12,32,s,True,30,31,True,30,False,0,False,31,False,0,
13,5,s,False,30,32,False,30,False,0,True,32,False,0,
14,41,s,True,31,32,True,31,False,0,False,32,False,0,
15,8,s,True,32,32,True,32,False,0,False,32,False,0,
16,16,s,True,33,32,True,33,False,0,False,32,False,0,
17,24,s,False,33,33,False,33,False,0,True,33,False,0,
18,15,s,True,34,33,True,34,False,0,False,33,False,0,
19,42,s,False,34,34,False,34,False,0,True,34,False,0,
20,40,s,True,35,34,True,35,False,0,False,34,False,0,
21,20,s,False,35,35,False,35,False,0,True,35,False,0,
22,14,s,True,36,35,True,36,False,0,False,35,False,0,
23,36,s,True,37,35,True,37,False,0,False,35,False,0,
24,46,s,False,37,36,False,37,False,0,True,36,False,0,
25,31,s,True,38,36,True,38,False,0,False,36,False,0,
26,25,s,False,38,37,False,38,False,0,True,37,False,0,
27,38,s,True,39,37,True,39,False,0,False,37,False,0,
28,3,s,False,39,38,False,39,False,0,True,38,False,0,
29,37,s,True,40,38,True,40,False,0,False,38,False,0,
30,21,s,False,40,39,False,40,False,0,True,39,False,0,
31,44,s,False,40,40,False,40,False,0,True,40,False,0,
32,45,s,False,40,41,False,40,False,0,True,41,False,0,
33,35,s,True,41,41,True,41,False,0,False,41,False,0,
34,4,s,False,41,42,False,41,False,0,True,42,False,0,
35,18,s,True,42,42,True,42,False,0,False,42,False,0,
36,13,s,True,43,42,True,43,False,0,False,42,False,0,
37,9,s,True,44,42,True,44,False,0,False,42,False,0,
38,7,s,True,45,42,True,45,False,0,False,42,False,0,
39,48,s,False,45,43,False,45,False,0,True,43,False,0,
40,2,s,False,45,44,False,45,False,0,True,44,False,0,
41,6,s,True,46,44,True,46,False,0,False,44,False,0,
42,17,s,True,47,44,True,47,False,0,False,44,False,0,
43,28,s,False,47,45,False,47,False,0,True,45,False,0,
44,47,s,False,47,46,False,47,False,0,True,46,False,0,
45,43,s,False,47,47,False,47,False,0,True,47,False,0,
46,22,s,False,47,48,False,47,False,0,True,48,False,0,
47,33,s,True,48,48,True,48,False,0,False,48,False,0,
0,17,s,True,49,48,True,49,False,0,False,48,False,0,
1,47,s,False,49,49,False,49,False,0,True,49,False,0,
2,19,s,False,49,50,False,49,False,0,True,50,False,0,
3,43,s,False,49,51,False,49,False,0,True,51,False,0,
4,37,s,True,50,51,True,50,False,0,False,51,False,0,
5,5,s,False,50,52,False,50,False,0,True,52,False,0,
6,3,s,False,50,53,False,50,False,0,True,53,False,0,
7,22,s,False,50,54,False,50,False,0,True,54,False,0,
8,41,s,True,51,54,True,51,False,0,False,54,False,0,
9,20,s,False,51,55,False,51,False,0,True,55,False,0,
10,2,s,False,51,56,False,51,False,0,True,56,False,0,
11,4,s,False,51,57,False,51,False,0,True,57,False,0,
12,32,s,True,52,57,True,52,False,0,False,57,False,0,
13,16,s,True,53,57,True,53,False,0,False,57,False,0,
14,6,s,True,54,57,True,54,False,0,False,57,False,0,
15,29,s,False,54,58,False,54,False,0,True,58,False,0,
16,1,s,False,54,59,False,54,False,0,True,59,False,0,
17,18,s,True,55,59,True,55,False,0,False,59,False,0,
18,12,s,True,56,59,True,56,False,0,False,59,False,0,
19,45,s,False,56,60,False,56,False,0,True,60,False,0,
20,9,s,True,57,60,True,57,False,0,False,60,False,0,
21,46,s,False,57,61,False,57,False,0,True,61,False,0,
22,30,s,False,57,62,False,57,False,0,True,62,False,0,
23,27,s,False,57,63,False,57,False,0,True,63,False,0,
24,24,s,False,57,64,False,57,False,0,True,64,False,0,
25,31,s,True,58,64,True,58,False,0,False,64,False,0,
26,39,s,True,59,64,True,59,False,0,False,64,False,0,
27,14,s,True,60,64,True,60,False,0,False,64,False,0,
28,36,s,True,61,64,True,61,False,0,False,64,False,0,
29,42,s,False,61,65,False,61,False,0,True,65,False,0,
30,8,s,True,62,65,True,62,False,0,False,65,False,0,
31,25,s,False,62,66,False,62,False,0,True,66,False,0,
32,23,s,False,62,67,False,62,False,0,True,67,False,0,
33,15,s,True,63,67,True,63,False,0,False,67,False,0,
34,34,s,True,64,67,True,64,False,0,False,67,False,0,
35,33,s,True,65,67,True,65,False,0,False,67,False,0,
36,13,s,True,66,67,True,66,False,0,False,67,False,0,
37,21,s,False,66,68,False,66,False,0,True,68,False,0,
38,48,s,False,66,69,False,66,False,0,True,69,False,0,
39,35,s,True,67,69,True,67,False,0,False,69,False,0,
40,40,s,True,68,69,True,68,False,0,False,69,False,0,
41,28,s,False,68,70,False,68,False,0,True,70,False,0,
42,10,s,True,69,70,True,69,False,0,False,70,False,0,
43,11,s,True,70,70,True,70,False,0,False,70,False,0,
44,44,s,False,70,71,False,70,False,0,True,71,False,0,
45,26,s,False,70,72,False,70,False,0,True,72,False,0,
46,7,s,True,71,72,True,71,False,0,False,72,False,0,
47,38,s,True,72,72,True,72,False,0,False,72,False,0,
0,35,s,True,73,72,True,73,False,0,False,72,False,0,
1,15,s,True,74,72,True,74,False,0,False,72,False,0,
2,48,s,False,74,73,False,74,False,0,True,73,False,0,
3,42,s,False,74,74,False,74,False,0,True,74,False,0,
4,5,s,False,74,75,False,74,False,0,True,75,False,0,
5,17,s,True,75,75,True,75,False,0,False,75,False,0,
6,16,s,True,76,75,True,76,False,0,False,75,False,0,
7,32,s,True,77,75,True,77,False,0,False,75,False,0,
8,28,s,False,77,76,False,77,False,0,True,76,False,0,
9,45,s,False,77,77,False,77,False,0,True,77,False,0,
10,18,s,True,78,77,True,78,False,0,False,77,False,0,
11,11,s,True,79,77,True,79,False,0,False,77,False,0,
12,27,s,False,79,78,False,79,False,0,True,78,False,0,
13,3,s,False,79,79,False,79,False,0,True,79,False,0,
14,14,s,True,80,79,True,80,False,0,False,79,False,0,
15,40,s,True,81,79,True,81,False,0,False,79,False,0,
16,9,s,True,82,79,True,82,False,0,False,79,False,0,
17,1,s,False,82,80,False,82,False,0,True,80,False,0,
18,41,s,True,83,80,True,83,False,0,False,80,False,0,
19,13,s,True,84,80,True,84,False,0,False,80,False,0,
20,38,s,True,85,80,True,85,False,0,False,80,False,0,
21,6,s,True,86,80,True,86,False,0,False,80,False,0,
