"","X.1","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","Color","X","facilidad","senal","tipo","choice","outcome","Exito","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"1",1,0,587,"n","True",1,0,"False",0,"True",1,"False",0,"False",0,2,7.4530749321,5.95198082924,9.12202310562,"Azul",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"2",2,1,175,"n","True",2,0,"False",0,"True",2,"False",0,"False",0,1,9.76695919037,8.26579213142,6.91641497612,"Verde",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"3",3,2,540,"n","True",3,0,"False",0,"True",3,"False",0,"False",0,1,2.85080385208,1.34964489937,1.70469093323,"Naranja",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"4",4,3,394,"n","False",3,1,"False",0,"False",3,"False",0,"True",1,2,3.65424799919,2.15355205536,2.20597410202,"Azul",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"5",5,4,212,"s","False",3,2,"False",0,"False",3,"True",1,"False",1,5,4.34498596191,2.84387898445,2.50634908676,"Azul",NA,"pocos","ruido","1 AN",1,1,0,"0","0","0","1","0","1","0","1","0","1","0","1"
"6",6,5,303,"n","True",4,2,"False",0,"True",4,"False",1,"False",1,1,3.45829391479,1.9572160244,2.70679998398,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"7",7,6,243,"n","True",5,2,"False",0,"True",5,"False",1,"False",1,1,2.15169906616,0.650531053543,2.50608205795,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"8",8,7,9,"s","True",6,2,"True",1,"False",5,"False",1,"False",1,6,3.44415998459,1.94313001633,2.60619306564,"Purpura",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"9",9,8,114,"s","True",7,2,"True",2,"False",5,"False",1,"False",1,6,3.64324092865,2.14309501648,1.60407495499,"Verde",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"10",10,9,91,"s","True",8,2,"True",3,"False",5,"False",1,"False",1,6,2.75399804115,1.25283288956,1.50349807739,"Naranja",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"11",11,10,348,"n","False",8,3,"False",3,"False",5,"False",1,"True",2,2,3.34986400604,1.84868979454,1.40342521667,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"12",12,11,544,"n","True",9,3,"False",3,"True",6,"False",1,"False",2,1,2.24891209602,0.747786045074,2.20572710037,"Verde",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"13",13,12,211,"s","False",9,4,"False",3,"False",6,"True",2,"False",2,6,2.44110178947,0.939918041229,4.61187815666,"Purpura",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"14",14,13,25,"s","True",10,4,"True",4,"False",6,"False",2,"False",2,6,4.25862407684,2.75748515129,2.70706892014,"Purpura",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"15",15,14,350,"n","False",10,5,"False",4,"False",6,"False",2,"True",3,2,2.75062203407,1.24974608421,0.902231931686,"Naranja",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"16",16,15,325,"n","False",10,6,"False",4,"False",6,"False",2,"True",4,1,2.95393705368,1.45276999474,0.702068090439,"Verde",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"17",17,16,187,"s","False",10,7,"False",4,"False",6,"True",3,"False",4,6,2.45335316658,0.952255010605,0.602035045624,"Naranja",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"18",18,17,305,"n","True",11,7,"False",4,"True",7,"False",3,"False",4,2,3.15479111671,1.65367817879,3.0069539547,"Naranja",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"19",19,18,359,"n","False",11,8,"False",4,"False",7,"False",3,"True",5,1,2.14931797981,0.648182153702,2.7064909935,"Naranja",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"20",20,19,329,"n","False",11,9,"False",4,"False",7,"False",3,"True",6,1,2.44886398315,0.947723150253,1.30332016945,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"21",21,20,13,"s","True",12,9,"True",5,"False",7,"False",3,"False",6,6,5.44967389107,3.94857287407,2.10584712029,"Azul",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"22",22,21,151,"n","False",12,10,"False",5,"False",7,"False",3,"True",7,3,7.36595582962,5.86489582062,0.501576900482,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","1","0","1","0","1","0"
"23",23,22,627,"s","False",12,11,"False",5,"False",7,"True",4,"False",7,4,3.95238304138,2.45171904564,3.30831289291,"Verde",NA,"muchos","ruido","2 BN",1,1,0,"0","0","0","0","0","1","0","1","0","1","0","1"
"24",24,23,531,"s","False",12,12,"False",5,"False",7,"True",5,"False",7,6,3.55136990547,2.05017590523,1.60406804085,"Verde",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"25",25,24,143,"s","True",13,12,"True",6,"False",7,"False",5,"False",7,6,2.74921798706,1.2480969429,1.30314421654,"Verde",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"26",26,25,108,"n","False",13,13,"False",6,"False",7,"False",5,"True",8,2,2.74256014824,1.24149894714,1.20374488831,"Verde",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"27",27,26,85,"n","False",13,14,"False",6,"False",7,"False",5,"True",9,2,3.15072488785,1.65017485619,0.802047967911,"Verde",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"28",28,27,12,"n","False",13,15,"False",6,"False",7,"False",5,"True",10,3,3.25275301933,1.75156593323,1.50406098366,"Verde",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","1","0","1","0","1","0"
"29",29,28,208,"n","True",14,15,"False",6,"True",8,"False",5,"False",10,1,2.64952492714,1.14842796326,1.00264406204,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"30",30,29,328,"n","False",14,16,"False",6,"False",8,"False",5,"True",11,2,3.05417394638,1.55360507965,1.50375294685,"Verde",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"31",31,30,261,"s","False",14,17,"False",6,"False",8,"True",6,"False",11,6,3.15616703033,1.65492391586,1.20307397842,"Verde",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"32",32,31,262,"n","True",15,17,"False",6,"True",9,"False",6,"False",11,1,3.5567688942,2.0555729866,0.601507902145,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"33",33,32,521,"n","True",16,17,"False",6,"True",10,"False",6,"False",11,3,3.05151319504,1.55038404465,1.60395789146,"Verde",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","1","0","1","0","1"
"34",34,33,263,"n","True",17,17,"False",6,"True",11,"False",6,"False",11,1,2.85531401634,1.35416197777,1.80467510223,"Azul",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"35",35,34,5,"s","True",18,17,"True",7,"False",11,"False",6,"False",11,6,2.75476408005,1.25354218483,0.601523160934,"Verde",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"36",36,35,374,"n","False",18,18,"False",7,"False",11,"False",6,"True",12,3,4.45396494865,2.95284295082,0.501843214035,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","1","0","1","0","1","0"
"37",37,36,210,"n","True",19,18,"False",7,"True",12,"False",6,"False",12,2,3.25141501427,1.75024008751,0.601562976837,"Verde",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"38",38,37,265,"s","False",19,19,"False",7,"False",12,"True",7,"False",12,5,4.55915904045,3.05800199509,0.902659893036,"Purpura",NA,"pocos","ruido","1 AN",1,1,0,"0","0","0","1","0","1","0","1","0","1","0","1"
"39",39,38,268,"n","True",20,19,"False",7,"True",13,"False",7,"False",12,3,3.45570588112,1.95454096794,1.60443305969,"Verde",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","1","0","1","0","1"
"40",40,39,612,"n","True",21,19,"False",7,"True",14,"False",7,"False",12,1,2.85289502144,1.35174489021,1.50381302834,"Purpura",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"41",41,40,131,"s","True",22,19,"True",8,"False",14,"False",7,"False",12,6,3.2567589283,1.75555086136,0.501848220825,"Purpura",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"42",42,41,476,"s","True",23,19,"True",9,"False",14,"False",7,"False",12,6,3.65229296684,2.15122413635,0.501389980316,"Naranja",NA,"muchos","senal","3 BS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"43",43,42,290,"n","True",24,19,"False",9,"True",15,"False",7,"False",12,2,3.25521016121,1.75418806076,0.101885795593,"Verde",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"44",44,43,613,"n","True",25,19,"False",9,"True",16,"False",7,"False",12,1,3.15023088455,1.64910078049,1.40386891365,"Naranja",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"45",45,44,67,"s","True",26,19,"True",10,"False",16,"False",7,"False",12,6,3.25595188141,1.75486016273,1.20275712013,"Purpura",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"46",46,45,95,"s","True",27,19,"True",11,"False",16,"False",7,"False",12,6,3.05534386635,1.55421304703,0.300945043564,"Verde",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"47",47,46,529,"s","False",27,20,"False",11,"False",16,"True",8,"False",12,6,2.14957499504,0.648504972458,0.90237402916,"Azul",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"48",48,47,376,"n","False",27,21,"False",11,"False",16,"False",8,"True",13,2,2.74955582619,1.2483291626,0.501418113708,"Verde",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"49",49,48,392,"n","False",27,22,"False",11,"False",16,"False",8,"True",14,1,3.05395388603,1.55361795425,0.401086091995,"Verde",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"50",50,49,576,"n","True",28,22,"False",11,"True",17,"False",8,"False",14,3,3.15090107918,1.65065717697,0.801974058151,"Verde",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","1","0","1","0","1"
"51",51,50,499,"s","False",28,23,"False",11,"False",17,"True",9,"False",14,5,3.25131392479,1.75015497208,0.601639032364,"Verde",NA,"muchos","ruido","2 BN",1,1,0,"0","0","0","1","0","1","0","1","0","1","0","1"
"52",52,51,56,"n","False",28,24,"False",11,"False",17,"False",9,"True",15,1,1.94780492783,0.446693181992,1.50371909142,"Naranja",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"53",53,52,221,"n","True",29,24,"False",11,"True",18,"False",9,"False",15,2,4.25852417946,2.75734019279,0.401077985764,"Azul",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"54",54,53,575,"n","True",30,24,"False",11,"True",19,"False",9,"False",15,1,2.55307912827,1.05237007141,0.50130200386,"Naranja",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"55",55,54,332,"n","False",30,25,"False",11,"False",19,"False",9,"True",16,1,2.8498339653,1.34879183769,0.60168504715,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
