Sujeto,A_FA,FaR_A,B_FA,FaR_B,B_H,Hr_B,A_H,Hr_A,R_AN,R_BN,R_BS,R_AS
1,21,0.13125,28,0.175,140,0.875,147,0.91875,1.65625,1.86875,5.31875,5.59375
3,5,0.03125,9,0.05625,151,0.94375,156,0.975,1.2,1.46875,5.44375,5.4625
4,2,0.0125,10,0.0625,116,0.725,135,0.84375,1.06875,1.325,4.6625,5.1875
5,52,0.325,66,0.4125,148,0.925,153,0.95625,3.01875,3.275,5.46875,5.475
6,4,0.025,7,0.04375,145,0.90625,153,0.95625,1.175,1.31875,5.21875,5.30625
7,3,0.01875,7,0.04375,141,0.88125,146,0.9125,1.10625,1.2375,5.33125,5.425
8,30,0.1875,53,0.33125,116,0.725,139,0.86875,2.50625,3.15625,4.58125,4.96875
9,6,0.0375,16,0.1,151,0.94375,156,0.975,1.425,1.7625,5.55625,5.75625
10,6,0.0375,18,0.1125,115,0.71875,136,0.85,1.475,1.88125,4.675,5.11875
12,1,0.00625,2,0.0125,141,0.88125,149,0.93125,1.0375,1.15625,5.30625,5.65
13,3,0.01875,7,0.04375,128,0.8,149,0.93125,1.25,1.45625,4.95625,5.525
15,1,0.00625,5,0.03125,149,0.93125,159,0.99375,1.05625,1.24375,5.56875,5.94375
16,31,0.19375,55,0.34375,153,0.95625,159,0.99375,2.3625,2.90625,5.75625,5.9
17,15,0.09375,32,0.2,95,0.59375,113,0.70625,1.93125,2.36875,4.1625,4.38125
18,14,0.0875,29,0.18125,137,0.85625,146,0.9125,1.4875,2.01875,5.20625,5.5
19,1,0.00625,3,0.01875,154,0.9625,157,0.98125,1.075,1.1375,5.7625,5.89375
20,6,0.0375,14,0.0875,125,0.78125,142,0.8875,1.5,1.66875,4.70625,5.2
