Puntajes asignados (Exp 1),Puntajes asignados (Exp 2),Puntajes asignados (Exp 1),Puntajes asignados (Exp 2),CLASE,Clase_N
5.59375,5.43125,1.65625,2.26875,A,B
5.1875,4.44375,1.275,2.70625,A,B
5.4625,4.13125,1.2,1.36875,A,B
5.1875,5.90625,1.06875,1.15625,A,B
5.475,5.41875,2.51875,3.075,A,B
5.30625,5.0125,1.175,1.7125,A,B
5.425,4.775,1.10625,2.14375,A,B
4.96875,5.0875,2.50625,2.7125,A,B
5.75625,5.79375,1.425,1.5125,A,B
5.11875,5.9125,1.475,3.38125,A,B
5.6875,4.73125,2.24375,2.8625,A,B
5.65,5.83125,1.0375,3.5,A,B
5.525,5.45625,1.25,2.10625,A,B
5.74375,5.5125,1.50625,1.45,A,B
5.94375,4.1875,1.05625,2.76875,A,B
5.9,5.625,2.3625,2.35,A,B
4.38125,5.08125,1.93125,1.70625,A,B
5.5,4.6,1.4875,2.81875,A,B
5.89375,5.325,1.075,2.375,A,B
5.2,5.75625,1.5,3.73125,A,B
5.31875,4.75,1.86875,2.44375,B,A
5.31875,3.6125,1.51875,2.90625,B,A
5.44375,2.55,1.46875,1.71875,B,A
4.6625,5.89375,1.325,1.3875,B,A
5.46875,4.9875,3.275,3.1125,B,A
5.21875,4.48125,1.31875,2.2625,B,A
5.33125,3.60625,1.2375,3.2375,B,A
4.58125,4.025,3.15625,3.14375,B,A
5.55625,5.50625,1.7625,1.96875,B,A
4.675,5.5375,1.88125,3.525,B,A
5.825,3.2125,3.325,2.9625,B,A
5.30625,5.43125,1.15625,3.45625,B,A
4.95625,5.28125,1.45625,2.54375,B,A
5.43125,4.43125,1.575,2.475,B,A
5.56875,3.46875,1.24375,3.16875,B,A
5.75625,4.3125,2.90625,2.53125,B,A
4.1625,3.8,2.36875,2.925,B,A
5.20625,3.99375,2.01875,2.9875,B,A
5.7625,3.53125,1.1375,2.88125,B,A
4.70625,4.825,1.66875,3.51875,B,A
