Sujeto,A_FA,FaR_A,B_FA,FaR_B,B_H,Hr_B,A_H,Hr_A,R_AN,R_BN,R_BS,R_AS
121,27,0.16875,37,0.23125,131,0.81875,155,0.96875,2.26875,2.44375,4.75,5.43125
120,53,0.33125,57,0.35625,80,0.5,107,0.66875,2.70625,2.90625,3.6125,4.44375
119,12,0.075,23,0.14375,50,0.3125,97,0.60625,1.36875,1.71875,2.55,4.13125
118,6,0.0375,14,0.0875,156,0.975,157,0.98125,1.15625,1.3875,5.89375,5.90625
116,22,0.1375,38,0.2375,113,0.70625,133,0.83125,1.7125,2.2625,4.48125,5.0125
115,63,0.39375,73,0.45625,87,0.54375,129,0.80625,3.04375,3.2375,3.60625,4.775
114,55,0.34375,68,0.425,95,0.59375,130,0.8125,2.7125,3.14375,4.025,5.0875
113,8,0.05,26,0.1625,151,0.94375,156,0.975,1.5125,1.96875,5.50625,5.79375
112,75,0.46875,79,0.49375,148,0.925,159,0.99375,3.38125,3.525,5.5375,5.9125
111,60,0.375,64,0.4,69,0.43125,121,0.75625,2.8625,2.9625,3.2125,4.73125
109,30,0.1875,44,0.275,144,0.9,150,0.9375,2.10625,2.54375,5.28125,5.45625
108,14,0.0875,47,0.29375,110,0.6875,144,0.9,1.45,2.475,4.43125,5.5125
107,55,0.34375,70,0.4375,79,0.49375,100,0.625,2.76875,3.16875,3.46875,4.1875
106,28,0.175,29,0.18125,106,0.6625,158,0.9875,2.35,2.53125,4.3125,5.625
105,52,0.325,60,0.375,89,0.55625,132,0.825,2.80625,2.925,3.8,5.08125
104,42,0.2625,59,0.36875,95,0.59375,124,0.775,2.81875,2.9875,3.99375,4.6
103,43,0.26875,60,0.375,75,0.46875,138,0.8625,2.375,2.88125,3.53125,5.325
101,47,0.29375,54,0.3375,95,0.59375,125,0.78125,2.41875,2.64375,3.9625,4.83125
