"","X","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","facilidad","num_circulos_externos","tam_circulos_externos","tamano_central","senal","color","tipo","choice","Exito","outcome","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"1",1,0,447,"s","True",1,0,"True",1,"False",0,"False",0,"False",0,4,5.745492935,4.244904995,2.706724167,"muchos",8,"under","2_u3","senal","purpura","3 BS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"2",2,1,164,"n","True",2,0,"False",1,"True",1,"False",0,"False",0,1,2.937664032,1.436568975,1.904955149,"pocos",2,"over","3","ruido","azul","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"3",3,2,605,"n","True",3,0,"False",1,"True",2,"False",0,"False",0,2,3.840107918,2.339578867,1.503823042,"muchos",7,"over","1","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"4",4,3,112,"s","True",4,0,"True",2,"False",2,"False",0,"False",0,6,2.837657928,1.336874008,2.506491899,"pocos",2,"under","2_u2","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"5",5,4,16,"s","True",5,0,"True",3,"False",2,"False",0,"False",0,5,2.938243866,1.437916994,1.004107952,"pocos",2,"over","2_o2","senal","verde","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"6",6,5,203,"n","True",6,0,"False",3,"True",3,"False",0,"False",0,3,3.339146137,1.83833909,1.303511858,"pocos",2,"over","2.5","ruido","azul","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"7",7,6,88,"s","True",7,0,"True",4,"False",3,"False",0,"False",0,4,3.238758087,1.737904072,1.503675938,"pocos",2,"under","2_u2","senal","purpura","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"8",8,7,429,"n","False",7,1,"False",4,"False",3,"False",0,"True",1,2,3.840097904,2.339303017,1.403578043,"muchos",7,"under","2_u2","senal","guinda","3 BS",0,0,2,"0","0","0","0","0","0","0","0","1","0","1","0"
"9",9,8,385,"s","True",8,1,"True",5,"False",3,"False",0,"False",1,5,3.139006138,1.638153076,2.706528902,"muchos",8,"over","2_o3","senal","verde","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"10",10,9,307,"n","True",9,1,"False",5,"True",4,"False",0,"False",1,1,2.837999821,1.337316036,1.504447937,"pocos",2,"under","1","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"11",11,10,558,"s","False",9,2,"False",5,"False",4,"True",1,"False",1,5,2.837267876,1.336862803,0.701832056,"muchos",8,"under","2.5","ruido","purpura","2 BN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"12",12,11,87,"n","False",9,3,"False",5,"False",4,"False",1,"True",2,3,4.240953207,2.739905119,0.80221796,"pocos",2,"under","2_u2","senal","purpura","4 AS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"13",13,12,71,"s","True",10,3,"True",6,"False",4,"False",1,"False",2,6,3.138149977,1.637869835,1.904757023,"pocos",3,"over","2_o3","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"14",14,13,607,"n","True",11,3,"False",6,"True",5,"False",1,"False",2,1,2.537160158,1.03629303,0.902520895,"muchos",7,"over","1","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"15",15,14,98,"s","True",12,3,"True",7,"False",5,"False",1,"False",2,6,2.436406851,0.9352808,1.904803038,"pocos",2,"under","2_u2","senal","purpura","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"16",16,15,137,"s","True",13,3,"True",8,"False",5,"False",1,"False",2,6,2.837974072,1.337504148,1.503815174,"pocos",3,"under","2_u3","senal","purpura","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"17",17,16,100,"n","False",13,4,"False",8,"False",5,"False",1,"True",3,2,2.737097025,1.236629009,1.002365828,"pocos",2,"under","2_u2","senal","guinda","4 AS",0,0,2,"0","0","0","0","0","0","0","0","1","0","1","0"
"18",18,17,449,"n","False",13,5,"False",8,"False",5,"False",1,"True",4,2,4.041075945,2.540127039,0.401186943,"muchos",8,"under","2_u3","senal","guinda","3 BS",0,0,2,"0","0","0","0","0","0","0","0","1","0","1","0"
"19",19,18,493,"n","True",14,5,"False",8,"True",6,"False",1,"False",4,3,2.337239027,0.836373806,0.300755024,"muchos",8,"over","3","ruido","azul","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"20",20,19,295,"n","True",15,5,"False",8,"True",7,"False",1,"False",4,3,1.835587978,0.334702969,0.401224136,"pocos",3,"over","1","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"21",21,20,194,"n","True",16,5,"False",8,"True",8,"False",1,"False",4,2,4.240829945,2.740341902,0.401305914,"pocos",3,"under","3","ruido","azul","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"22",22,21,165,"n","True",17,5,"False",8,"True",9,"False",1,"False",4,1,3.138554096,1.637404919,1.204606056,"pocos",2,"over","3","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
