"","X.1","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","Color","X","facilidad","senal","tipo","choice","outcome","Exito","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"1",1,0,201,"n","True",1,0,"False",0,"True",1,"False",0,"False",0,1,6.459295988,4.95814085,3.308305979,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"2",2,1,116,"n","False",1,1,"False",0,"False",1,"False",0,"True",1,1,4.043401003,2.542240858,1.804481983,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"3",3,2,553,"n","True",2,1,"False",0,"True",2,"False",0,"False",1,1,2.742864132,1.241694927,1.504268885,"Verde",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"4",4,3,72,"n","False",2,2,"False",0,"False",2,"False",0,"True",2,2,3.355744123,1.854599953,1.704265118,"Naranja",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"5",5,4,11,"n","False",2,3,"False",0,"False",2,"False",0,"True",3,1,2.541706085,1.040638924,2.506278992,"Naranja",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"6",6,5,324,"n","False",2,4,"False",0,"False",2,"False",0,"True",4,1,2.649033785,1.148230791,1.40335393,"Naranja",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"7",7,6,119,"n","False",2,5,"False",0,"False",2,"False",0,"True",5,2,2.653960943,1.152868986,0.902760983,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"8",8,7,69,"n","False",2,6,"False",0,"False",2,"False",0,"True",6,2,3.054445982,1.553411007,1.203604937,"Verde",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"9",9,8,41,"n","False",2,7,"False",0,"False",2,"False",0,"True",7,1,2.341864109,0.841430902,0.702028036,"Purpura",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"10",10,9,221,"n","True",3,7,"False",0,"True",3,"False",0,"False",7,2,2.853206158,1.352083206,1.002380133,"Azul",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"11",11,10,174,"n","True",4,7,"False",0,"True",4,"False",0,"False",7,1,2.14785409,0.647086143,1.604082823,"Naranja",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"12",12,11,441,"n","False",4,8,"False",0,"False",4,"False",0,"True",8,1,2.552935123,1.051841974,0.802412033,"Verde",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"13",13,12,330,"n","False",4,9,"False",0,"False",4,"False",0,"True",9,2,3.050342083,1.549206972,0.802549124,"Azul",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"14",14,13,278,"n","True",5,9,"False",0,"True",5,"False",0,"False",9,2,2.753785133,1.252626181,0.501889944,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"15",15,14,409,"n","False",5,10,"False",0,"False",5,"False",0,"True",10,2,2.550318956,1.049170017,1.002375126,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"16",16,15,71,"n","False",5,11,"False",0,"False",5,"False",0,"True",11,2,2.754824877,1.253746033,0.802473068,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"17",17,16,576,"n","True",6,11,"False",0,"True",6,"False",0,"False",11,1,2.352125883,0.851609945,0.701830864,"Verde",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"18",18,17,556,"n","True",7,11,"False",0,"True",7,"False",0,"False",11,1,2.253241062,0.752115011,0.501310825,"Naranja",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"19",19,18,615,"n","True",8,11,"False",0,"True",8,"False",0,"False",11,1,2.147953033,0.646874905,0.602504969,"Purpura",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"20",20,19,273,"n","True",9,11,"False",0,"True",9,"False",0,"False",11,1,2.15288806,0.651721954,0.601717949,"Naranja",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"21",21,20,14,"n","False",9,12,"False",0,"False",9,"False",0,"True",12,1,2.149329185,0.648946047,0.601521015,"Naranja",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"22",22,21,307,"n","True",10,12,"False",0,"True",10,"False",0,"False",12,1,2.241236925,0.740086794,0.501645088,"Azul",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"23",23,22,109,"n","False",10,13,"False",0,"False",10,"False",0,"True",13,1,2.750682831,1.249532938,0.601560831,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"24",24,23,183,"n","True",11,13,"False",0,"True",11,"False",0,"False",13,1,1.848566055,0.348283052,0.802410126,"Azul",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"25",25,24,400,"n","False",11,14,"False",0,"False",11,"False",0,"True",14,2,2.749006987,1.247876883,0.501334906,"Azul",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
