Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,173,4,False,0,1,False,0,False,0,False,0,False,0,
1,47,5,False,0,2,False,0,False,0,False,0,False,0,
2,133,4,False,0,3,False,0,False,0,False,0,False,0,
3,254,s,False,0,4,False,0,False,0,True,1,False,0,
4,297,4,False,0,5,False,0,False,0,False,1,False,0,
5,181,4,False,0,6,False,0,False,0,False,1,False,0,
6,2,5,False,0,7,False,0,False,0,False,1,False,0,
7,273,5,False,0,8,False,0,False,0,False,1,False,0,
8,213,4,False,0,9,False,0,False,0,False,1,False,0,
9,56,5,False,0,10,False,0,False,0,False,1,False,0,
10,276,5,False,0,11,False,0,False,0,False,1,False,0,
11,78,5,False,0,12,False,0,False,0,False,1,False,0,
12,252,s,False,0,13,False,0,False,0,True,2,False,0,
13,63,5,False,0,14,False,0,False,0,False,2,False,0,
